Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,5000000000.0,-353161.0,-469224.0,-109857.0,35600.0,-161781.0,-327378.0,-341861.0,12363.0,
Stock-based compensation,158973.0,798965.0,857006.0,1249756.0,2928943.0,1894800.0,2088091.0,3089520.0,,
Operating Cash Flow,4000000.0,-12000000.0,2552418.0,-6529960.0,12361457.0,995923.0,-23741522.0,28111456.0,2214531.0,-5277132.0
Capital Expenditure,-2000000000.0,-5000000000.0,-1438.0,-8816.0,-26940.0,-13303.0,-15922.0,-18039.0,-89790.0,-1313.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15432513.0,,
Investing Cash flow,-2000000000.0,-3000000000.0,-1438.0,-8816.0,-26940.0,-13303.0,-15922.0,-18039.0,-89790.0,-15433826.0
Issuance (repayment) of debt,0.0,0.0,-5000000.0,5000000.0,0.0,0.0,-1500000.0,1500000.0,0.0,0.0
Issuance (buybacks) of shares,0.0,0.0,0.0,-1199994.0,0.0,0.0,0.0,491058.0,69641.0,23637575.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,0.0,-140000000000.0,-5039691.0,3713092.0,-124751.0,-823183.0,-1704839.0,1991058.0,20713.0,21686090.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Net cash flow / Change in cash,4000000.0,-12000000.0,-2488711.0,-2825684.0,12209766.0,159437.0,-25462283.0,30084475.0,2145454.0,975132.0
Free Cash Flow,2550980.0,-6538776.0,12334517.0,982620.0,-23757444.0,28093417.0,2124741.0,-5278445.0,,
Net Cash/Marketcap,,,,,,,,,,
