date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,revenue,1259313000.0,1448666000.0,1602408000.0,1468922000.0,1265497000.0,1394771000.0,1895527000.0,2163595000.0,1820678000.0,1486998000.0,881591000.0,727599000.0,1036700000.0,837021000.0,679454000.0,470133000.0,510571000.0,491672000.0,462820000.0,457475000.0,543069000.0,588000000.0,660800000.0,690100000.0,634600000.0,623200000.0,407000000.0,150400000.0,113200000.0,100100000.0
,costOfRevenue,1144994000.0,1319662000.0,1404142000.0,1310644000.0,1123015000.0,1256962000.0,1754884000.0,1868405000.0,1526539000.0,1254890000.0,767662000.0,671634000.0,896986000.0,752890000.0,606676000.0,405923000.0,431071000.0,461969000.0,433079000.0,436924000.0,465703000.0,487700000.0,534900000.0,553200000.0,498900000.0,484100000.0,321200000.0,119800000.0,92300000.0,85600000.0
,grossProfit,114319000.0,129004000.0,198266000.0,158278000.0,142482000.0,137809000.0,140643000.0,295190000.0,294139000.0,232108000.0,113929000.0,55965000.0,139714000.0,84131000.0,72778000.0,64210000.0,79500000.0,29703000.0,29741000.0,20551000.0,77366000.0,100300000.0,125900000.0,136900000.0,135700000.0,139100000.0,85800000.0,30600000.0,20900000.0,14500000.0
,grossProfitRatio,0.0907788611727188,0.0890502020479531,0.123730036295375,0.107751126336184,0.112589757225817,0.0988040330634921,0.0741973076616688,0.136434961256612,0.161554651618793,0.156091669255776,0.129231128720688,0.0769173679458053,0.134768013890229,0.100512412472327,0.107112475605413,0.1365783725031,0.155708021019604,0.0604122260368701,0.0642604036126356,0.0449226733701295,0.142460718619549,0.170578231292517,0.190526634382567,0.198377046804811,0.213835486920895,0.223202824133504,0.210810810810811,0.203457446808511,0.184628975265018,0.144855144855145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,9013000.0,9859000.0,11146000.0,10302000.0,9971000.0,11162000.0,14005000.0,11165000.0,7148000.0,4228000.0,6317000.0,8850000.0,0.0,0.0,0.0,837000.0,1875000.0,2749000.0,3509000.0,3089000.0,4704000.0,6300000.0,7100000.0,6800000.0,2700000.0,2100000.0,2100000.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,130942000.0,137697000.0,134789000.0,150676000.0,144988000.0,140393000.0,173614000.0,167371000.0,126157000.0,95707000.0,66828000.0,54307000.0,66393000.0,53138000.0,42142000.0,31433000.0,36040000.0,43174000.0,40318000.0,44162000.0,44087000.0,51600000.0,52900000.0,45500000.0,43700000.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,4887000.0,1304000.0,12411000.0,2139000.0,3712000.0,4549000.0,3958000.0,5794000.0,4541000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
