Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,220337000.0,107934000.0,113682000.0,127279000.0,105099000.0,136727000.0,143134000.0,126371000.0,102826000.0,32542000.0
Short-term investments,0.0,0.0,650000.0,1528000.0,,,,,,
Cash and short-term investments,220337000.0,107934000.0,114332000.0,128807000.0,,,,,,
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,234423000.0,120205000.0,124048000.0,142372000.0,,,,,,
Property, Plant & Equipment Net,9837000.0,10165000.0,10445000.0,10800000.0,11550000.0,12122000.0,12262000.0,12675000.0,12909000.0,13296000.0
Goodwill and Intangible Assets,4488000.0,4488000.0,4488000.0,4488000.0,4488000.0,4550000.0,4737000.0,5041000.0,7186000.0,9425000.0
Long-term investments,71996000.0,0.0,650000.0,1528000.0,,,,,,
Tax assets,3174000.0,2389000.0,3298000.0,5228000.0,6853000.0,11630000.0,9724000.0,11485000.0,8878000.0,7534000.0
Total non-current assets,,,,,,,,,,
Total assets,933058000.0,805836000.0,787972000.0,725644000.0,663169000.0,635929000.0,648877000.0,651332000.0,678210000.0,693235000.0
Payables,0.0,0.0,5781000.0,5875000.0,4815000.0,5728000.0,6010000.0,5594000.0,4606000.0,4662000.0
Short-term debt,0.0,0.0,0.0,0.0,,,,,,
Total current liabilities,805700000.0,687737000.0,678174000.0,623501000.0,,,,,,
Long-term debt,10155000.0,9730000.0,8832000.0,8300000.0,,,,,,
Total debt,10155000.0,9730000.0,8832000.0,8300000.0,10115000.0,11125000.0,10068000.0,9027000.0,42646000.0,50716000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,805643000.0,687693000.0,676629000.0,621805000.0,565373000.0,542489000.0,563287000.0,574427000.0,557466000.0,561660000.0
Total non-current liabilities,,,,,,,,,,
Total liabilities,823818000.0,704484000.0,691318000.0,636009000.0,580343000.0,559386000.0,579436000.0,589159000.0,604940000.0,617414000.0
Other comprehensive income,674000.0,-710000.0,-604000.0,-202000.0,-175000.0,-119000.0,89000.0,-709000.0,-406000.0,-2253000.0
Retained earnings (deficit),49942000.0,44182000.0,40701000.0,37265000.0,33730000.0,30884000.0,26179000.0,21447000.0,33807000.0,40499000.0
Total shareholders equity,109240000.0,101352000.0,96654000.0,89635000.0,82826000.0,76543000.0,69441000.0,62173000.0,73270000.0,75821000.0
Investments,669748000.0,660198000.0,639227000.0,555810000.0,513713000.0,449378000.0,441086000.0,453255000.0,493373000.0,581349000.0
Net Debt,-210182000.0,,,,,,,,,
Other Assets,14086000.0,,,,,,,,,
Other Liabilities,805700000.0,687737000.0,672393000.0,617626000.0,,,,,,
