date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,5349000000.0,5919000000.0,5966000000.0,10712000000.0,4233000000.0,4772000000.0,5180000000.0,4388000000.0,3943000000.0,3292000000.0,2780000000.0,1898000000.0,2338000000.0,1855000000.0,1606000000.0,1026000000.0,604000000.0,1585000000.0,1341000000.0,966000000.0,842000000.0,810000000.0,-633000000.0,432000000.0,904000000.0,946000000.0,546000000.0
,depreciationAndAmortization,2210000000.0,2216000000.0,2191000000.0,2105000000.0,2038000000.0,2012000000.0,1904000000.0,1777000000.0,1760000000.0,1617000000.0,1487000000.0,1444000000.0,1387000000.0,1321000000.0,1237000000.0,1175000000.0,1111000000.0,1067000000.0,1206000000.0,1174000000.0,1140000000.0,1083000000.0,1070000000.0,1043000000.0,762000000.0,642000000.0,-1005000000.0
,deferredIncomeTax,340000000.0,566000000.0,338000000.0,-5067000000.0,831000000.0,765000000.0,895000000.0,723000000.0,887000000.0,986000000.0,672000000.0,723000000.0,547000000.0,332000000.0,235000000.0,320000000.0,359000000.0,494000000.0,573000000.0,424000000.0,447000000.0,529000000.0,-74000000.0,300000000.0,166000000.0,151000000.0,349000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000000.0,44000000.0,35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,0.0,-429000000.0,-530000000.0,111000000.0,-968000000.0,10000000.0,715000000.0,-296000000.0,85000000.0,-70000000.0,-518000000.0,1065000000.0,380000000.0,681000000.0,-69000000.0,-833000000.0,141000000.0,182000000.0,601000000.0,527000000.0,-106000000.0,-141000000.0,402000000.0,-110000000.0,-1502000000.0,463000000.0,-58000000.0
,accountsReceivables,0.0,160000000.0,-262000000.0,-235000000.0,98000000.0,255000000.0,-197000000.0,-83000000.0,70000000.0,-217000000.0,-518000000.0,-72000000.0,38000000.0,47000000.0,68000000.0,-201000000.0,-40000000.0,59000000.0,-92000000.0,10000000.0,-16000000.0,62000000.0,84000000.0,-124000000.0,14000000.0,47000000.0,0.0
,inventory,0.0,-9000000.0,7000000.0,-32000000.0,19000000.0,-24000000.0,-59000000.0,7000000.0,-46000000.0,-80000000.0,-59000000.0,-25000000.0,3000000.0,-58000000.0,-64000000.0,-22000000.0,-42000000.0,10000000.0,-23000000.0,96000000.0,-23000000.0,6000000.0,-47000000.0,8000000.0,12000000.0,19000000.0,0.0
,accountsPayables,0.0,-179000000.0,-125000000.0,182000000.0,232000000.0,-276000000.0,217000000.0,163000000.0,-185000000.0,0.0,0.0,-90000000.0,0.0,30000000.0,-102000000.0,224000000.0,100000000.0,79000000.0,-66000000.0,-112000000.0,73000000.0,11000000.0,-183000000.0,47000000.0,4000000.0,80000000.0,0.0
,otherWorkingCapital,0.0,-892000000.0,-463000000.0,67000000.0,-44000000.0,924000000.0,914000000.0,199000000.0,495000000.0,410000000.0,480000000.0,998000000.0,-67000000.0,-447000000.0,-1128000000.0,-1059000000.0,-226000000.0,-367000000.0,-549000000.0,-1150000000.0,-1677000000.0,-1571000000.0,-1430000000.0,-1832000000.0,-1722000000.0,-220000000.0,-683000000.0
,otherNonCashItems,641000000.0,98000000.0,347000000.0,-282000000.0,-228000000.0,116000000.0,-285000000.0,-226000000.0,-160000000.0,3253000000.0,-834000000.0,-376000000.0,-202000000.0,0.0,0.0,58000000.0,67000000.0,-225000000.0,-546000000.0,-452000000.0,-507000000.0,-666000000.0,-29000000.0,-196000000.0,-743000000.0,31000000.0,1988000000.0
,netCashProvidedByOperatingActivites,8540000000.0,8609000000.0,8686000000.0,7230000000.0,7525000000.0,7344000000.0,7385000000.0,6823000000.0,6161000000.0,5873000000.0,4105000000.0,3234000000.0,4070000000.0,3277000000.0,2880000000.0,2595000000.0,2237000000.0,2422000000.0,2250000000.0,1992000000.0,1958000000.0,1869000000.0,565000000.0,1600000000.0,1657000000.0,1454000000.0,1909000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85000000.0,0.0,-100000000.0,-388000000.0,-621000000.0,-536000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1597000000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-274000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-136000000.0,-115000000.0,-90000000.0,-120000000.0,-580000000.0,0.0,0.0,0.0,0.0,-3176000000.0,-2482000000.0,-2354000000.0,-2780000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1736000000.0,0.0,0.0,0.0,0.0,-539000000.0,-2146000000.0,-725000000.0
,salesMaturitiesOfInvestments,141000000.0,130000000.0,90000000.0,90000000.0,520000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,246000000.0,3000000.0,26000000.0,182000000.0,172000000.0,174000000.0,97000000.0,91000000.0,105000000.0,142000000.0,-6000000.0,309000000.0,404000000.0,569000000.0,603000000.0,-63000000.0,19000000.0,126000000.0,-51000000.0,192000000.0,241000000.0,220000000.0,213000000.0,329000000.0,764000000.0,635000000.0,0.0
,netCashUsedForInvestingActivites,-2676000000.0,-3435000000.0,-3411000000.0,-3086000000.0,-3393000000.0,-4476000000.0,-4249000000.0,-3405000000.0,-3633000000.0,-3119000000.0,-2488000000.0,-2175000000.0,-2764000000.0,-2426000000.0,-2042000000.0,-2047000000.0,-1712000000.0,-1476000000.0,-1521000000.0,-1544000000.0,-1542000000.0,-1614000000.0,-1898000000.0,-1772000000.0,-1135000000.0,-2569000000.0,-1961000000.0
