date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY
,revenue,1365000000.0,1478700000.0,1506400000.0,1336039000.0,1168160000.0,974717000.0,703714000.0,615000000.0,531047000.0,495008000.0,455696000.0,485393000.0,754298000.0,0.0,0.0,0.0,500589000.0,473124000.0
,costOfRevenue,1070000000.0,1187600000.0,1212200000.0,1056605000.0,922338000.0,768839000.0,573318000.0,514813000.0,455825000.0,436732000.0,392753000.0,410445000.0,0.0,663632000.0,649351000.0,0.0,412209000.0,388717000.0
,grossProfit,295000000.0,291100000.0,294200000.0,279434000.0,245822000.0,205878000.0,130396000.0,100187000.0,75222000.0,58276000.0,62943000.0,74948000.0,754298000.0,-663632000.0,-649351000.0,0.0,88380000.0,84407000.0
,grossProfitRatio,0.216117216117216,0.196862108608913,0.195300053106745,0.209151080170564,0.210435214354198,0.211218230522295,0.185296867761619,0.162905691056911,0.141648479324806,0.1177273902644,0.138124978055546,0.154406841466605,1.0,0.0,0.0,0.0,0.176552021718416,0.17840354748438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,127000000.0,130000000.0,126500000.0,119234000.0,100019000.0,87978000.0,61850000.0,60179000.0,58978000.0,55826000.0,58844000.0,60075000.0,79768000.0,69669000.0,66430000.0,54028000.0,47988000.0,42550000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,9500000.0,4600000.0,2562000.0,3237000.0,3569000.0,2385000.0,1820000.0,2973000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,127000000.0,223200000.0,218300000.0,187032000.0,154871000.0,131548000.0,85699000.0,79163000.0,74654000.0,75488000.0,82655000.0,86400000.0,79768000.0,69669000.0,66430000.0,54028000.0,47988000.0,42550000.0
,costAndExpenses,1197000000.0,1410800000.0,1430500000.0,1243637000.0,1077209000.0,900387000.0,659017000.0,593976000.0,530479000.0,512220000.0,475408000.0,496845000.0,79768000.0,733301000.0,715781000.0,54028000.0,460197000.0,431267000.0
,interestExpense,-45000000.0,46100000.0,46400000.0,41957000.0,27709000.0,21734000.0,20431000.0,11332000.0,11344000.0,11057000.0,21223000.0,0.0,-27056000.0,-28092000.0,-23189000.0,-18172000.0,-16523000.0,-16855000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,99000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29902000.0,30857000.0,22322000.0,13591000.0,12669000.0,12441000.0
,EBITDA,175000000.0,170600000.0,172300000.0,162762000.0,149040000.0,121469000.0,70931000.0,41860000.0,19869000.0,-13334000.0,4032000.0,59445000.0,-100549000.0,-9765000.0,34777000.0,49617000.0,40392000.0,41857000.0
,EBITDARatio,0.128205128205128,0.115371610198147,0.114378651088688,0.121824288063447,0.127585262292837,0.124619761428189,0.100795209417462,0.0680650406504065,0.0374147674311313,-0.0269369383929149,0.00884800393244619,0.122467773536083,-0.133301427287359,0.0,0.0,0.0,0.0806889484187627,0.0884694075971627
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
