date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,8008000.0,-7868000.0,-32682000.0,-8128000.0,-47696000.0,-9149000.0,2037000.0,3810000.0,9032000.0,27238000.0,28828000.0,11733000.0,8216000.0,15564000.0,27386000.0,35819000.0,28820000.0,20379000.0,9921000.0,0.0,0.0
,depreciationAndAmortization,36077000.0,15904000.0,15688000.0,16886000.0,17749000.0,19155000.0,20474000.0,22156000.0,23819000.0,24842000.0,19888000.0,17568000.0,17605000.0,18751000.0,14205000.0,9777000.0,8812000.0,6382000.0,4948000.0,4532000.0,3887000.0
,deferredIncomeTax,345000.0,0.0,-2812000.0,0.0,27928000.0,-5394000.0,-4050000.0,-3793000.0,-8490000.0,2513000.0,-3541000.0,-2165000.0,-249000.0,-957000.0,-2388000.0,-1700000.0,3299000.0,484000.0,2045000.0,0.0,0.0
,stockBasedCompensation,2077000.0,1390000.0,1815000.0,2945000.0,4904000.0,4265000.0,5721000.0,6224000.0,6492000.0,6279000.0,5894000.0,4702000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-37731000.0,10690000.0,2068000.0,-20811000.0,3620000.0,-14806000.0,-2335000.0,-6707000.0,-18808000.0,-12150000.0,9972000.0,9577000.0,-15398000.0,-4221000.0,-3648000.0,18002000.0,1443000.0,5171000.0,-94000.0,0.0,0.0
,accountsReceivables,-13749000.0,-1483000.0,-2695000.0,-2976000.0,8202000.0,-11443000.0,-2701000.0,-1258000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108000.0,0.0,0.0,0.0
,accountsPayables,7020000.0,2942000.0,3858000.0,-4759000.0,1855000.0,2705000.0,-1859000.0,-700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-9257000.0,4155000.0,-1600000.0,-13598000.0,-5393000.0,-6191000.0,1499000.0,-8576000.0,1998000.0,1855000.0,-519000.0,1129000.0,1372000.0,-42000.0,-5318000.0,0.0,0.0,0.0,6618000.0,0.0,0.0
,otherNonCashItems,2256000.0,1630000.0,2445000.0,-870000.0,879000.0,14171000.0,5209000.0,5043000.0,6464000.0,9350000.0,6440000.0,7736000.0,10920000.0,10496000.0,9859000.0,5865000.0,5287000.0,4000000.0,3651000.0,-4532000.0,-3887000.0
,netCashProvidedByOperatingActivites,11032000.0,21746000.0,-13478000.0,-9978000.0,7384000.0,8242000.0,27056000.0,26733000.0,18509000.0,58072000.0,67481000.0,49151000.0,21094000.0,39633000.0,45414000.0,67763000.0,47661000.0,36416000.0,20471000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-9262000.0,-6453000.0,-20606000.0,-8190000.0,-7495000.0,-29030000.0,-12024000.0,-9352000.0,-11342000.0,-29098000.0,-37196000.0,-28524000.0,-17705000.0,-46580000.0,-46136000.0,-45839000.0,-16975000.0,-11977000.0,-11772000.0,0.0,0.0
,acquisitionsNet,261000.0,267000.0,291000.0,390000.0,-2025000.0,464000.0,568000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-69678000.0,0.0,-894000.0,-52368000.0,0.0,-26061000.0,-61729000.0,-111848000.0,-96503000.0,-89538000.0,-41570000.0,-31629000.0,0.0,0.0,0.0,-32002000.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,31289000.0,0.0,48641000.0,6312000.0,27709000.0,51792000.0,63892000.0,104094000.0,90640000.0,64585000.0,36641000.0,3067000.0,0.0,0.0,16260000.0,16167000.0,0.0,0.0,123000.0,0.0,0.0
,otherInvestingActivites,1630000.0,34000.0,592000.0,1685000.0,-842000.0,157000.0,91000.0,-3655000.0,621000.0,64000.0,5000.0,36000.0,30689000.0,40192000.0,3000.0,194000.0,36000.0,323000.0,5869000.0,0.0,0.0
,netCashUsedForInvestingActivites,-45760000.0,-6152000.0,28024000.0,-52171000.0,17347000.0,-2678000.0,-9202000.0,-20761000.0,-16584000.0,-53987000.0,-42120000.0,-57050000.0,12984000.0,-6388000.0,-29873000.0,-61480000.0,-16939000.0,-11654000.0,-5780000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-1319000.0,-1107000.0,-913000.0,-736000.0,-663000.0,-613000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63352000.0,0.0,0.0
,commonStockIssued,49153000.0,0.0,0.0,0.0,0.0,0.0,0.0,525000.0,550000.0,1269000.0,4083000.0,878000.0,497000.0,861000.0,3082000.0,3396000.0,60290000.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,-6619000.0,-1423000.0,-5422000.0,-1849000.0,0.0,0.0,-16935000.0,-29542000.0,0.0,-30029000.0,0.0,-12946000.0,0.0,0.0,0.0,0.0
,dividendsPaid,-5363000.0,-5250000.0,-5250000.0,-5250000.0,-2881000.0,-7310000.0,-9875000.0,-9820000.0,-7425000.0,0.0,-36333000.0,0.0,0.0,0.0,0.0,0.0,-12558000.0,-5000000.0,0.0,0.0,0.0
,otherFinancingActivites,-698000.0,-629000.0,-223000.0,-595000.0,68493000.0,-519000.0,-1554000.0,-1263000.0,-1206000.0,-658000.0,-336000.0,-723000.0,251000.0,57000.0,792000.0,-236000.0,-31831000.0,-24391000.0,58862000.0,0.0,0.0
