Date,2018-09,2017-09,2016-09,2015-09,2014-09
Depreciation & Amortization,4998000000.0,4962000000.0,4789000000.0,5147000000.0,4423000000.0
Stock-based compensation,57000000.0,68000000.0,163000000.0,101000000.0,122000000.0
Operating Cash Flow,1822000000.0,1671000000.0,1371000000.0,2313000000.0,2597000000.0
Capital Expenditure,-178000000.0,-195000000.0,-172000000.0,-142000000.0,-123000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,9000000,54000000,-69000000,0,0
Investing Cash flow,-224000000.0,329000000.0,-299000000.0,-257000000.0,-855000000.0
Issuance (repayment) of debt,-1000000000.0,-3352000000.0,-368000000.0,-1400000000.0,-600000000.0
Issuance (buybacks) of shares,000000.0,000000.0,-100000000.0,-1548000000.0,-3529000000.0
Dividend payments,,,,,
Financing Cash Flow,-1410000000.0,-1010000000.0,-1173000000.0,-2477000000.0,-3100000000.0
Effect of forex changes on cash,-20000000.0,20000000.0,-26000000.0,-73000000.0,-45000000.0
Net cash flow / Change in cash,168000000.0,1010000000.0,-127000000.0,-494000000.0,-1403000000.0
Free Cash Flow,1644000000.0,1476000000.0,1199000000.0,2171000000.0,2474000000.0
Net Cash/Marketcap,,,,,
