Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Depreciation & Amortization,0.0,0.0,0.0,0.0,0.0
Stock-based compensation,2608000.0,1451000.0,1794327.0,2601448.0,6258.0
Operating Cash Flow,-18755000.0,-14758000.0,-11071263.0,-8731494.0,-1591423.0
Capital Expenditure,0.0,0.0,0.0,0.0,0.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,-265729000.0,-1730000.0,3029765.0,-13470042.0,0.0
Investing Cash flow,-265729000.0,-1730000.0,3029765.0,-13470042.0,0.0
Issuance (repayment) of debt,-3833000.0,-77000.0,-94861.0,0.0,2500000.0
Issuance (buybacks) of shares,305000000.0,22999000.0,11570577.0,25415103.0,-2.0
Dividend payments,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,300275000.0,22400000.0,10348450.0,22214229.0,2167661.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,15791000.0,5912000.0,2306952.0,12693.0,576238.0
Free Cash Flow,-18755000.0,-14758000.0,-11071263.0,-8731494.0,-1591423.0
Net Cash/Marketcap,0.5516,0.1341,0.4133,0.3646,-0.0181
