Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,61005000.0,33627000.0,40426000.0,50843000.0,60901000.0,64764000.0,88772000.0,0.0,42989000.0,205725000.0
Short-term investments,196355000.0,109786000.0,100914000.0,92337000.0,68921000.0,65586000.0,31631000.0,0.0,155478000.0,0.0
Cash and short-term investments,257360000.0,143413000.0,141340000.0,143180000.0,129822000.0,130350000.0,120403000.0,0.0,198467000.0,205725000.0
Receivables,28780000.0,17601000.0,20268000.0,16331000.0,3654000.0,2031000.0,1168000.0,0.0,511000.0,3164000.0
Inventories,994000.0,840000.0,779000.0,1294000.0,5170000.0,0.0,57000.0,0.0,0.0,2399000.0
Total current assets,299132000.0,169857000.0,174175000.0,166547000.0,141730000.0,135614000.0,125968000.0,0.0,200573000.0,212951000.0
Property Plant & Equipment Net,4417000.0,5306000.0,5015000.0,4570000.0,2437000.0,2198000.0,2348000.0,0.0,937000.0,1316000.0
Goodwill and Intangible Assets,24542000.0,26069000.0,27819000.0,38752000.0,26724000.0,5037000.0,6532000.0,0.0,9522000.0,11017000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,36000000.0,35000000.0,100000.0,0.0,0.0,0.0,0.0,0.0,1821000.0,0.0
Total non-current assets,32998000.0,35568000.0,36199000.0,46503000.0,29974000.0,7735000.0,9480000.0,0.0,12528000.0,12763000.0
Total assets,332130000.0,205425000.0,210374000.0,213050000.0,171704000.0,143349000.0,135448000.0,0.0,213101000.0,225714000.0
Payables,21584000.0,20335000.0,16196000.0,15767000.0,835000.0,661000.0,287000.0,0.0,648000.0,2424000.0
Short-term debt,0.0,0.0,0.0,0.0,28000.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,53015000.0,70363000.0,50320000.0,51317000.0,7786000.0,32851000.0,32263000.0,0.0,31027000.0,31534000.0
Long-term debt,0.0,0.0,0.0,0.0,3101000.0,2888000.0,3005000.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0,3129000.0,2888000.0,3005000.0,0.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,174000.0,26789000.0,26789000.0,0.0,170642000.0,197431000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2266000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,3708000.0,3704000.0,4390000.0,4806000.0,6208000.0,66999000.0,95557000.0,0.0,144343000.0,171149000.0
Total liabilities,56708000.0,74038000.0,79044000.0,80023000.0,10887000.0,99225000.0,125543000.0,0.0,175370000.0,202683000.0
Other comprehensive income,611587000,492802000,477087000,460794000,448744000,355432000,300974000,0.0,2000.0,0.0
Retained earnings (deficit),-336218000.0,-361426000.0,-345859000.0,-327849000.0,-287984000.0,-311362000.0,-291107000.0,0.0,-253641000.0,-260833000.0
Total shareholders equity,275422000.0,131387000.0,131330000.0,133027000.0,160817000.0,44124000.0,9905000.0,0.0,37731000.0,23031000.0
Investments,196355000.0,109786000.0,100914000.0,92337000.0,68921000.0,65586000.0,31631000.0,0.0,155478000.0,0.0
Net Debt,-61005000.0,-33627000.0,-40426000.0,-50843000.0,-57772000.0,-61876000.0,-85767000.0,0.0,-198467000.0,-205725000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595000.0,1663000.0
Other Liabilities,0.0,0.0,24334000.0,23900000.0,0.0,0.0,0.0,0.0,30379000.0,29110000.0
