Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,675000.0,786000.0,723000.0,291000.0,141000.0,72000.0,86000.0,77000.0,114000.0,335000.0
Stock-based compensation,1101000.0,1439000.0,1179000.0,1227000.0,1149000.0,842000.0,1281000.0,3286000.0,1900000.0,571000.0
Operating Cash Flow,-9367000.0,-8129000.0,-13963000.0,-18365000.0,-16808000.0,-8224000.0,-10398000.0,-15581000.0,-20935000.0,-3114000.0
Capital Expenditure,113000.0,60000.0,1261000.0,282000.0,258000.0,321000.0,14000.0,99000.0,-175000.0,2000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,-1291000.0,0.0,0.0,0.0,0.0,525000.0,40000.0
Investing Cash flow,-113000.0,-60000.0,-1261000.0,-1055000.0,-258000.0,-321000.0,1816000.0,-99000.0,350000.0,42000.0
Issuance (repayment) of debt,-29000.0,-34000.0,-118000.0,-1082000.0,-0.0,-0.0,-0.0,-5000000.0,-2595000.0,400000.0
Issuance (buybacks) of shares,8990000.0,-5539000.0,-5242000.0,-1291000.0,-22965000.0,-29504000.0,-8007000.0,-2271000.0,42824000.0,0.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,13301000.0,8486000.0,1824000.0,15097000.0,10527000.0,30042000.0,-5888000.0,15240000.0,40050000.0,4051000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,9000.0,-3000.0
Net cash flow / Change in cash,3821000.0,297000.0,-13400000.0,-4323000.0,-6539000.0,21497000.0,-14470000.0,-437000.0,19474000.0,976000.0
Free Cash Flow,-9480000.0,-8189000.0,-15224000.0,-18647000.0,-17066000.0,-8545000.0,-10412000.0,-15680000.0,-21110000.0,-3112000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1393,-0.1067
