Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-29
Cash and cash equivalents,64300000.0,80300000.0,69600000.0,54400000.0,57600000.0,5700000.0,30600000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,64300000.0,80300000.0,69600000.0,54400000.0,57600000.0,5700000.0,30600000.0
Receivables,1184600000.0,1177600000.0,1052200000.0,1041400000.0,1119000000.0,679800000.0,474700000.0
Inventories,688200000.0,722700000.0,707900000.0,720600000.0,673200000.0,360900000.0,315200000.0
Total current assets,2084300000.0,2114100000.0,1948600000.0,1925200000.0,1959100000.0,1082000000.0,882200000.0
Property, Plant & Equipment Net,206700000.0,340200000.0,371800000.0,363700000.0,377400000.0,107100000.0,80200000.0
Goodwill and Intangible Assets,156800000.0,163700000.0,71200000.0,80400000.0,88500000.0,35700000.0,47700000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,56500000.0,59600000.0,61800000.0,73300000.0,105600000.0,22700000.0,8800000.0
Total non-current assets,445400000.0,594300000.0,535100000.0,551700000.0,615400000.0,174900000.0,157000000.0
Total assets,2529700000.0,2708400000.0,2483700000.0,2476900000.0,2574500000.0,1256900000.0,1039200000.0
Payables,651200000.0,688600000.0,663100000.0,575800000.0,600800000.0,359900000.0,279500000.0
Short-term debt,7300000.0,10700000.0,17800000.0,17500000.0,17600000.0,0.0,11200000.0
Total current liabilities,849700000.0,907400000.0,867800000.0,814200000.0,851100000.0,464800000.0,396600000.0
Long-term debt,987200000.0,1089900000.0,925300000.0,998300000.0,1067400000.0,0.0,371600000.0
Total debt,994500000.0,1100600000.0,943100000.0,1015800000.0,1085000000.0,0.0,382800000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,21100000.0,13500000.0,12100000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1136900000.0,1251300000.0,1074100000.0,1132600000.0,1210900000.0,12500000.0,481800000.0
Total liabilities,1986600000.0,2158700000.0,1941900000.0,1946800000.0,2062000000.0,477300000.0,878400000.0
Other comprehensive income,-40700000.0,-33500000.0,-39000000.0,-35000000.0,-22100000.0,-4700000.0,-10300000.0
Retained earnings (deficit),-8500000.0,6400000.0,19700000.0,-1300000.0,-28000000.0,0.0,-305800000.0
Total shareholders equity,543100000.0,549700000.0,541800000.0,530100000.0,512500000.0,-4700000.0,13400000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,930200000.0,1020300000.0,873500000.0,961400000.0,1027400000.0,-5700000.0,352200000.0
Other Assets,147200000.0,133500000.0,118900000.0,108800000.0,109300000.0,35600000.0,61700000.0
Other Liabilities,191200000.0,208100000.0,186900000.0,220900000.0,232700000.0,104900000.0,105900000.0
