Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,498572000.0,416768000.0,284491000.0,224640000.0,164396000.0,305514000.0,204625000.0,154995000.0,216746000.0,396830000.0
Short-term investments,0.0,0.0,0.0,0.0,,,,,,
Cash and short-term investments,498572000.0,416768000.0,284491000.0,224640000.0,,,,,,
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,518377000.0,449423000.0,362802000.0,295960000.0,,,,,,
Property, Plant & Equipment Net,119474000.0,118719000.0,119833000.0,118535000.0,113818000.0,105565000.0,107910000.0,105546000.0,114372000.0,125883000.0
Goodwill and Intangible Assets,299155000.0,300748000.0,302894000.0,305354000.0,25913000.0,27374000.0,29763000.0,35732000.0,39291000.0,43121000.0
Long-term investments,319000000.0,236000000.0,135000000.0,115000000.0,,,,,,
Tax assets,31990000.0,5780000.0,95194000.0,86352000.0,62686000.0,80688000.0,51757000.0,61724000.0,79860000.0,68957000.0
Total non-current assets,,,,,,,,,,
Total assets,23109486000.0,20329085000.0,17200842000.0,14275089000.0,10600498000.0,9307342000.0,7622637000.0,6844541000.0,6193883000.0,5753279000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short-term debt,0.0,0.0,0.0,150000000.0,,,,,,
Total current liabilities,19733816000.0,17442993000.0,14744656000.0,12283564000.0,,,,,,
Long-term debt,360000000.0,377000000.0,368000000.0,210000000.0,,,,,,
Total debt,873869000.0,792922000.0,489665000.0,398483000.0,485599000.0,454146000.0,308969000.0,513932000.0,225407000.0,355059000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,19177447000.0,16972532000.0,14549863000.0,12030624000.0,8931043000.0,7838205000.0,6455177000.0,5658512000.0,5338441000.0,4722102000.0
Total non-current liabilities,,,,,,,,,,
Total liabilities,20495752000.0,18099387000.0,15309313000.0,12683587000.0,9599570000.0,8451844000.0,6863021000.0,6207858000.0,5591709000.0,5177554000.0
Other comprehensive income,-33622000.0,-3145000.0,-4695000.0,22260000.0,16639000.0,-21546000.0,8226000.0,-4593000.0,-9422000.0,5405000.0
Retained earnings (deficit),1282705000.0,848466000.0,522436000.0,262638000.0,85453000.0,-61111000.0,-174471000.0,-243512000.0,-258800000.0,-241724000.0
Total shareholders equity,2613734000.0,2229698000.0,1891529000.0,1591502000.0,1000928000.0,855498000.0,759616000.0,636683000.0,602174000.0,575725000.0
Investments,21661386000.0,19041262000.0,16038871000.0,13059832000.0,9835870000.0,8390921000.0,6881475000.0,6204920000.0,5439818000.0,4877173000.0
Net Debt,-138572000.0,,,,,,,,,
Other Assets,19805000.0,,,,,,,,,
Other Liabilities,19733816000.0,17442993000.0,14744656000.0,12133564000.0,,,,,,
