Date,1999-12,1998-12,1997-12,1996-12,1995-12
Revenue,47000000.0,42000000.0,34000000.0,53000000.0,56000000.0
Revenue Growth,,,,,
Cost of Revenue,31000000.0,31000000.0,25000000.0,40000000.0,42000000.0
Gross Profit,16000000.0,12000000.0,9000000.0,13000000.0,14000000.0
R&D Expenses,,,,,
SG&A Expense,11000000.0,9000000.0,7000000.0,11000000.0,14000000.0
Operating Expenses,12000000.0,10000000.0,7000000.0,12000000.0,15000000.0
Operating Income,4000000.0,2000000.0,1000000.0,1000000.0,-1000000.0
Interest Expense,,,,,
Earnings before Tax,2000000.0,2000000.0,1000000.0,11000000.0,-2000000.0
Income Tax Expense,1000000.0,1000000.0,1000000.0,4000000.0,0000000.0
Net Income - Non-Controlling int,,,,,
Net Income - Discontinued ops,,,,,
Net Income,1000000.0,2000000.0,1000000.0,7000000.0,-2000000.0
Preferred Dividends,,,,,
Net Income Com,1000000.0,2000000.0,1000000.0,7000000.0,-2000000.0
EPS,0.57,0.63,0.36,3.37,-1.13
EPS Diluted,0.56,0.60,0.36,3.37,-1.13
Weighted Average Shs Out,3000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Weighted Average Shs Out (Dil),3000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Dividend per Share,,,,,
Gross Margin,0.34042553191489,0.28571428571429,0.26470588235294,0.24528301886792,0.25
EBITDA Margin,0.1063829787234,0.071428571428571,0.058823529411765,0.037735849056604,-0
EBIT Margin,0.042553191489362,0.071428571428571,0.058823529411765,0.20754716981132,-0.035714285714286
Profit Margin,0.021276595744681,0.047619047619048,0.029411764705882,0.13207547169811,-0.035714285714286
Free Cash Flow margin,,,,,
EBITDA,5000000.0,3000000.0,2000000.0,2000000.0,-0000000.0
EBIT,2000000,3000000,2000000,11000000,-2000000
Consolidated Income,1000000.0,2000000.0,1000000.0,7000000.0,-2000000.0
Earnings Before Tax Margin,0.042553191489362,0.047619047619048,0.029411764705882,0.20754716981132,-0.035714285714286
Net Profit Margin,0.021276595744681,0.047619047619048,0.029411764705882,0.13207547169811,-0.035714285714286
