Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,990000.0,906000.0,594000.0,474000.0,603000.0,1572000.0,1564000.0,1642000.0,1919000.0,1708000.0
Stock-based compensation,363000.0,556000.0,349000.0,209000.0,189000.0,159000.0,68000.0,61000.0,0.0,0.0
Operating Cash Flow,3756000.0,-327000.0,2890000.0,484000.0,4448000.0,2932000.0,331000.0,1850000.0,1149000.0,1953000.0
Capital Expenditure,-443000.0,-657000.0,-1594000.0,-1028000.0,-771000.0,-421000.0,-102000.0,-354000.0,-105000.0,-43000.0
Acquisitions and disposals,0.0,0.0,0.0,-282000.0,0.0,0.0,0.0,0.0,0.0,-14763000.0
Investment purchases and sales,0.0,0.0,0.0,0.0,222000.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-443000.0,-657000.0,-1594000.0,-1310000.0,-549000.0,-421000.0,-102000.0,-354000.0,-105000.0,-14806000.0
Issuance (repayment) of debt,476000.0,-502000.0,2649000.0,0.0,-800000.0,-450000.0,750000.0,-100000.0,-1441000.0,-1503000.0
Issuance (buybacks) of shares,-1200000.0,0.0,-2775000.0,-475000.0,-6000.0,-410000.0,-1227000.0,0.0,0.0,3000000.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-724000.0,-502000.0,-126000.0,-475000.0,-806000.0,-880000.0,-2212000.0,-100000.0,-1441000.0,3247000.0
Effect of forex changes on cash,-97000.0,54000.0,-38000.0,-12000.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,2492000.0,-1432000.0,1132000.0,-1313000.0,3093000.0,1631000.0,-1983000.0,1396000.0,-397000.0,-9606000.0
Free Cash Flow,3313000.0,-984000.0,1296000.0,-544000.0,3677000.0,2511000.0,229000.0,1496000.0,1044000.0,1910000.0
Net Cash/Marketcap,0.1344,0.0614,0.0645,0.1107,0.1666,0.0622,0.008,0.1101,0.0697,0.023
