Date,2016-12,2015-12,2014-12,2013-12,2012-12
Depreciation & Amortization,185000000.0,131000000.0,101000000.0,68000000.0,58000000.0
Stock-based compensation,8000000.0,8000000.0,6000000.0,5000000.0,6000000.0
Operating Cash Flow,152000000.0,46000000.0,50000000.0,81000000.0,57000000.0
Capital Expenditure,-46000000.0,-78000000.0,-50000000.0,-29000000.0,-22000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,0,16000000,9000000,8000000,-30000000
Investing Cash flow,-156000000.0,-71000000.0,-433000000.0,-22000000.0,-124000000.0
Issuance (repayment) of debt,-496000000.0,-357000000.0,-971000000.0,-35000000.0,-61000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,40000000.0,37000000.0,339000000.0,-29000000.0,67000000.0
Effect of forex changes on cash,1000000.0,-3000000.0,-3000000.0,000000.0,000000.0
Net cash flow / Change in cash,37000000.0,9000000.0,-47000000.0,30000000.0,1000000.0
Free Cash Flow,106000000.0,-32000000.0,1000000.0,52000000.0,35000000.0
Net Cash/Marketcap,,,,,
