Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,132690000.0,191521000.0,163467000.0,178853000.0,146113000.0,113262000.0,81449000.0,19976000.0,21200000.0,1108000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,132690000.0,191521000.0,163467000.0,178853000.0,146113000.0,113262000.0,81449000.0,19976000.0,21200000.0,1108000.0
Receivables,181064000.0,146836000.0,153634000.0,152824000.0,135206000.0,120358000.0,96590000.0,52219000.0,37853000.0,17081000.0
Inventories,184404000.0,180735000.0,139953000.0,166982000.0,177144000.0,184173000.0,189487000.0,189533000.0,110850000.0,51801000.0
Total current assets,549419000.0,576391000.0,481405000.0,529507000.0,485659000.0,449001000.0,418095000.0,264045000.0,172058000.0,76867000.0
Property, Plant & Equipment Net,206991000.0,195363000.0,134138000.0,140438000.0,142892000.0,142082000.0,132146000.0,96591000.0,98834000.0,108802000.0
Goodwill and Intangible Assets,521412000.0,554494000.0,242772000.0,264334000.0,286703000.0,309148000.0,318434000.0,19821000.0,22863000.0,25952000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,20343000.0,23789000.0,16993000.0,22977000.0,64224000.0,0.0,0.0,0.0
Total non-current assets,754974000.0,775122000.0,417328000.0,420163000.0,442992000.0,463244000.0,484531000.0,124005000.0,130776000.0,146910000.0
Total assets,1304393000.0,1351513000.0,898733000.0,949670000.0,928651000.0,912245000.0,902626000.0,388050000.0,302834000.0,223777000.0
Payables,153113000.0,108448000.0,71338000.0,79618000.0,96213000.0,112151000.0,87299000.0,107985000.0,71145000.0,30201000.0
Short-term debt,2179000.0,46310000.0,2962000.0,38417000.0,1954000.0,4854000.0,4521000.0,1507000.0,590000.0,337000.0
Total current liabilities,271676000.0,283668000.0,166614000.0,211077000.0,186857000.0,216363000.0,196693000.0,168516000.0,110631000.0,111794000.0
Long-term debt,503732000.0,505103000.0,234874000.0,276760000.0,330573000.0,365741000.0,420630000.0,68314000.0,58964000.0,32906000.0
Total debt,505911000.0,551413000.0,237836000.0,315177000.0,332527000.0,370595000.0,425151000.0,69821000.0,59554000.0,33243000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,34905000.0,36955000.0,499000.0,1497000.0,2349000.0,1234000.0,1065000.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,558868000.0,561782000.0,259728000.0,298782000.0,350962000.0,373503000.0,437206000.0,73188000.0,63178000.0,58498000.0
Total liabilities,830544000.0,845450000.0,426342000.0,509859000.0,537819000.0,589866000.0,633899000.0,241704000.0,173809000.0,170292000.0
Other comprehensive income,-3343000.0,-2385000.0,-2847000.0,-1500000.0,-637000.0,-18000.0,248000.0,0.0,0.0,0.0
Retained earnings (deficit),150244000.0,98728000.0,3591000.0,-111907000.0,-216198000.0,-277128000.0,-323657000.0,-429288000.0,-444330000.0,-277116000.0
Total shareholders equity,473849000.0,506063000.0,472391000.0,439811000.0,390832000.0,322379000.0,268727000.0,146346000.0,129025000.0,53485000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,373221000.0,359892000.0,74369000.0,136324000.0,186414000.0,257333000.0,343702000.0,49845000.0,38354000.0,32135000.0
Other Assets,51261000.0,57299000.0,24351000.0,30848000.0,27196000.0,31208000.0,50569000.0,2317000.0,2155000.0,6877000.0
Other Liabilities,116384000.0,128910000.0,92314000.0,93042000.0,88690000.0,99358000.0,104873000.0,59024000.0,38896000.0,81256000.0
