Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,337400000.0,235900000.0,203000000.0,274600000.0,255300000.0,230000000.0,161900000.0,91800000.0,110200000.0,83100000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,12400000.0,26500000.0,0.0,0.0
Cash and short-term investments,337400000.0,235900000.0,203000000.0,274600000.0,255300000.0,230000000.0,174300000.0,118300000.0,110200000.0,83100000.0
Receivables,288200000.0,253200000.0,200500000.0,181400000.0,179000000.0,185700000.0,175000000.0,147200000.0,126400000.0,138700000.0
Inventories,214500000.0,215200000.0,199300000.0,181100000.0,181500000.0,176900000.0,162200000.0,151800000.0,147000000.0,129200000.0
Total current assets,894400000.0,743500000.0,641900000.0,673700000.0,659100000.0,650700000.0,557300000.0,472000000.0,436600000.0,397200000.0
Property, Plant & Equipment Net,822000000.0,855000000.0,778300000.0,721000000.0,705800000.0,711700000.0,669000000.0,593600000.0,554800000.0,577100000.0
Goodwill and Intangible Assets,126100000.0,129400000.0,126300000.0,142200000.0,150600000.0,162500000.0,163100000.0,163500000.0,167600000.0,169800000.0
Long-term investments,91200000.0,85800000.0,82700000.0,61300000.0,60600000.0,60900000.0,59800000.0,56200000.0,48200000.0,38200000.0
Tax assets,24700000.0,25700000.0,66200000.0,70500000.0,73900000.0,77700000.0,98000000.0,93000000.0,75000000.0,77200000.0
Total non-current assets,1084500000.0,1119300000.0,1074800000.0,1021400000.0,1010600000.0,1020900000.0,1006700000.0,927100000.0,857700000.0,873800000.0
Total assets,1978900000.0,1862800000.0,1716700000.0,1695100000.0,1669700000.0,1671600000.0,1564000000.0,1399100000.0,1294300000.0,1271000000.0
Payables,130400000.0,138100000.0,122000000.0,119800000.0,103100000.0,108000000.0,102900000.0,89800000.0,63200000.0,68400000.0
Short-term debt,100000.0,0.0,2400000.0,69300000.0,27200000.0,2200000.0,32700000.0,50100000.0,300000.0,500000.0
Total current liabilities,283700000.0,279500000.0,241000000.0,314300000.0,252500000.0,236900000.0,261800000.0,243200000.0,169700000.0,171100000.0
Long-term debt,196000000.0,197000000.0,226200000.0,228900000.0,308300000.0,371300000.0,378800000.0,299300000.0,358100000.0,379100000.0
Total debt,196100000.0,197000000.0,228600000.0,298200000.0,335500000.0,373500000.0,411500000.0,349400000.0,358400000.0,379600000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,22900000.0,16400000.0,13700000.0,25200000.0,30600000.0,33500000.0,44200000.0,38900000.0,35000000.0,36700000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,298900000.0,303400000.0,358200000.0,356900000.0,460300000.0,528300000.0,573300000.0,501000000.0,498900000.0,520800000.0
Total liabilities,582600000.0,582900000.0,599200000.0,671200000.0,712800000.0,765200000.0,835100000.0,744200000.0,668600000.0,691900000.0
Other comprehensive income,-154200000.0,-117300000.0,-186800000.0,-162600000.0,-119200000.0,-32400000.0,-75900000.0,-71500000.0,-31300000.0,-19700000.0
Retained earnings (deficit),1353400000.0,1178200000.0,1071600000.0,964600000.0,902200000.0,805000000.0,719900000.0,664500000.0,612600000.0,569400000.0
Total shareholders equity,1396300000.0,1279900000.0,1117500000.0,1023900000.0,956900000.0,906400000.0,728900000.0,654900000.0,625700000.0,579100000.0
Investments,91200000.0,85800000.0,82700000.0,61300000.0,60600000.0,60900000.0,72200000.0,82700000.0,48200000.0,38200000.0
Net Debt,-141300000.0,-38900000.0,25600000.0,23600000.0,80200000.0,143500000.0,237200000.0,231100000.0,248200000.0,296500000.0
Other Assets,54300000.0,39200000.0,39100000.0,36600000.0,43300000.0,58100000.0,45800000.0,54700000.0,53000000.0,46200000.0
Other Liabilities,153200000.0,141400000.0,116600000.0,125200000.0,122200000.0,126700000.0,126200000.0,103300000.0,106200000.0,102200000.0
