date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-30_FY,2006-12-31_FY,2005-12-25_FY,2004-12-26_FY,2003-12-28_FY,2002-12-29_FY,2001-12-30_FY,2000-12-31_FY,1999-12-26_FY,1998-12-27_FY,1997-12-28_FY,1996-12-29_FY,1995-12-31_FY,1994-12-25_FY
,revenue,7532000000.0,6554000000.0,7476000000.0,7196000000.0,6365000000.0,7082000000.0,7403000000.0,8529000000.0,7059000000.0,6216000000.0,6552000000.0,5528000000.0,8018000000.0,16308000000.0,21896000000.0,22629000000.0,22665000000.0,19873000000.0,18521000000.0,14545000000.0,15980000000.0,12262000000.0,10766000000.0,11210000000.0,11114000000.0,11788000000.0,10398000000.0
,costOfRevenue,5447000000.0,5412000000.0,5592000000.0,5298000000.0,4926000000.0,5694000000.0,5763000000.0,6709000000.0,5810000000.0,5120000000.0,5392000000.0,4693000000.0,6998000000.0,13127000000.0,17138000000.0,17405000000.0,17012000000.0,15594000000.0,14537000000.0,11423000000.0,12088000000.0,9321000000.0,8484000000.0,8775000000.0,8336000000.0,8197000000.0,7670000000.0
,grossProfit,2085000000.0,1142000000.0,1884000000.0,1898000000.0,1439000000.0,1388000000.0,1640000000.0,1820000000.0,1249000000.0,1096000000.0,1160000000.0,835000000.0,1020000000.0,3181000000.0,4758000000.0,5224000000.0,5653000000.0,4279000000.0,3984000000.0,3122000000.0,3892000000.0,2941000000.0,2282000000.0,2435000000.0,2778000000.0,3591000000.0,2728000000.0
,grossProfitRatio,0.276818906001062,0.17424473603906,0.252006420545746,0.263757643135075,0.226080125687353,0.195989833380401,0.2215318114278,0.213389611912299,0.176937243235586,0.176319176319176,0.177045177045177,0.151049204052098,0.127213769019706,0.195057640421879,0.217299963463646,0.230854213619692,0.249415398191043,0.215317264630403,0.215107175638464,0.214644207631488,0.243554443053817,0.239846680802479,0.211963589076723,0.21721677074041,0.249955011696959,0.304631828978622,0.262358145797269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,6000000.0,8000000.0,14000000.0,19000000.0,24000000.0,27000000.0,33000000.0,32000000.0,30000000.0,34000000.0,51000000.0,64000000.0,71000000.0,69000000.0,61000000.0,55000000.0,51000000.0,52000000.0,55000000.0,56000000.0,55000000.0,57000000.0,56000000.0,54000000.0,0.0,47000000.0
,GeneralAndAdministrativeExpenses,264000000.0,348000000.0,318000000.0,310000000.0,332000000.0,289000000.0,338000000.0,455000000.0,436000000.0,601000000.0,677000000.0,61000000.0,562000000.0,1049000000.0,1786000000.0,1336000000.0,1357000000.0,1308000000.0,1167000000.0,907000000.0,1144000000.0,984000000.0,840000000.0,893000000.0,1037000000.0,914000000.0,1461000000.0
,SellingAndMarketingExpenses,83000000.0,84000000.0,88000000.0,87000000.0,89000000.0,113000000.0,112000000.0,220000000.0,194000000.0,0.0,0.0,230000000.0,356000000.0,422000000.0,0.0,461000000.0,488000000.0,457000000.0,450000000.0,380000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,-516000000.0,-272000000.0,-62000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9000000.0,0.0,-47000000.0,-275000000.0,-253000000.0,-140000000.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
