Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,3890000.0,6855000.0,18548000.0,24951000.0,16023000.0,33586000.0,56960000.0,5212000.0,5407000.0,744000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,3890000.0,6855000.0,18548000.0,24951000.0,16023000.0,33586000.0,56960000.0,5212000.0,5407000.0,744000.0
Receivables,0.0,0.0,0.0,246000.0,0.0,0.0,0.0,0.0,80000.0,2000.0
Inventories,782000.0,1159000.0,2506000.0,379000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,5759000.0,16093000.0,30499000.0,28204000.0,18600000.0,34828000.0,57429000.0,5238000.0,5675000.0,3518000.0
Property, Plant & Equipment Net,11795000.0,15797000.0,16266000.0,0.0,0.0,230000.0,294000.0,8000.0,178000.0,179000.0
Goodwill and Intangible Assets,9167000.0,31177000.0,34022000.0,21339000.0,17625000.0,88505000.0,100009000.0,3068000.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27000.0,104000.0
Total non-current assets,24825000.0,49147000.0,52308000.0,22255000.0,18835000.0,88982000.0,100357000.0,3076000.0,214000.0,271000.0
Total assets,30584000.0,65240000.0,82807000.0,50459000.0,37435000.0,123810000.0,157786000.0,8314000.0,5889000.0,3789000.0
Payables,8172000.0,8736000.0,10990000.0,5855000.0,4732000.0,5445000.0,1444000.0,449000.0,421000.0,876000.0
Short-term debt,8486000.0,0.0,0.0,3111000.0,0.0,0.0,0.0,2000000.0,1262000.0,2469000.0
Total current liabilities,16658000.0,12497000.0,11773000.0,9141000.0,4732000.0,5488000.0,1842000.0,2449000.0,2269000.0,3649000.0
Long-term debt,0.0,6500000.0,6500000.0,0.0,0.0,0.0,0.0,1200000.0,1911000.0,3146000.0
Total debt,8486000.0,6500000.0,6500000.0,3111000.0,0.0,0.0,0.0,3200000.0,3173000.0,5615000.0
Deferred revenue,0.0,0.0,0.0,175000.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,791000.0,6904000.0,6865000.0,802000.0,1523000.0,4040000.0,7612000.0,3000000.0,3859000.0,16518000.0
Total liabilities,17449000.0,19401000.0,18638000.0,9943000.0,6255000.0,9528000.0,9454000.0,5449000.0,6128000.0,20167000.0
Other comprehensive income,-251000.0,-74000.0,-13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-286913000.0,-249708000.0,-220868000.0,-196862000.0,-185705000.0,-76028000.0,-23595000.0,-2754000.0,-30067000.0,-20125000.0
Total shareholders equity,9106000.0,40883000.0,59528000.0,40516000.0,31180000.0,114282000.0,148332000.0,2865000.0,-239000.0,-16378000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,4596000.0,-355000.0,-12048000.0,-21840000.0,-16023000.0,-33586000.0,-56960000.0,-2012000.0,-2234000.0,4871000.0
Other Assets,1087000.0,8079000.0,9445000.0,2628000.0,2577000.0,1242000.0,469000.0,26000.0,188000.0,2772000.0
Other Liabilities,0.0,3761000.0,783000.0,175000.0,0.0,43000.0,398000.0,0.0,586000.0,304000.0
