Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,9498000.0,7976000.0,1317000.0,3516000.0,4023000.0,5220000.0,2501000.0,61000.0,87000.0,113000.0
Stock-based compensation,916000.0,2177000.0,2448000.0,5064000.0,10967000.0,12093000.0,8087000.0,1769000.0,2291000.0,188000.0
Operating Cash Flow,-6566000.0,-12172000.0,-8441000.0,-2571000.0,-28382000.0,-23465000.0,-14468000.0,-5380000.0,-6361000.0,-4850000.0
Capital Expenditure,-3116000.0,-4712000.0,-66000.0,0.0,-246000.0,-1443000.0,-22756000.0,-27000.0,-86000.0,-33000.0
Acquisitions and disposals,800000.0,276000.0,2114000.0,144000.0,0.0,0.0,3326000.0,0.0,0.0,0.0
Investment purchases and sales,200000.0,0.0,2001000.0,-248000.0,-2404000.0,-193000.0,-46000.0,20000.0,2582000.0,-2582000.0
Investing Cash flow,-1866000.0,-5396000.0,3474000.0,-104000.0,-2650000.0,-1636000.0,-19476000.0,-6000.0,2499000.0,-2615000.0
Issuance (repayment) of debt,4030000.0,0.0,-2061000.0,11597000.0,0.0,0.0,-3200000.0,405000.0,-757000.0,1113000.0
Issuance (buybacks) of shares,0.0,6584000.0,0.0,0.0,2160000.0,974000.0,76619000.0,793000.0,9277000.0,0.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,5644000.0,6087000.0,-2061000.0,11597000.0,13452000.0,1564000.0,85694000.0,1198000.0,8520000.0,2183000.0
Effect of forex changes on cash,-177000.0,-61000.0,-13000.0,6000.0,17000.0,163000.0,-2000.0,-29000.0,5000.0,22000.0
Net cash flow / Change in cash,-2965000.0,-11542000.0,-7041000.0,8928000.0,-17563000.0,-23374000.0,51748000.0,-4217000.0,4663000.0,-5260000.0
Free Cash Flow,-9682000.0,-16884000.0,-8507000.0,-2571000.0,-28628000.0,-24908000.0,-37224000.0,-5407000.0,-6447000.0,-4883000.0
Net Cash/Marketcap,-0.8315,0.0092,0.3481,0.7844,0.3127,0.1349,0.3407,0.3549,0.1837,0.4218
