Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Depreciation & Amortization,3630000.0,2739000.0,1025000.0,494000.0,412000.0
Stock-based compensation,13441000.0,3429000.0,4291000.0,1389000.0,574000.0
Operating Cash Flow,24177000.0,219000.0,-35246000.0,-22170000.0,-7016000.0
Capital Expenditure,-803000.0,-2015000.0,-4425000.0,-626000.0,-80000.0
Acquisitions and disposals,0.0,0.0,78000.0,0.0,0.0
Investment purchases and sales,-105626000.0,-27767000.0,-20067000.0,-8348000.0,0.0
Investing Cash flow,-109046000.0,-30888000.0,-25453000.0,-9201000.0,-281000.0
Issuance (repayment) of debt,-11000.0,-7823000.0,6946000.0,-4000.0,-9000.0
Issuance (buybacks) of shares,91667000.0,57774000.0,17000.0,1752000.0,46341000.0
Dividend payments,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,91431000.0,49951000.0,64777000.0,1516000.0,46387000.0
Effect of forex changes on cash,-303000.0,227000.0,840000.0,-5461000.0,-1244000.0
Net cash flow / Change in cash,6259000.0,19509000.0,4918000.0,-35316000.0,37846000.0
Free Cash Flow,23374000.0,-1796000.0,-39671000.0,-22796000.0,-7096000.0
Net Cash/Marketcap,0.4265,0.4368,0.1088,0.1088,0.1088
