Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Depreciation & Amortization,29740000.0,20381000.0,14188000.0,9424000.0,6169000.0,3407000.0,2942000.0,3112000.0
Stock-based compensation,11120000.0,7795000.0,3833000.0,2120000.0,2061000.0,1068000.0,161000.0,563000.0
Operating Cash Flow,14029000.0,84284000.0,57104000.0,-15212000.0,7242000.0,-6552000.0,-358000.0,-4125000.0
Capital Expenditure,71854000.0,66968000.0,49442000.0,57080000.0,0.0,0.0,-3040000.0,-1403000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-76514000.0,-70159000.0,-41543000.0,-61620000.0,-45388000.0,-17736000.0,-3290000.0,-1571000.0
Issuance (repayment) of debt,-3133000.0,-42758000.0,-5855000.0,-2413000.0,-8076000.0,-285000.0,2708000.0,115000.0
Issuance (buybacks) of shares,-55646000.0,-61364000.0,-22987000.0,10574000.0,13506000.0,-22006000.0,5000.0,16000.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,34803000.0,18244000.0,4642000.0,73114000.0,47250000.0,35368000.0,12754000.0,2836000.0
Effect of forex changes on cash,1738000.0,-385000.0,1947000.0,-383000.0,1065000.0,203000.0,-150000.0,136000.0
Net cash flow / Change in cash,-25944000.0,31984000.0,22150000.0,-4101000.0,10169000.0,11283000.0,8956000.0,-2724000.0
Free Cash Flow,-57825000.0,17316000.0,7662000.0,-72292000.0,7242000.0,-6552000.0,-3398000.0,-5528000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,-0.1694,-0.1694
