Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,18750000.0,137750000.0,69142000.0,40138000.0,11520000.0,424000.0,396000.0,2460000.0
Short-term investments,66218000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,84968000.0,137750000.0,69142000.0,40138000.0,11520000.0,424000.0,396000.0,2460000.0
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,194000.0,151000.0
Total current assets,88851000.0,140592000.0,69421000.0,40568000.0,11555000.0,575000.0,1681000.0,3313000.0
Property Plant & Equipment Net,9443000.0,1374000.0,721000.0,350000.0,4000.0,6000.0,7000.0,51000.0
Goodwill and Intangible Assets,75508000.0,36443000.0,40850000.0,39075000.0,4991000.0,0.0,0.0,362000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,85548000.0,38174000.0,41637000.0,39487000.0,5027000.0,38000.0,49000.0,472000.0
Total assets,174399000.0,178766000.0,111058000.0,80055000.0,16582000.0,613000.0,1730000.0,3785000.0
Payables,6122000.0,2393000.0,3694000.0,875000.0,1896000.0,863000.0,2039000.0,1713000.0
Short-term debt,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,2750000.0
Total current liabilities,20354000.0,5607000.0,8296000.0,1477000.0,2898000.0,8961000.0,6629000.0,12190000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,2750000.0
Deferred revenue,296000.0,3214000.0,602000.0,602000.0,602000.0,578000.0,247000.0,285000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,3061000.0,3664000.0,4266000.0,4868000.0,5241000.0,2706000.0,3264000.0
Total liabilities,40354000.0,8668000.0,11960000.0,12334000.0,11766000.0,15392000.0,18806000.0,21391000.0
Other comprehensive income,543754000,529421000,431168000,377993000,300690000,251385000,250649000,237596000
Retained earnings (deficit),-410188000.0,-359792000.0,-332473000.0,-310600000.0,-296074000.0,-266421000.0,-267972000.0,-255441000.0
Total shareholders equity,134045000.0,170098000.0,99098000.0,67721000.0,4816000.0,-14779000.0,-17076000.0,-17606000.0
Investments,66218000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-18750000.0,-137750000.0,-69142000.0,-40138000.0,-11120000.0,-424000.0,-396000.0,290000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,20000000.0,0.0,0.0,6591000.0,4000000.0,1190000.0,9471000.0,5937000.0
