Date,2019-06-30,2018-06-30,2017-06-30
Revenue,189266412.2137,41815151.5152,1103527.6074
Revenue Growth,3.5263,36.8923,
Cost of Revenue,67270229.0076,8846212.1212,-585122.6994
Gross Profit,121996183.2061,32968939.3939,1688650.3067
R&D Expenses,11280916.0305,1271969.697,433282.2086
SG&A Expense,207369465.6489,54856060.6061,3620398.773
Operating Expenses,361877099.2366,105523484.8485,5208588.9571
Operating Income,-239880916.0305,-72554545.4545,-3519938.6503
Interest Expense,31316793.8931,8910606.0606,1107361.9632
Earnings before Tax,-261409160.3053,54476515.1515,-4503067.4847
Income Tax Expense,-23135114.5038,6136363.6364,-114263.8037
Net Income - Non-Controlling int,10851145.0382,4104545.4545,0.0
Net Income - Discontinued ops,0.0,0.0,0.0
Net Income,-238274045.8015,48340151.5152,-4388803.681
Preferred Dividends,0.0,0.0,0.0
Net Income Com,-238274045.8015,48340151.5152,-4388803.681
EPS,-0.2214,0.1212,-0.0307
EPS Diluted,-0.2214,0.1136,-0.0307
Weighted Average Shs Out,761895224.4275,756123290.9091,
Weighted Average Shs Out (Dil),761895224.4275,211385777.2727,98917381.9018
Dividend per Share,0.0,0.0,0.0
Gross Margin,0.6446,0.7884,1.5302
EBITDA Margin,-0.6565,1.3167,-2.0437
EBIT Margin,-1.2157,1.5159,-3.0771
Profit Margin,-0.9611,0.8758,-3.0498
Free Cash Flow margin,-2.4463,-3.9606,-6.016
EBITDA,-162719083.9695,72675000.0,-2940950.9202
EBIT,-230092366.4122,63387121.2121,-3395705.5215
Consolidated Income,-227422900.7634,52444696.9697,-4388803.681
Earnings Before Tax Margin,-1.3812,1.3028,-4.0806
Net Profit Margin,-1.2589,1.156,-3.9771
