Date,2018-12-31,2017-12-31,2017-03-31,2016-12-31,2016-03-31,2015-12-31,2015-03-31,2014-01-31,2013-01-31,2012-01-31,2011-01-31,2010-01-31
Revenue,519907752.0,357747410.0,57427701.0,,44048740.0,,32989742.0,10484305.0,5110806.0,5110806.0,3896584.0,2441452.0
Revenue Growth,0.453281665966499,5.22952693161093,0.0,0.0,0.0,0.0,2.14658358374733,1.0513995248499,0,0.311611914435824,0.596010898432572,1.309
Cost of Revenue,361132111.0,274656697.0,48735537.0,,34000786.0,,22067421.0,9076213.0,4132399.0,4132399.0,3314722.0,1813944.0
Gross Profit,158775641.0,83090713.0,8692164.0,581862.0,10047954.0,627508.0,10922321.0,1408092.0,978407.0,978407.0,1408092.0,1459967.0
R&D Expenses,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,43353787.0,26437602.0,18583372.0,,16962687.0,,11282221.0,5286610.0,1379153.0,1379153.0,566649.0,694319.0
Operating Expenses,431475590.0,322601443.0,67964651.0,583032.0,51314869.0,729723.0,33684076.0,5317971.0,1391742.0,1391742.0,5317971.0,3538454.0
Operating Income,88432162.0,35145967.0,-10536950.0,-1170.0,-7266129.0,-102215.0,-694334.0,-3909879.0,-413335.0,-413335.0,-3909879.0,-2078487.0
Interest Expense,560515.0,79689.0,82905.0,126431.0,542296.0,53128.0,1326407.0,679184.0,304034.0,131534.0,679184.0,930176.0
Earnings before Tax,82627131.0,49711113.0,-8729410.0,,-8244426.0,,-1184165.0,-4539361.0,-714527.0,-714527.0,-154731.0,-195480.0
Income Tax Expense,22359640.0,3886785.0,-47495.0,,-71037.0,,163792.0,19513.0,5819.0,5819.0,1600.0,800.0
Net Income - Non-Controlling int,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,10835002.0,25801842.0,-8969816.0,,-9344044.0,,-1802601.0,-4558874.0,-720346.0,-720346.0,-156331.0,-196280.0
Preferred Dividends,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,10835002.0,25801842.0,-8969816.0,,-9344044.0,,-1802601.0,-4558874.0,-720346.0,-720346.0,-156331.0,-196280.0
EPS,0.33,1.01,-1.49,,-1.79,,-0.37,-0.12,-0.02,-0.02,-0.1,-0.1
EPS Diluted,0.29,0.9,-1.49,,-1.79,,-0.37,-0.12,-0.02,-0.02,-0.1,-0.1
Weighted Average Shs Out,32893940.0,25525786.0,6001680.0,,5212927.0,,4891652.0,36661648.0,29078925.0,29078925.0,2763577.0,2696355.0
Weighted Average Shs Out (Dil),37914886.0,28661735.0,6001680.0,,5212927.0,,4891652.0,36661648.0,29078925.0,29078925.0,2749048.0,2649105.0
Dividend per Share,0.468386163683,0.364525141273,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.305391947685,0.232260837332,0.151358383648,,0.228109907344,,0.331082340686,0.134304753629,0.191438884591,0.191438884591,0.1493,0.257
EBITDA Margin,0.207220108924,0.151563137802,-0.171457359925,,-0.155505129091,,0.00491279986367,-0.332532390082,-0.0709167986419,-0.0782541931742,-0.004,-0.044
EBIT Margin,0.170092024325,0.0982424079604,-0.183482009841,,-0.164956568565,,-0.0210469666601,-0.372926865443,-0.0808747191735,-0.0808747191735,-0.0073,-0.0583
Profit Margin,0.0208402393662,0.0721230714151,-0.156193193247,,-0.21212965456,,-0.0546412578795,-0.434828441179,-0.140945674714,-0.140945674714,-0.04,-0.08
Free Cash Flow margin,0.0467890215263,0.139329056219,-0.14690887591,,-0.0477024541451,,-0.00959143602881,-0.143179352375,-0.076829368988,-0.076829368988,-0.0683,-0.1385
EBITDA,107735341.0,54221320.0,-9846402.0,,-6849805.0,,162072.0,-3486371.0,-362442.0,-399942.0,-17102.0,-106649.0
EBIT,88432162.0,35145967.0,-10536950.0,-28300.0,-7266129.0,-142352.0,-694334.0,-3909879.0,-413335.0,-413335.0,-4321601.0,-7969588.0
Consolidated Income,10835002.0,25801842.0,-8969816.0,,-9344044.0,,-1802601.0,-4558874.0,-720346.0,-720346.0,-156331.0,-196280.0
Earnings Before Tax Margin,0.158926522411,0.13895589908,-0.152006955668,,-0.187165989311,,-0.0358949457683,-0.432967278232,-0.139807106746,-0.139807106746,-0.0397,-0.0801
Net Profit Margin,0.0208402393662,0.0721230714151,-0.156193193247,,-0.21212965456,,-0.0546412578795,-0.434828441179,-0.140945674714,-0.140945674714,-0.0401,-0.0804
