Date,2017-12,2016-12,2015-12,2014-12,2013-12
Revenue,34975000000.0,24582000000.0,28711000000.0,40633000000.0,37601000000.0
Revenue Growth,,,,,
Cost of Revenue,28480000000.0,19299000000.0,22466000000.0,35691000000.0,34085000000.0
Gross Profit,6495000000.0,5283000000.0,6245000000.0,4942000000.0,3516000000.0
R&D Expenses,,,,,
SG&A Expense,742000000.0,401000000.0,342000000.0,342000000.0,337000000.0
Operating Expenses,4945000000.0,3793000000.0,3376000000.0,3306000000.0,2737000000.0
Operating Income,1550000000.0,1490000000.0,2869000000.0,1636000000.0,779000000.0
Interest Expense,439000000.0,274000000.0,217000000.0,235000000.0,151000000.0
Earnings before Tax,1115000000.0,1277000000.0,2630000000.0,1464000000.0,680000000.0
Income Tax Expense,-560000000.0,427000000.0,936000000.0,547000000.0,246000000.0
Net Income - Non-Controlling int,,,,,
Net Income - Discontinued ops,,,,,
Net Income,1528000000.0,734000000.0,1540000000.0,843000000.0,412000000.0
Preferred Dividends,,,,,
Net Income Com,1528000000.0,734000000.0,1540000000.0,843000000.0,412000000.0
EPS,10.91,6.19,12.50,6.56,3.05
EPS Diluted,10.81,6.12,12.36,6.44,3.00
Weighted Average Shs Out,140000000.0,118000000.0,123000000.0,128000000.0,135000000.0
Weighted Average Shs Out (Dil),141000000.0,120000000.0,125000000.0,131000000.0,137000000.0
Dividend per Share,,,,,
Gross Margin,0.18570407433881,0.21491335123261,0.21751245167357,0.12162527994487,0.093508151378953
EBITDA Margin,0.073624017155111,0.097713774306403,0.12549197171816,0.055644426943617,0.035132044360522
EBIT Margin,0.040228734810579,0.058376047514441,0.093796802619205,0.039992124627766,0.021515385229116
Profit Margin,0.043688348820586,0.029859246603206,0.053637978475149,0.020746683729973,0.010957155394803
Free Cash Flow margin,,,,,
EBITDA,2575000000.0,2402000000.0,3603000000.0,2261000000.0,1321000000.0
EBIT,1407000000,1435000000,2693000000,1625000000,809000000
Consolidated Income,1528000000.0,734000000.0,1540000000.0,843000000.0,412000000.0
Earnings Before Tax Margin,0.031879914224446,0.05194858026198,0.091602521681585,0.036029827972338,0.018084625408899
Net Profit Margin,0.043688348820586,0.029859246603206,0.053637978475149,0.020746683729973,0.010957155394803
