Date,2018-12-31,2017-12-31,2017-04-05,2016-12-31,2016-04-05,2015-12-31
Depreciation & Amortization,235410.0,200918.0,65874.0,52000.0,,
Stock-based compensation,1289737.0,1126595.0,1126595.0,1419923.0,1419923.0,
Operating Cash Flow,-39723402.0,-34479995.0,-34116858.0,-5798335.0,-5751112.0,-11757000.0
Capital Expenditure,-23083157.0,-300276.0,-300276.0,-455002.0,-455002.0,-34000.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,
Investing Cash flow,-23094290.0,-336444.0,-336444.0,-523476.0,-523476.0,-43000.0
Issuance (repayment) of debt,4060357.0,228514.0,228514.0,-376968.0,-376968.0,49582000.0
Issuance (buybacks) of shares,42228000.0,33060951.0,33060951.0,22223869.0,22223869.0,0.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,40899491.0,33289465.0,33289465.0,30987363.0,30987363.0,34686000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,-472000.0
Net cash flow / Change in cash,-21664310.0,-1163837.0,-1163837.0,24674739.0,24674739.0,22414000.0
Free Cash Flow,-62806559.0,-34780271.0,-34417134.0,-6253337.0,-6206114.0,
Net Cash/Marketcap,0.1294,5.0479,5.0479,5.0479,,
