Date,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30
Cash and cash equivalents,52982000.0,58331000.0,51121000.0,27655000.0,25852000.0,27367000.0,37197000.0,46726000.0,67382000.0,62956000.0,43794000.0
Short-term investments,22892000.0,17582000.0,50721000.0,9787000.0,18261000.0,10320000.0,17238000.0,20311000.0,51213000.0,0.0,0.0
Cash and short-term investments,52982000.0,58331000.0,51121000.0,27655000.0,25852000.0,27367000.0,37197000.0,46726000.0,67382000.0,62956000.0,43794000.0
Receivables,12873000.0,20475000.0,22519000.0,17642000.0,14488000.0,8896000.0,4829000.0,7486000.0,14447000.0,24483000.0,13565000.0
Inventories,17532000.0,24710000.0,30210000.0,23223000.0,23329000.0,16760000.0,22001000.0,25670000.0,37162000.0,24317000.0,13455000.0
Total current assets,108270000.0,124290000.0,157113000.0,82924000.0,85702000.0,65425000.0,84195000.0,102843000.0,174851000.0,116454000.0,18581000.0
Property Plant & Equipment Net,10217000.0,16452000.0,15792000.0,15960000.0,17761000.0,9752000.0,11066000.0,12387000.0,12680000.0,9577000.0,8477000.0
Goodwill and Intangible Assets,7503000.0,7763000.0,14900000.0,15219000.0,15474000.0,11001000.0,11983000.0,12451000.0,18334000.0,7410000.0,8964000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,200000.0,200000.0,430000.0,1300000.0,1260000.0,470000.0,0.0,4790000.0,3430000.0
Total non-current assets,18207000.0,25116000.0,34510000.0,35506000.0,39754000.0,24479000.0,26752000.0,26179000.0,31014000.0,19647000.0,644000.0
Total assets,126477000.0,149406000.0,191623000.0,118430000.0,125456000.0,89904000.0,110947000.0,129022000.0,205865000.0,136101000.0,92526000.0
Payables,4371000.0,11374000.0,21555000.0,15397000.0,15646000.0,6003000.0,5472000.0,5780000.0,8928000.0,12446000.0,4181000.0
Short-term debt,371000.0,374000.0,361000.0,1134000.0,919000.0,0.0,0.0,0.0,0.0,0.0,121000.0
Total current liabilities,30648000.0,45143000.0,85969000.0,38064000.0,39371000.0,33136000.0,41334000.0,42611000.0,80794000.0,50816000.0,18077000.0
Long-term debt,5178000.0,7960000.0,8134000.0,9097000.0,8448000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,5549000.0,8334000.0,8495000.0,10231000.0,9367000.0,0.0,0.0,0.0,0.0,0.0,121000.0
Deferred revenue,1378000.0,3071000.0,4081000.0,4709000.0,4873000.0,6908000.0,3067000.0,10236000.0,27608000.0,11439000.0,4727000.0
Tax Liabilities,1434000.0,2353000.0,286000.0,1100000.0,830000.0,4990000.0,6170000.0,7140000.0,16670000.0,7330000.0,640000.0
Deposit Liabilities,1378000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8858000.0,2861000.0
Total non-current liabilities,8377000.0,11173000.0,15171000.0,9097000.0,10498000.0,1060000.0,1330000.0,0.0,110000.0,1042000.0,644000.0
Total liabilities,39025000.0,56316000.0,101140000.0,51373000.0,52622000.0,34763000.0,43801000.0,46302000.0,89546000.0,51858000.0,18721000.0
Other comprehensive income,125098000,124316000,125564000,111631000,110191000,81884000,79610000,77377000,83207000,-982000.0,661000.0
Retained earnings (deficit),-26556000.0,-21394000.0,-26699000.0,-35830000.0,-28822000.0,-21051000.0,-8004000.0,12065000.0,35096000.0,12214000.0,2651000.0
Total shareholders equity,87452000.0,93090000.0,90483000.0,67057000.0,72834000.0,55141000.0,67146000.0,82720000.0,116319000.0,84243000.0,73805000.0
Investments,22892000.0,17582000.0,50721000.0,9787000.0,18261000.0,10320000.0,17238000.0,20311000.0,51213000.0,0.0,0.0
Net Debt,-47433000.0,-49997000.0,-42626000.0,-17424000.0,-16485000.0,-27367000.0,-37197000.0,-46726000.0,-67382000.0,-62956000.0,-43673000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3131000.0
Other Liabilities,0.0,0.0,0.0,4212000.0,2753000.0,567000.0,1137000.0,3691000.0,8642000.0,38370000.0,13775000.0
