Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,282300000.0,431000000.0,399200000.0,0.0,0.0,0.0,0.0,93900000.0,1051000.0,179517000.0
Revenue Growth,-0.345011600928074,0.0796593186372745,0.0,0.0,0.0,0.0,-1,88.3434823977165,-0.994145401271189,0.0328
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58400000.0,1253000.0,87675000.0
Gross Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35500000.0,-202000.0,91842000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,23900000.0,23600000.0,22600000.0,29400000.0,37900000.0,35200000.0,28267000.0,37700000.0,16149000.0,26028000.0
Operating Expenses,23900000.0,23600000.0,22600000.0,29400000.0,37900000.0,35200000.0,28267000.0,61300000.0,16237000.0,67764000.0
Operating Income,37400000.0,-151100000.0,-128500000.0,-114500000.0,-194000000.0,-37100000.0,-144862000.0,-25800000.0,-16439000.0,24078000.0
Interest Expense,0.0,0.0,-14600000.0,-30400000.0,-11900000.0,-19500000.0,-28083000.0,33300000.0,15339000.0,74498000.0
Earnings before Tax,37400000.0,-151100000.0,-137000000.0,-92800000.0,-189300000.0,-52500000.0,-140859000.0,-46200000.0,12266000.0,-54179000.0
Income Tax Expense,200000.0,-58100000.0,-14600000.0,-30400000.0,-11900000.0,-19500000.0,-28083000.0,-11100000.0,16018000.0,-15693000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500000.0,-103000.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34300000.0,-24127000.0,0.0
Net Income,36800000.0,-98600000.0,-122400000.0,-62400000.0,-177400000.0,-33000000.0,-112776000.0,-35100000.0,-3752000.0,-38486000.0
Preferred Dividends,8300000.0,8600000.0,0.0,8800000.0,11600000.0,12600000.0,13049000.0,3300000.0,0.0,0.0
Net Income Com,36800000.0,-98600000.0,-122400000.0,-62400000.0,-177400000.0,-33000000.0,-112776000.0,-38400000.0,-3752000.0,-38486000.0
EPS,0.33,-0.86,-1.02,-0.51,-1.47,-0.28,-0.97,-0.5,-0.06,-0.63
EPS Diluted,0.29,-0.86,-1.02,-0.51,-1.47,-0.28,-0.97,-0.5,-0.06,-0.63
Weighted Average Shs Out,112000000.0,115100000.0,119500000.0,121900000.0,120700000.0,119900000.0,116426000.0,113474259.0,66634461.0,
Weighted Average Shs Out (Dil),141800000.0,115100000.0,119500000.0,121900000.0,120700000.0,119900000.0,116426000.0,77500000.0,61706000.0,60632000.0
Dividend per Share,0.058533145275,0.0755864465682,0.071129707113,0.0910582444627,0.289146644573,0.542952460384,1.23784206277,1.104,0.817,0.0
Gross Margin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3781,-0.1922,0.5116
EBITDA Margin,0.462274176408,-0.0631090487239,-0.0375751503006,0.0,0.0,0.0,0.0,0.54,64.693,0.344
EBIT Margin,0.132483173928,-0.350580046404,-0.321893787575,0.0,0.0,0.0,0.0,-0.1374,26.2655,0.1132
Profit Margin,0.130357775416,-0.228770301624,-0.306613226453,0.0,0.0,0.0,0.0,-0.409,-3.57,-0.214
Free Cash Flow margin,0.480694296847,0.380278422274,0.262024048096,0.0,0.0,0.0,0.0,-0.6305,38.3045,0.2698
EBITDA,130500000.0,-27200000.0,-15000000.0,5800000.0,-31400000.0,139300000.0,12345000.0,50700000.0,67992000.0,61693000.0
EBIT,37400000.0,-151100000.0,-128500000.0,-114500000.0,-194000000.0,-37100000.0,-144862000.0,-12900000.0,27605000.0,20319000.0
Consolidated Income,36800000.0,-98600000.0,-122400000.0,-62400000.0,-177400000.0,-33000000.0,-112776000.0,-35600000.0,-3855000.0,-38486000.0
Earnings Before Tax Margin,0.132483173928,-0.350580046404,-0.343186372745,0.0,0.0,0.0,0.0,-0.492,11.6708,-0.3018
Net Profit Margin,0.130357775416,-0.228770301624,-0.306613226453,0.0,0.0,0.0,0.0,-0.3738,-3.5699,-0.2144
