Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,1284000.0,725000.0,625117.0
Stock-based compensation,606000.0,461000.0,321476.0
Operating Cash Flow,-31370000.0,-18175000.0,-17335256.0
Capital Expenditure,1228000.0,-1039000.0,-292115.0
Acquisitions and disposals,-0.0,0.0,0.0
Investment purchases and sales,-473000.0,0.0,0.0
Investing Cash flow,-60050000.0,-1039000.0,-292115.0
Issuance (repayment) of debt,-0.0,0.0,0.0
Issuance (buybacks) of shares,137527000.0,22000.0,0.0
Dividend payments,-0.0,0.0,0.0
Financing Cash Flow,165342000.0,34815000.0,1625000.0
Effect of forex changes on cash,-14000.0,588000.0,-291.0
Net cash flow / Change in cash,73908000.0,16189000.0,-16002662.0
Free Cash Flow,-32598000.0,-19214000.0,-17627371.0
Net Cash/Marketcap,0.0,0.0494,0.0494
