Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Revenue,1937810000.0,3353356000.0,2612623000.0,2575437000.0,1787490000.0,2498086000.0,1766993000.0,1464685000.0
Revenue Growth,-0.422128160565117,0.28352081413966,0.0144387146725002,0.440811976570498,-0.284456179651141,0.413749799801131,0.206397962701878,0.0
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Expenses,1815838000.0,3226053000.0,2532529000.0,2706001000.0,1834826000.0,2232165000.0,1711256000.0,1410326000.0
Operating Income,179817000.0,231997000.0,188260000.0,388814000.0,-3188000.0,265921000.0,55737000.0,20137000.0
Interest Expense,41733000.0,102504000.0,57637000.0,69359000.0,37945000.0,38332000.0,34885000.0,24606000.0
Earnings before Tax,179817000.0,231997000.0,188260000.0,388814000.0,-3188000.0,265921000.0,55737000.0,35052000.0
Income Tax Expense,76120000.0,150268000.0,60252000.0,120496000.0,651000.0,92166000.0,20224000.0,15999000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,197520000.0,51475000.0,102477000.0,126788000.0,4135000.0,70924000.0,23864000.0,20137000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,197520000.0,51475000.0,102477000.0,126788000.0,4135000.0,70924000.0,23864000.0,20137000.0
EPS,0.6,0.18,0.37,0.52,0.02,0.37,0.16,0.17
EPS Diluted,0.23,0.17,0.36,0.5,0.02,0.36,0.16,0.17
Weighted Average Shs Out,322141000.0,287378000.0,277073000.0,243460000.0,220697000.0,193694000.0,144886000.0,116132000.0
Weighted Average Shs Out (Dil),323844000.0,454256000.0,433226000.0,335387000.0,328455000.0,265348000.0,280809000.0,116514000.0
Dividend per Share,0.714683613098,0.440535733155,0.394239957897,0.391666939983,0.320080376307,0.344434478496,0.322603620254,0.662958957722
Gross Margin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBITDA Margin,0.135847167679,0.134040048238,0.120926746798,0.218741130146,0.0403465194211,0.205447690752,0.0830201364691,0.0703297978746
EBIT Margin,0.0927939271652,0.0691835283817,0.072057851439,0.150970107209,-0.00178350648116,0.106449898042,0.0315434186779,0.013748348621
Profit Margin,0.101929497732,0.0153502938549,0.039223799224,0.0492297035416,0.00231329965482,0.0283913364072,0.0135054298461,0.013748348621
Free Cash Flow margin,-0.0474107368627,0.365531127623,-0.029327997189,0.0680420449034,0.0950024895244,0.0573951417205,0.076084625123,0.039704100199
EBITDA,263246000.0,449484000.0,315936000.0,563354000.0,72119000.0,513226000.0,146696000.0,103011000.0
EBIT,179817000.0,231997000.0,188260000.0,388814000.0,-3188000.0,265921000.0,55737000.0,20137000.0
Consolidated Income,197520000.0,51475000.0,102477000.0,126788000.0,4135000.0,70924000.0,23864000.0,20137000.0
Earnings Before Tax Margin,0.0927939271652,0.0691835283817,0.072057851439,0.150970107209,-0.00178350648116,0.106449898042,0.0315434186779,0.0239314255284
Net Profit Margin,0.101929497732,0.0153502938549,0.039223799224,0.0492297035416,0.00231329965482,0.0283913364072,0.0135054298461,0.013748348621
