Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,31773000.0,34723000.0,25593000.0,26183000.0,27096000.0,22485000.0,13731000.0,16931000.0,7901000.0,5033000.0
Stock-based compensation,4175000.0,2360000.0,1963000.0,4513000.0,8570000.0,9450000.0,6122000.0,4466000.0,3320000.0,3299000.0
Operating Cash Flow,-20104000.0,-763000.0,-42769000.0,-64742000.0,-31416000.0,-54553000.0,26884000.0,26969000.0,-21419000.0,22745000.0
Capital Expenditure,0.0,0.0,0.0,0.0,0.0,282998000.0,43046000.0,463000.0,-6730000.0,-5739000.0
Acquisitions and disposals,-0.0,-0.0,-67516000.0,-0.0,-454000.0,-0.0,-0.0,-0.0,-97433000.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-13515000.0,-13630000.0,-72981000.0,13021000.0,44257000.0,-302370000.0,93880000.0,-9907000.0,-108283000.0,-5739000.0
Issuance (repayment) of debt,-0.0,-980000.0,-0.0,-2630000.0,-1135000.0,-5000000.0,-0.0,-0.0,138297000.0,-20022000.0
Issuance (buybacks) of shares,-14539000.0,-18680000.0,73698000.0,-15577000.0,-740000.0,117381000.0,-62101000.0,0.0,4116000.0,3015000.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,8072000.0,44281000.0,109742000.0,66558000.0,-13102000.0,295823000.0,-58663000.0,-17062000.0,129702000.0,-17006000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-25547000.0,29888000.0,-6008000.0,14837000.0,-261000.0,-61100000.0,62101000.0,0.0,0.0,0.0
Free Cash Flow,-20104000.0,-763000.0,-42769000.0,-64742000.0,-31416000.0,-337551000.0,-16162000.0,26506000.0,-28149000.0,17006000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0912,-0.0925
