Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,76100000.0,76000000.0,71100000.0,71000000.0,74200000.0,74000000.0,59200000.0,59000000.0,47100000.0,47000000.0,141700000.0,114100000.0,109796000.0,60404000.0,1065687000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,76100000.0,,71100000.0,,74200000.0,,59200000.0,,47100000.0,,141700000.0,114100000.0,109796000.0,60404000.0,1065687000.0
Receivables,443300000.0,443000000.0,448700000.0,449000000.0,461900000.0,462000000.0,451300000.0,451000000.0,566100000.0,566000000.0,615400000.0,645200000.0,665402000.0,637738000.0,467988000.0
Inventories,619500000.0,620000000.0,620200000.0,620000000.0,549400000.0,549000000.0,525900000.0,526000000.0,575800000.0,576000000.0,648500000.0,661900000.0,646058000.0,673863000.0,399067000.0
Total current assets,1234600000.0,2336000000.0,1237100000.0,2463000000.0,1165500000.0,2550000000.0,1119000000.0,2371000000.0,1287800000.0,2327000000.0,1504500000.0,1525000000.0,1549011000.0,1466919000.0,1923357000.0
Property Plant & Equipment Net,1250300000.0,1250000000.0,1318100000.0,1318000000.0,1283800000.0,1284000000.0,1206300000.0,1206000000.0,1142900000.0,1143000000.0,1284300000.0,1351300000.0,1440889000.0,1540753000.0,1157193000.0
Goodwill and Intangible Assets,966600000.0,966000000,995000000.0,995000000,1184000000.0,1184000000,1099300000.0,1100000000,1131700000.0,1132000000,1242800000.0,1235500000.0,1270944000.0,1213813000.0,732151000.0
Long-term investments,6900000.0,,8900000.0,,6200000.0,,5400000.0,,8000000.0,,0.0,0.0,0.0,0.0,0.0
Tax assets,76900000.0,,83300000.0,,109900000.0,,0.0,,65400000.0,,80000000.0,82100000.0,74979000.0,0.0,0.0
Total non-current assets,1086100000.0,1654000000.0,1144700000.0,1833000000.0,1266400000.0,1880000000.0,1164500000.0,1693000000.0,1184400000.0,1701000000.0,1321400000.0,1309400000.0,1330544000.0,1278159000.0,1552167000.0
Total assets,3571000000.0,3571000000.0,3699900000.0,3700000000.0,3715700000.0,3716000000.0,3489800000.0,3490000000.0,3615100000.0,3615000000.0,4110200000.0,4185700000.0,4320444000.0,4285831000.0,3928705000.0
Payables,515900000.0,516000000.0,477200000.0,477000000.0,378000000.0,378000000.0,334800000.0,335000000.0,272400000.0,272000000.0,362800000.0,382100000.0,547186000.0,548042000.0,380017000.0
Short-term debt,1800000.0,12000000.0,5000000.0,21000000.0,2000000.0,17000000.0,5800000.0,35000000.0,0.0,31000000.0,200000.0,300000.0,13411000.0,2941000.0,31322000.0
Total current liabilities,701600000.0,702000000.0,666100000.0,666000000.0,576100000.0,576000000.0,589100000.0,589000000.0,481400000.0,481000000.0,601900000.0,643000000.0,681965000.0,675259000.0,524855000.0
Long-term debt,1348600000.0,1349000000.0,1542400000.0,1542000000.0,1527800000.0,1528000000.0,1353900000.0,1354000000.0,1315900000.0,1316000000.0,1421400000.0,1417600000.0,1554750000.0,1283525000.0,1227514000.0
Total debt,1350400000.0,1349000000.0,1547400000.0,1542000000.0,1529800000.0,1528000000.0,1359700000.0,1354000000.0,1315900000.0,1316000000.0,1421600000.0,1417900000.0,1568161000.0,1286466000.0,1258836000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,33300000.0,167000000.0,30500000.0,154000000.0,31200000.0,220000000.0,35200000.0,172000000.0,23300000.0,223000000.0,32300000.0,34300000.0,23854000.0,21246000.0,158204000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1653500000.0,1654000000.0,1832600000.0,1833000000.0,1879900000.0,1880000000.0,1693300000.0,1693000000.0,1700700000.0,1701000000.0,1823500000.0,1901800000.0,2056376000.0,1683140000.0,1552167000.0
Total liabilities,2355100000.0,2355000000.0,2498700000.0,2499000000.0,2456000000.0,2456000000.0,2282400000.0,2282000000.0,2182100000.0,2182000000.0,2425400000.0,2544800000.0,2738341000.0,2406208000.0,2077022000.0
Other comprehensive income,0.0,-526000000.0,0.0,-394000000.0,0.0,-448000000.0,0.0,-510000000.0,0.0,-292000000.0,0.0,0.0,0.0,23935000,72457000.0
Retained earnings (deficit),2456700000.0,2457000000.0,2324800000.0,2325000000.0,2341700000.0,2342000000.0,2216000000.0,2216000000.0,2086800000.0,2087000000.0,2005100000.0,1900900000.0,1832893000.0,1751908000.0,1649804000.0
Total shareholders equity,1215900000.0,1216000000.0,1201200000.0,1201000000.0,1259700000.0,1260000000.0,1207400000.0,1207000000.0,1433000000.0,1433000000.0,1684800000.0,1640900000.0,1582103000.0,1879623000.0,1803732000.0
Investments,6900000.0,,8900000.0,,6200000.0,,5400000.0,,8000000.0,,0.0,0.0,0.0,0.0,0.0
Net Debt,1274300000.0,1285000000,1476300000.0,1492000000,1455600000.0,1471000000,1300500000.0,1330000000,1268800000.0,1300000000,1279900000.0,1303800000.0,1458365000.0,1226062000.0,193149000.0
Other Assets,1250300000.0,120000000,1318100000.0,150000000,1283800000.0,82000000,1206300000.0,65000000,1142900000.0,53000000,1284300000.0,1351300000.0,1440889000.0,1540753000.0,72606000.0
Other Liabilities,0.0,184000000,0.0,201000000,0.0,202000000,0.0,257000000,0.0,229000000,0.0,0.0,0.0,47809000.0,113516000.0
