Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,4089900000.0,4090000000.0,4046200000.0,4046000000.0,4004400000.0,4004000000.0,4071400000.0,4071000000.0,4343500000.0,4344000000.0,5029800000.0,5139200000.0,5322670000.0,4835042000.0,3514586000.0
Revenue Growth,-0.0000244498777506112,0.010824971578271,0.0000494315373208107,0.0103885725701728,0.0000999000999000999,-0.0165545021368571,0.000098255956767379,-0.0627374237366179,-0.000115101289134438,-0.136347369676727,-0.0212873599003736,-0.0344695425416192,0.10085289848568,0.375707409066103,-0.0701
Cost of Revenue,3284800000.0,3285000000.0,3261000000.0,3261000000.0,3138200000.0,3138000000.0,3198000000.0,3198000000.0,3484400000.0,3484000000.0,4057700000.0,4191700000.0,4412474000.0,3945498000.0,2814412000.0
Gross Profit,805100000.0,805000000.0,785200000.0,785000000.0,866200000.0,866000000.0,873400000.0,873000000.0,859100000.0,859000000.0,972100000.0,947500000.0,910196000.0,889544000.0,700174000.0
R&D Expenses,38000000.0,38000000.0,42900000.0,43000000.0,46500000.0,46000000.0,44100000.0,44000000.0,44100000.0,44000000.0,46000000.0,41600000.0,38751000.0,34338000.0,24342000.0
SG&A Expense,377900000.0,378000000.0,380400000.0,380000000.0,392200000.0,392000000.0,420000000.0,420000000.0,416600000.0,417000000.0,509300000.0,506700000.0,483365000.0,455440000.0,370926000.0
Operating Expenses,415900000.0,384000000.0,423300000.0,402000000.0,438700000.0,428000000.0,464100000.0,452000000.0,460700000.0,451000000.0,555300000.0,548300000.0,522116000.0,489778000.0,419951000.0
Operating Income,359000000.0,421000000.0,115700000.0,383000000.0,409300000.0,438000000.0,409600000.0,422000000.0,407700000.0,408000000.0,380600000.0,345500000.0,367379000.0,327284000.0,280223000.0
Interest Expense,76100000.0,76000000.0,65800000.0,66000000.0,60200000.0,60000000.0,51700000.0,52000000.0,60800000.0,61000000.0,68200000.0,70900000.0,76809000.0,73488000.0,42052000.0
Earnings before Tax,285700000.0,286000000.0,52700000.0,53000000.0,350900000.0,351000000.0,363900000.0,364000000.0,363700000.0,364000000.0,320300000.0,278600000.0,292223000.0,327284000.0,235021000.0
Income Tax Expense,60000000.0,60000000.0,-41300000.0,-41000000.0,114700000.0,115000000.0,122000000.0,122000000.0,124600000.0,125000000.0,107700000.0,104800000.0,104900000.0,117600000.0,87800000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,5289000.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income,225700000.0,226000000.0,94000000.0,94000000.0,236200000.0,236000000.0,239300000.0,239000000.0,191100000.0,191000000.0,212600000.0,173800000.0,184081000.0,205111000.0,147221000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income Com,225700000.0,226000000.0,94000000.0,94000000.0,236200000.0,236000000.0,239300000.0,239000000.0,191100000.0,191000000.0,212600000.0,173800000.0,184081000.0,205111000.0,147221000.0
EPS,2.48,2.48,1.03,1.03,2.51,2.51,2.47,2.47,1.91,1.91,2.06,1.67,1.73,1.85,1.38
EPS Diluted,2.47,2.47,1.02,1.02,2.48,2.48,2.44,2.44,1.89,1.89,2.04,1.66,1.73,1.85,1.38
Weighted Average Shs Out,91000000.0,91000000.0,91500000.0,92000000.0,94300000.0,94000000.0,96700000.0,97000000.0,100200000.0,100000000.0,102900000.0,103200000.0,104629000.0,0.0,108196808.0
Weighted Average Shs Out (Dil),91500000.0,92000000.0,91900000.0,92000000.0,95100000.0,95000000.0,97900000.0,98000000.0,101200000.0,101000000.0,103900000.0,103900000.0,105072000.0,0.0,
Dividend per Share,1.24371584699,,1.21001088139,,1.19768664564,,1.12053115424,,1.07114624506,,1.03464870067,1.00384985563,0.969183036394,0.0,0.9
Gross Margin,0.196850778748,0.19682151589242,0.194058622905,0.19401878398418,0.216312056738,0.21628371628372,0.214520803655,0.2144436256448,0.197789800852,0.19774401473297,0.193268121993,0.184367216687,0.171003650424,0.183978546619,0.1992
EBITDA Margin,0.128756204308,0.12933985330073,0.0705600316346,0.071181413741967,0.142693037659,0.14310689310689,0.139436066218,0.14099729796119,0.135443766548,0.13927255985267,0.113503519027,0.106981631382,0.110415073638,0.111054050823,0.124
EBIT Margin,0.0877772072667,0.088508557457213,0.0285947308586,0.029411764705882,0.102212566177,0.10264735264735,0.100604214766,0.10144927536232,0.0938643950731,0.086786372007366,0.0756690126844,0.067228362391,0.0690215624865,0.0676900014519,0.0788
Profit Margin,0.0551847233429,0.055256723716381,0.0232316741634,0.023232822540781,0.058985116372,0.058941058941059,0.0587758510586,0.058707934168509,0.0439967767929,0.043968692449355,0.0422680822299,0.0338184931507,0.0345843345539,0.0424217617965,0.042
Free Cash Flow margin,0.0777525122864,,0.0470812120014,,0.0572120667266,,0.0817900476495,,0.014481409002,,0.0464034355243,0.0554366438356,0.0536664869323,0.0526932341022,0.1131
EBITDA,526600000.0,529000000.0,285500000.0,288000000.0,571400000.0,573000000.0,567700000.0,574000000.0,588300000.0,605000000.0,570900000.0,549800000.0,587703000.0,536951000.0,436347000.0
EBIT,359000000.0,362000000,115700000.0,119000000,409300000.0,411000000,409600000.0,413000000,407700000.0,377000000,380600000.0,345500000.0,367379000.0,327284000.0,277073000.0
Consolidated Income,225700000.0,226000000.0,94000000.0,94000000.0,236200000.0,236000000.0,239300000.0,239000000.0,191100000.0,191000000.0,212600000.0,173800000.0,184081000.0,205111000.0,152510000.0
Earnings Before Tax Margin,0.0698550086799,0.069926650366748,0.0130245662597,0.013099357390015,0.0876286085306,0.087662337662338,0.0893795745935,0.089412920658315,0.0837343156441,0.083793738489871,0.063680464432,0.0542107721046,0.0549015813492,0.0676900014519,0.0669
Net Profit Margin,0.0551847233429,0.055256723716381,0.0232316741634,0.023232822540781,0.058985116372,0.058941058941059,0.0587758510586,0.058707934168509,0.0439967767929,0.043968692449355,0.0422680822299,0.0338184931507,0.0345843345539,0.0424217617965,0.0419
