Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,20104000.0,35420000.0,46134000.0,52553000.0,53821000.0,45741000.0,17671000.0,14078000.0,14393000.0,14492000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3948000.0,6776000.0
Cash and short-term investments,20104000.0,35420000.0,46134000.0,52553000.0,53821000.0,45741000.0,17671000.0,14078000.0,18341000.0,21268000.0
Receivables,0.0,1900000.0,3800000.0,55284000.0,49524000.0,41226000.0,32627000.0,26381000.0,40370000.0,33365000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,220021000.0,140339000.0,135153000.0,144109000.0,144799000.0,130967000.0,95114000.0,74903000.0,68651000.0,63379000.0
Property Plant & Equipment Net,964000.0,338000.0,550000.0,674000.0,945000.0,1390000.0,1847000.0,2095000.0,533322000.0,299775000.0
Goodwill and Intangible Assets,21527000.0,23517000.0,25485000.0,4128000.0,273000.0,677000.0,1441000.0,2333000.0,3593000.0,5085000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7886000.0,5844000.0
Tax assets,39524000.0,36743000.0,31707000.0,16726000.0,5031000.0,311000.0,2189000.0,1968000.0,1931000.0,1669000.0
Total non-current assets,2792596000.0,2290063000.0,1920781000.0,1842435000.0,1651041000.0,1544622000.0,1292827000.0,878465000.0,544801000.0,310704000.0
Total assets,3012617000.0,2430402000.0,2055934000.0,1986544000.0,1795840000.0,1675589000.0,1387941000.0,953368000.0,613452000.0,374083000.0
Payables,7371000.0,7831000.0,13804000.0,11962000.0,8414000.0,8002000.0,5985000.0,3536000.0,25694000.0,25315000.0
Short-term debt,311381000.0,132049000.0,95527000.0,172416000.0,1015000.0,1921000.0,61044000.0,0.0,29238000.0,4613000.0
Total current liabilities,425533000.0,259931000.0,164006000.0,217883000.0,249194000.0,156943000.0,106779000.0,79053000.0,154161000.0,38451000.0
Long-term debt,1847633000.0,1570773000.0,1380499000.0,1259196000.0,1568000.0,3366000.0,888990000.0,261000000.0,231309000.0,177782000.0
Total debt,2159014000.0,1702822000.0,1476026000.0,1431612000.0,2583000.0,5287000.0,950034000.0,261000000.0,260547000.0,182395000.0
Deferred revenue,7573000.0,7811000.0,10613000.0,11990000.0,7172000.0,6862000.0,7893000.0,6786000.0,5724000.0,4225000.0
Tax Liabilities,291000.0,277000.0,266000.0,220000.0,188000.0,140000.0,182000.0,0.0,30308000.0,28752000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1885952000.0,1606626000.0,1434424000.0,1307400000.0,44987000.0,44744000.0,929041000.0,294816000.0,261617000.0,206534000.0
Total liabilities,2311485000.0,1866557000.0,1598430000.0,1526206000.0,1353724000.0,1261057000.0,1041096000.0,723332000.0,415778000.0,244985000.0
Other comprehensive income,236531000,172325000,141058000,148523000,154894000,184263000,181063000,128183000,-2510000.0,-1248000.0
Retained earnings (deficit),471112000.0,397640000.0,324576000.0,319735000.0,292897000.0,232623000.0,168697000.0,105232000.0,55043000.0,26660000.0
Total shareholders equity,701132000.0,563845000.0,457504000.0,460338000.0,442116000.0,414532000.0,346845000.0,230036000.0,179599000.0,129098000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11834000.0,12620000.0
Net Debt,2138910000.0,1667402000.0,1429892000.0,1379059000.0,-51238000.0,-40454000.0,932363000.0,246922000.0,242206000.0,161127000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9940000.0,8746000.0
Other Liabilities,0.0,0.0,0.0,923000.0,1059543000.0,1059370000.0,5276000.0,349463000.0,99229000.0,8523000.0
