Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,1126030927.8351,1145273331.3198,1570024570.0246,2790020263.4245,4186631618.4754,3543837357.0521,3458394826.7448,2664855227.882,2299996385.5422,1344389781.8599
Short-term investments,0.0,0.0,0.0,0.0,0.0,10165184.244,0.0,0.0,361815060.241,0.0
Cash and short-term investments,1126030927.8351,1145273331.3198,1570024570.0246,2790020263.4245,4186631618.4754,3554002541.2961,3458394826.7448,2664855227.882,2661811445.7832,1344389781.8599
Receivables,210824742.268,485351857.4449,388820638.8206,1091185410.3343,1567780698.4604,1491740787.8018,1800961444.6071,3327699731.9035,2972716867.4699,1661632606.1998
Inventories,1522938144.3299,1456357595.8925,1425368550.3686,2270770010.1317,3205407435.2234,2767047861.0758,2895035627.1352,2984862734.5845,2905884337.3494,1623113088.4041
Total current assets,9356701030.9278,9971609785.5633,9670147420.1474,6322188449.848,9020277882.0879,7888606522.6599,8140703757.9307,9088919034.8525,8839196987.9518,4821898966.7049
Property Plant & Equipment Net,2487113402.0619,2759891271.5192,2820024570.0246,2628419452.8875,3642132932.7826,3834392206.6921,3960223523.6701,3945442359.2493,4092974096.3855,3074971871.4122
Goodwill and Intangible Assets,689432989.6907,581093325.2794,585995085.9951,1657294832.8267,2421329327.8258,2400254129.6061,2428285017.0815,2648450938.3378,2909101204.8193,1274266934.558
Long-term investments,52319587.6289,47115675.0227,95515970.516,96757852.077,150582050.3192,131300296.4845,176880917.5207,182371045.5764,196868072.2892,111496555.6831
Tax assets,935824742.268,745394140.743,454545454.5455,1001266464.0324,1291025159.5944,1393477340.1101,1552711078.5749,1548196782.8418,1348387349.3976,1078907003.4443
Total non-current assets,4264175257.732,4437028088.1909,4166154791.1548,5643617021.2766,8007510326.6992,8201609487.5053,8858860907.7599,8843223592.4933,9095901204.8193,5840588404.1332
Total assets,13620876288.6598,14408637873.7542,13836302211.3022,11965805471.1246,17027788208.7871,16090216010.1652,16999564665.6906,17932142627.3458,17935098192.7711,10662487370.8381
Payables,2415721649.4845,2493506493.5065,2254914004.914,4406534954.4073,5360120165.2272,4088098263.4477,3550043923.8653,3662817694.37,3416748192.7711,2355582089.5522
Short-term debt,557989690.7216,412866203.5639,943796068.7961,1262158054.7112,2513330829.8911,2205844980.9403,2098258174.7194,2644347989.2761,1764654819.2771,402884041.3318
Total current liabilities,8449742268.0412,8756266988.8251,8471130221.1302,6401469098.2776,9005257228.6894,7243964421.8551,6535513421.1811,7064688471.8499,6580383734.9398,3463676808.2664
Long-term debt,904381443.299,1007852612.5038,894348894.3489,1054711246.2006,1176868193.7664,1831003811.9441,3065448511.469,3346327077.748,3368636144.5783,2056601033.2951
Total debt,1462371134.0206,1420718816.0677,1838144963.145,2316869300.9119,3690199023.6575,4036848792.8844,5163706686.1884,5990675067.0241,5133290963.8554,2459485074.6269
Deferred revenue,67783505.1546,50739957.7167,76167076.1671,416160081.0537,392790086.3688,241846675.1377,275151293.3138,248429490.6166,150896385.5422,0.0
Tax Liabilities,366494845.3608,380851706.4331,341216216.2162,655015197.5684,982726248.5918,1314273612.8759,1536382625.6711,1560488471.8499,1070660240.9639,893956946.039
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1578608247.4227,1713681667.17,1551597051.5971,2182370820.6687,2692452121.6673,3509106310.8852,5062415812.5915,5454893833.7802,5631466265.0602,3377498851.8944
Total liabilities,10028350515.4639,10469948655.9952,10022727272.7273,8583839918.9463,11697709350.3567,10753070732.7404,11597929233.7726,12519582305.63,12211850000.0,6841175660.1607
Other comprehensive income,-17010309.2784,-14799154.334,-6142506.1425,-22036474.1641,375516.335,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),1114432989.6907,1031410450.0151,913390663.3907,920719351.5704,1383402177.9947,1116052520.1186,871005368.4724,802073994.6381,869917469.8795,717261194.0299
Total shareholders equity,3592525773.1959,3938689217.759,3813574938.5749,3381965552.1783,5330078858.4303,5337145277.4248,4145790629.5754,4088618230.563,4230916867.4699,3802652123.9954
Investments,52319587.6289,47115675.0227,95515970.516,96757852.077,150582050.3192,141465480.7285,176880917.5207,182371045.5764,558683132.5301,111496555.6831
Net Debt,336340206.1855,,,,,,,,,
Other Assets,6494206185.567,,,,,,,,,
Other Liabilities,5476030927.8351,5849894291.7547,5272420147.4201,732776089.1591,1131806233.5711,950021177.4671,887211322.5964,757522788.2038,1398980722.8916,705210677.3824
