Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,2569571090.7781,2759767296.0676,2329947102.6948,2114322484.0089,2142261578.9109,2277979907.3378,2246327561.3637,1865047755.8079,1791873912.7554,1530356474.9215
Revenue Growth,-0.0689174792238863,0.184476374109813,0.101982843353707,-0.0130418690121886,-0.0595783694095482,0.0140907081044247,0.204434339211136,0.0408364910787608,0.170886615059615,0.3748
Cost of Revenue,1239209498.5591,1297917866.4283,1108732891.9246,966696042.0615,997773203.2098,1021180318.3241,1029697758.872,861515726.5612,815595956.4867,719509153.0407
Gross Profit,1330361592.219,1461849429.6393,1221214210.7702,1147626441.9475,1144488375.701,1256799589.0137,1216629802.4917,1003532029.2467,976277956.2687,810847321.8808
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,984155979.8271,1091072211.5697,929006271.3916,867724943.8037,889561580.8915,909065301.1521,849922542.0055,673620946.6907,645658037.1133,544759935.912
Operating Expenses,654970023.0548,1080155893.7277,921317757.4843,858443925.7941,847534341.4438,898583509.1758,838260465.3494,632624189.9152,640459350.0367,540104927.4083
Operating Income,675391569.1643,381693535.9116,299896453.2859,289182516.1533,296954034.2573,358216079.8379,378369337.1423,370907839.3315,335818606.232,270742394.4725
Interest Expense,33949080.6916,39269276.8931,30351440.0586,32597825.2434,37890761.6284,45825399.3321,35615138.6818,27721126.934,22805335.9156,24521452.3468
Earnings before Tax,660246899.1354,319262910.3022,254574663.3387,269008456.6029,276397574.7913,318912899.4511,336441154.728,346247779.6608,296172941.6367,275431039.3416
Income Tax Expense,196148151.2968,78592746.1813,45206604.6901,70715595.3982,77033468.3422,66033520.1164,77544302.5815,86939473.2742,59539953.1007,23104156.8541
Net Income - Non-Controlling int,21892995.6772,30063480.663,32320084.595,27822908.0385,24020147.3545,18777017.1149,19930767.6887,23180797.2638,19745484.8219,26265246.0354
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,464098747.8386,240670164.1209,209368058.6486,198292861.2048,199364106.4491,252879379.3346,258896852.1465,259308306.3866,236632988.536,252326882.4875
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,464098747.8386,240670164.1209,209368058.6486,198292861.2048,199364106.4491,252879379.3346,258896852.1465,259308306.3866,236632988.536,252326882.4875
EPS,2.3935,1.1399,0.9583,0.9227,0.9491,1.4111,1.5005,1.4827,1.4859,1.5845
EPS Diluted,2.3935,1.1399,0.9583,0.9227,0.9491,1.3531,1.5005,1.4827,1.4859,1.5845
Weighted Average Shs Out,532424.8876,600427.1563,552263.3984,521398.1433,609855.4382,606019.9443,665118.9936,612678.7226,680836.6456,627682.1533
Weighted Average Shs Out (Dil),532424.8876,600427.1563,552263.3984,521398.1433,609855.4382,606019.9443,665118.9936,612678.7226,680836.6456,627682.1533
Dividend per Share,0.0007,0.0005,0.0006,0.0005,0.0008,0.0017,0.0028,0.0014,0.0042,0.0023
Gross Margin,0.5177,0.5297,0.5241,0.5428,0.5342,0.5517,0.5416,0.5381,0.5448,0.5298
EBITDA Margin,0.0004,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0004,0.0004,0.0004
EBIT Margin,0.2702,0.1299,0.1223,0.1426,0.1467,0.1601,0.1656,0.2005,0.178,0.196
Profit Margin,0.0003,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003
Free Cash Flow margin,0.1694,0.0825,0.043,0.0618,-0.0398,0.0613,0.0244,0.0961,0.1279,0.12
EBITDA,694195979.8271,358532187.1953,284926103.3973,301606281.8463,314288336.4197,364738298.7832,372056293.4098,373968906.5947,318978277.5523,299952491.6885
EBIT,694195979.8271,358532187.1953,284926103.3973,301606281.8463,314288336.4197,364738298.7832,372056293.4098,373968906.5947,318978277.5523,299952491.6885
Consolidated Income,485991743.5159,270733644.7839,241688143.2436,226115769.2433,223384253.8035,271656396.4495,278827619.8352,282489103.6505,256378473.3578,278592128.5229
Earnings Before Tax Margin,0.2569,0.1157,0.1093,0.1272,0.129,0.14,0.1498,0.1857,0.1653,0.18
Net Profit Margin,0.1806,0.0872,0.0899,0.0938,0.0931,0.111,0.1153,0.139,0.1321,0.1649
