Date,2018-12-29,2017-12-30,2016-12-31,2015-12-26
Cash and cash equivalents,23000000.0,16656000.0,19714000.0,0.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,23000000.0,16656000.0,19714000.0,0.0
Receivables,480000000.0,503517000.0,423688000.0,0.0
Inventories,564000000.0,534664000.0,473662000.0,0.0
Total current assets,1086000000.0,1076926000.0,932282000.0,0.0
Property Plant & Equipment Net,69000000.0,64554000.0,50892000.0,0.0
Goodwill and Intangible Assets,958000000.0,1012695000.0,893452000.0,0.0
Long-term investments,120000000.0,62845000.0,68361000.0,0.0
Tax assets,0.0,0.0,0.0,
Total non-current assets,1147000000.0,1140094000.0,1012705000.0,
Total assets,2233000000.0,2217020000.0,1944987000.0,0.0
Payables,441000000.0,375782000.0,341185000.0,0.0
Short-term debt,1000000.0,3204000.0,1103000.0,0.0
Total current liabilities,573000000.0,511586000.0,466147000.0,0.0
Long-term debt,24000000.0,23529000.0,25831000.0,0.0
Total debt,25000000.0,26733000.0,26934000.0,
Deferred revenue,0.0,0.0,0.0,
Tax Liabilities,33000000.0,35209000.0,25565000.0,
Deposit Liabilities,0.0,0.0,0.0,
Total non-current liabilities,75000000.0,81641000.0,78009000.0,
Total liabilities,648000000.0,593227000.0,544156000.0,0.0
Other comprehensive income,-83000000.0,-41988000.0,-100437000.0,
Retained earnings (deficit),0.0,1299000000.0,1179000000.0,0.0
Total shareholders equity,1493000000.0,1257239000.0,1078761000.0,0.0
Investments,120000000.0,62845000.0,68361000.0,-106270000.0
Net Debt,2000000.0,10077000.0,7220000.0,
Other Assets,19000000.0,22089000.0,15218000.0,
Other Liabilities,131000000.0,132600000.0,123859000.0,0.0
