Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,14212000000.0,12607000000.0,33000000.0,10630000000.0,36000000.0,10337000000.0,47000000.0,12301000000.0,50000000.0,9661000000.0,60000000.0,8791000000.0,0.0
Revenue Growth,0.127310224478464,381.030303030303,-0.99689557855127,294.277777777778,-0.996517364806037,218.936170212766,-0.996179172425006,245.02,-0.994824552323776,160.016666666667,-0.9931748379024,0.0,0.0
Cost of Revenue,-2038000000.0,1359000000.0,25000000.0,1258000000.0,23000000.0,1261000000.0,26000000.0,7284000000.0,23000000.0,5434000000.0,53000000.0,4561000000.0,4776000000.0
Gross Profit,16250000000.0,11248000000.0,8000000.0,9372000000.0,13000000.0,9076000000.0,20000000.0,5017000000.0,27000000.0,4227000000.0,7000000.0,4230000000.0,-4776000000.0
R&D Expenses,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
SG&A Expense,0.0,0.0,2000000.0,0.0,2000000.0,0.0,2000000.0,0.0,3000000.0,0.0,3000000.0,0.0,0.0
Operating Expenses,14656000000.0,9602000000.0,8000000.0,7927000000.0,9000000.0,7837000000.0,9000000.0,3427000000.0,26000000.0,3024000000.0,9000000.0,2951000000.0,2698000000.0
Operating Income,1594000000.0,1646000000.0,-0000000.0,1445000000.0,4000000.0,1239000000.0,12000000.0,1590000000.0,1000000.0,1203000000.0,-2000000.0,1279000000.0,1423000000.0
Interest Expense,559000000.0,536000000.0,3000000.0,472000000.0,3000000.0,450000000.0,3000000.0,429000000.0,000000.0,436000000.0,000000.0,440000000.0,494000000.0
Earnings before Tax,1216000000.0,1287000000.0,,1105000000.0,,950000000.0,,1275000000.0,,922000000.0,,960000000.0,711000000.0
Income Tax Expense,98000000.0,175000000.0,000000.0,271000000.0,000000.0,230000000.0,-0000000.0,364000000.0,0000000.0,254000000.0,0000000.0,286000000.0,267000000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,1120000000.0,1134000000.0,-4000000.0,868000000.0,-5000000.0,727000000.0,14000000.0,905000000.0,2000000.0,661000000.0,19000000.0,610000000.0,711000000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income Com,1120000000.0,1134000000.0,-4000000.0,868000000.0,-5000000.0,727000000.0,14000000.0,905000000.0,2000000.0,661000000.0,19000000.0,610000000.0,711000000.0
EPS,6.18,6.32,-0.01,4.84,-0.01,4.05,0.03,5.11,0.01,3.76,0.37,3.56,4.19
EPS Diluted,6.17,6.32,-0.01,4.83,-0.01,4.05,0.03,5.1,0.01,3.76,0.37,3.55,4.18
Weighted Average Shs Out,181000000.0,179000000.0,406000000.0,179000000.0,406000000.0,179000000.0,406000000.0,177000000.0,406000000.0,175000000.0,52000000.0,171000000.0,169000000.0
Weighted Average Shs Out (Dil),181000000.0,179000000.0,406000000.0,179000000.0,406000000.0,179000000.0,406000000.0,177000000.0,406000000.0,175000000.0,52000000.0,172000000.0,170000000.0
Dividend per Share,3.42541436464,3.30726256983,,2.96648044693,,2.79888268156,,2.65536723164,,2.54285714286,,2.36627906977,2.28823529412
Gross Margin,1.14339994371,0.892202744507,0.24242424242424,0.881655691439,0.36111111111111,0.878011028345,0.42553191489362,0.40785302008,0.54,0.437532346548,0.11666666666667,0.481173927881,0.0
EBITDA Margin,0.194413171967,0.216467042119,0.21212121212121,0.233207902164,0.30555555555556,0.206733094708,0.51063829787234,0.226241768962,0.14,0.24169340648,0.066666666666667,0.261289955636,0.0
EBIT Margin,0.112158739094,0.130562385976,-0.03030303030303,0.135936030103,-0.055555555555556,0.119860694592,0.36170212765957,0.12925778392,0.04,0.12452127109,0.31666666666667,0.145489705381,0.0
Profit Margin,0.0788066422741,0.0899500277624,-0.12121212121212,0.0816556914393,-0.13888888888889,0.0703298829448,0.29787234042553,0.0735712543696,0.04,0.0684194182797,0.31666666666667,0.0693891479923,0.0
Free Cash Flow margin,0.0486208837602,0.0430713095899,,0.0546566321731,,0.0354067911386,,0.149500040647,,0.222958285892,,0.251279717893,0.0
EBITDA,2763000000.0,2729000000.0,7000000.0,2479000000.0,11000000.0,2137000000.0,24000000.0,2783000000.0,7000000.0,2335000000.0,4000000.0,2297000000.0,2418000000.0
EBIT,1594000000.0,1646000000.0,-1000000,1445000000.0,-2000000,1239000000.0,17000000,1590000000.0,2000000,1203000000.0,19000000,1279000000.0,1423000000.0
Consolidated Income,1120000000.0,1134000000.0,-4000000.0,868000000.0,-5000000.0,727000000.0,14000000.0,905000000.0,2000000.0,661000000.0,19000000.0,610000000.0,711000000.0
Earnings Before Tax Margin,0.0855614973262,0.102086142619,0,0.103951081844,0,0.091902873174,0,0.103650109747,0,0.0954352551496,0,0.109202593562,0.0
Net Profit Margin,0.0788066422741,0.0899500277624,-0.12121212121212,0.0816556914393,-0.13888888888889,0.0703298829448,0.29787234042553,0.0735712543696,0.04,0.0684194182797,0.31666666666667,0.0693891479923,0.0
