Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Cash and cash equivalents,31860000.0,11498000.0,10627000.0,11780000.0,8633000.0,8785000.0,16206000.0,9911000.0,12463000.0,5746000.0,7524000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633000.0,0.0,0.0
Cash and short-term investments,31860000.0,11498000.0,10627000.0,11780000.0,8633000.0,8785000.0,16206000.0,9911000.0,13096000.0,5746000.0,7524000.0
Receivables,20411000.0,7389000.0,7201000.0,11876000.0,13118000.0,11163000.0,12307000.0,6535000.0,8197000.0,2955000.0,4308000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,56589000.0,22538000.0,20631000.0,26354000.0,24685000.0,22191000.0,32664000.0,17276000.0,21846000.0,9213000.0,6266000.0
Property Plant & Equipment Net,525000.0,559000.0,1059000.0,1688000.0,3136000.0,4489000.0,3544000.0,2295000.0,1015000.0,869000.0,995000.0
Goodwill and Intangible Assets,13480000.0,13919000.0,15934000.0,18025000.0,20806000.0,0.0,0.0,0.0,4880000.0,4880000.0,4880000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,757000.0,1118000.0,803000.0,565000.0,-842000.0,96000.0,62000.0,62000.0,0.0,0.0,0.0
Total non-current assets,17165000.0,17084000.0,19120000.0,21709000.0,25046000.0,10456000.0,10872000.0,9069000.0,6378000.0,6103000.0,8476000.0
Total assets,73754000.0,39622000.0,39751000.0,48063000.0,49731000.0,32647000.0,43536000.0,26345000.0,28224000.0,15316000.0,18636000.0
Payables,4173000.0,3905000.0,2363000.0,2099000.0,1779000.0,2162000.0,2583000.0,1875000.0,924000.0,1146000.0,979000.0
Short-term debt,5801000.0,42000.0,108000.0,329000.0,471000.0,392000.0,2667000.0,1666000.0,6670000.0,272000.0,3306000.0
Total current liabilities,42694000.0,30561000.0,28311000.0,27240000.0,26724000.0,24076000.0,30643000.0,15371000.0,17999000.0,10268000.0,14253000.0
Long-term debt,0.0,0.0,42000.0,153000.0,295000.0,625000.0,2000000.0,1667000.0,3333000.0,8752000.0,7999000.0
Total debt,5801000.0,42000.0,150000.0,482000.0,766000.0,1017000.0,4667000.0,3333000.0,10003000.0,9024000.0,11305000.0
Deferred revenue,30688000.0,18364000.0,18332000.0,12672000.0,14395000.0,12920000.0,15679000.0,6896000.0,5824000.0,5103000.0,5531000.0
Tax Liabilities,1665000.0,1578000.0,1465000.0,1413000.0,1346000.0,1290000.0,1778000.0,1193000.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,12554000.0,8833000.0,6301000.0,5030000.0,3944000.0,2564000.0,6905000.0,3096000.0,4213000.0,9211000.0,8476000.0
Total liabilities,49447000.0,48335000.0,49372000.0,52340000.0,48632000.0,29598000.0,37548000.0,24030000.0,22212000.0,19479000.0,22729000.0
Other comprehensive income,371011000,346137000,343284000,342608000,341251000,330574000,328465000,326657000,-800000.0,-596000.0,-506000.0
Retained earnings (deficit),-345276000.0,-353260000.0,-351269000.0,-345249000.0,-339009000.0,-326580000.0,-321334000.0,-323616000.0,-318699000.0,-327210000.0,-327083000.0
Total shareholders equity,24307000.0,-8713000.0,-9621000.0,-4277000.0,1099000.0,3049000.0,5988000.0,2315000.0,6012000.0,-4163000.0,-4093000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633000.0,0.0,0.0
Net Debt,-26059000.0,-11456000.0,-10477000.0,-11298000.0,-7867000.0,-7768000.0,-11539000.0,-6578000.0,-3093000.0,3278000.0,3781000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553000.0,512000.0,538000.0
Other Liabilities,0.0,8941000.0,14760000.0,20070000.0,17964000.0,2958000.0,0.0,5563000.0,10405000.0,8850000.0,9968000.0
