Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,678000.0,234000.0,0.0,0.0,0.0,0.0,0.0,0.0,76760000.0,59157000.0
Revenue Growth,1.8974358974359,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.297564109065707,0.3963
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76760000.0,59157000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,67734000.0,67129000.0,67010000.0,61749000.0,57268000.0,47481000.0,43684000.0,34518000.0,40645000.0,34418000.0
Operating Expenses,67734000.0,67129000.0,67010000.0,61749000.0,57268000.0,47481000.0,43684000.0,34518000.0,51005000.0,42773000.0
Operating Income,152276000.0,100232000.0,159102000.0,84167000.0,54258000.0,47007000.0,35289000.0,38289000.0,25755000.0,16384000.0
Interest Expense,76293000.0,40147000.0,27640000.0,19238000.0,13095000.0,12504000.0,14414000.0,20077000.0,0.0,0.0
Earnings before Tax,-14009000.0,-13398000.0,159102000.0,369000.0,171000.0,117000.0,78000.0,38289000.0,25755000.0,16384000.0
Income Tax Expense,51932000.0,85504000.0,61395000.0,51049000.0,31958000.0,28318000.0,20883000.0,13731000.0,9098000.0,5965000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,152276000.0,100232000.0,97707000.0,84167000.0,54258000.0,47007000.0,35289000.0,24558000.0,16657000.0,10419000.0
Preferred Dividends,0.0,0.0,0.0,601000.0,614000.0,566000.0,566000.0,1511000.0,1299000.0,2307000.0
Net Income Com,152276000.0,100232000.0,97707000.0,84167000.0,54258000.0,47007000.0,35289000.0,24558000.0,15358000.0,8112000.0
EPS,4.44,2.94,2.91,2.54,2.01,1.81,1.65,1.16,0.709,0.5
EPS Diluted,4.42,2.92,2.86,2.5,1.95,1.76,1.61,1.14,0.7,0.5
Weighted Average Shs Out,34306000.0,34139000.0,33587000.0,32836000.0,26684000.0,25726000.0,21033000.0,0.0,21646209.0,21465569.0
Weighted Average Shs Out (Dil),34443000.0,34321000.0,34181000.0,33479000.0,27551000.0,26359000.0,21585000.0,0.0,21646209.0,21465569.0
Dividend per Share,0.0,0.0,0.0,0.0179216822486,0.022285942434,0.021472741758,0.0262219133658,0.0,0.0,0.0
Gross Margin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EBITDA Margin,234.874631268,456.085470085,0.0,0.0,0.0,0.0,0.0,0.0,0.368,0.312
EBIT Margin,224.595870206,428.341880342,0.0,0.0,0.0,0.0,0.0,0.0,0.3355,0.277
Profit Margin,224.595870206,428.341880342,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.137
Free Cash Flow margin,240.373156342,661.431623932,0.0,0.0,0.0,0.0,0.0,0.0,-0.5971,0.106
EBITDA,159245000.0,106724000.0,160804000.0,91947000.0,59307000.0,51234000.0,38679000.0,40860000.0,28220000.0,18468000.0
EBIT,152276000.0,100232000.0,159102000.0,84167000.0,54258000.0,47007000.0,35289000.0,38289000.0,25755000.0,16384000.0
Consolidated Income,152276000.0,100232000.0,97707000.0,84167000.0,54258000.0,47007000.0,35289000.0,24558000.0,16657000.0,10419000.0
Earnings Before Tax Margin,-20.6622418879,-57.2564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.3355,0.277
Net Profit Margin,224.595870206,428.341880342,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.1761
