Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31
Revenue,7699000000.0,7699000000.0,5739600000.0,5744000000.0,4252400000.0,4264000000.0,4452100000.0,4443000000.0,3500400000.0,3478000000.0,0.0,0.0,0.0
Revenue Growth,0,0.341382674750854,-0.000766016713091922,0.350766625905371,-0.00272045028142589,-0.0422497248489477,0.0020481656538375,0.269283510455948,0.00644048303622772,0.0,0.0,0.0,0.0
Cost of Revenue,7129800000.0,6585000000.0,5085800000.0,4362000000.0,4287000000.0,3016000000.0,5719100000.0,3245000000.0,3087800000.0,2773000000.0,2062209000.0,1720604000.0,2041638000.0
Gross Profit,569200000.0,1114000000.0,653800000.0,1382000000.0,-34600000.0,1248000000.0,-1267000000.0,1197000000.0,412600000.0,706000000.0,-2062209000.0,-1720604000.0,-2041638000.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
SG&A Expense,130200000.0,,123500000.0,,119300000.0,,132400000.0,,94500000.0,,68061000.0,61308000.0,52801000.0
Operating Expenses,405300000.0,584000000.0,354300000.0,669000000.0,329700000.0,623000000.0,30400000.0,520000000.0,53500000.0,375000000.0,-82964000.0,-103431000.0,-104958000.0
Operating Income,163900000.0,530000000.0,299500000.0,714000000.0,-364300000.0,625000000.0,-1297400000.0,678000000.0,359100000.0,331000000.0,-36006000.0,38678000.0,77262000.0
Interest Expense,0.0,177000000.0,0.0,187000000.0,0.0,136000000.0,0.0,102000000.0,0.0,50000000.0,0.0,0.0,0.0
Earnings before Tax,-500000.0,,130800000.0,,-572000000.0,,-1378700000.0,,333300000.0,,-110812000.0,-39540000.0,-1264000.0
Income Tax Expense,-2100000.0,-2000000.0,-24000000.0,-24000000.0,1300000.0,1000000.0,-500000.0,-0000000.0,22000000.0,22000000.0,2337000.0,725000.0,1126000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income,-28000000.0,-28000000.0,148900000.0,161000000.0,-565200000.0,-565000000.0,-1377800000.0,-1378000000.0,181100000.0,181000000.0,-113149000.0,-40102000.0,-2342000.0
Preferred Dividends,38600000.0,,38300000.0,,39500000.0,,58000000.0,,8900000.0,,-2721000.0,534000.0,732000.0
Net Income Com,-28000000.0,-28000000.0,148900000.0,161000000.0,-565200000.0,-565000000.0,-1377800000.0,-1378000000.0,181100000.0,181000000.0,-113149000.0,-40102000.0,-2342000.0
EPS,-0.51,-0.01,0.05,0.05,-1.99,-1.99,-4.66,-0.05,0.59,0.59,-1.71,-1.01,0.0
EPS Diluted,-0.51,-0.01,0.05,0.05,-1.99,-1.99,-4.66,-0.05,0.59,0.59,-1.71,-1.01,0.0
Weighted Average Shs Out,351300000.0,351000000.0,346900000.0,347000000.0,333300000.0,333000000.0,307100000.0,307000000.0,232800000.0,233000000.0,84589000.0,58935000.0,0.0
Weighted Average Shs Out (Dil),351300000.0,351000000.0,346900000.0,348000000.0,333300000.0,333000000.0,307100000.0,307000000.0,232800000.0,233000000.0,84589000.0,58935000.0,0.0
Dividend per Share,0.155138058639,,0.0792735658691,,0.0300030003,,0.216541843048,,0.685137457045,,0.0,0.00777127343684,0.0
Gross Margin,0.0739316794389,0.14469411611898,0.11391037703,0.24059888579387,-0.00813658169504,0.29268292682927,-0.284584802677,0.2694125590817,0.117872243172,0.20299022426682,0.0,0.0,0.0
EBITDA Margin,0.0967917911417,0.097934796726848,0.152257997073,0.15024373259053,0.0453155864923,0.015947467166979,-0.204375463265,-0.20009002925951,0.182322020341,0.19091431857389,0.0,0.0,0.0
EBIT Margin,0.0212884790232,0.019093388751786,0.0521813366785,0.056406685236769,-0.0856692691186,-0.10037523452158,-0.291413041037,-0.2871933378348,0.102588275626,0.072742955721679,0.0,0.0,0.0
Profit Margin,-0.00363683595272,-0.0036368359527211,0.0259425743954,0.028029247910864,-0.13291317844,-0.13250469043152,-0.309471934593,-0.31015079900968,0.0517369443492,0.052041403105233,0.0,0.0,0.0
Free Cash Flow margin,0.00177945187687,,-0.0146874346644,,-9.40645282664e-05,,0.016464140518,,-0.0816478116787,,0.0,0.0,0.0
EBITDA,745200000.0,754000000.0,873900000.0,863000000.0,192700000.0,68000000.0,-909900000.0,-889000000.0,638200000.0,664000000.0,112029000.0,208178000.0,210905000.0
EBIT,163900000.0,147000000,299500000.0,324000000,-364300000.0,-428000000,-1297400000.0,-1276000000,359100000.0,253000000,-36006000.0,38678000.0,77262000.0
Consolidated Income,-28000000.0,-28000000.0,148900000.0,161000000.0,-565200000.0,-565000000.0,-1377800000.0,-1378000000.0,181100000.0,181000000.0,-113149000.0,-40102000.0,-2342000.0
Earnings Before Tax Margin,-6.49434991557e-05,0,0.0227890445327,0,-0.134512275421,0,-0.309674086386,0,0.0952176894069,0,0.0,0.0,0.0
Net Profit Margin,-0.00363683595272,-0.0036368359527211,0.0259425743954,0.028029247910864,-0.13291317844,-0.13250469043152,-0.309471934593,-0.31015079900968,0.0517369443492,0.052041403105233,0.0,0.0,0.0
