Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,22134000.0,22000000.0,7177000.0,7000000.0,8363000.0,8000000.0,25143000.0,25000000.0,163000.0,0000000.0,0.0,13626000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Cash and short-term investments,22134000.0,,7177000.0,,8363000.0,,25143000.0,,163000.0,,0.0,13626000.0
Receivables,2926000.0,11000000.0,1956000.0,3000000.0,1186000.0,3000000.0,624000.0,1000000.0,1112000.0,1000000.0,0.0,22099000.0
Inventories,3600000.0,4000000.0,9400000.0,9000000.0,4789000.0,5000000.0,1089000.0,1000000.0,0.0,000000.0,0.0,0.0
Total current assets,51332000.0,200000000.0,22700000.0,266000000.0,26588000.0,350000000.0,31831000.0,607000000.0,2132000.0,185000000.0,0.0,37439000.0
Property Plant & Equipment Net,199761000.0,200000000.0,266429000.0,266000000.0,349505000.0,350000000.0,596329000.0,596000000.0,185160000.0,185000000.0,0.0,196386000.0
Goodwill and Intangible Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax assets,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current assets,199796000.0,216000000.0,266501000.0,227000000.0,349572000.0,141000000.0,606612000.0,169000000.0,185211000.0,0000000.0,0.0,196591000.0
Total assets,251128000.0,251000000.0,289201000.0,289000000.0,376160000.0,376000000.0,638443000.0,638000000.0,187343000.0,187000000.0,0.0,234030000.0
Payables,277404000.0,274000000.0,244963000.0,173000000.0,213120000.0,206000000.0,108047000.0,108000000.0,6239000.0,6000000.0,0.0,35897000.0
Short-term debt,78183000.0,78000000.0,12627000.0,13000000.0,98119000.0,98000000.0,6200000.0,6000000.0,6496000.0,6000000.0,0.0,0.0
Total current liabilities,398300000.0,398000000.0,287103000.0,287000000.0,341400000.0,341000000.0,136341000.0,136000000.0,20181000.0,20000000.0,0.0,42819000.0
Long-term debt,61349000.0,191000000.0,74446000.0,204000000.0,0.0,120000000.0,93000000.0,154000000.0,6496000.0,000000.0,0.0,6000000.0
Total debt,139532000.0,191000000.0,87073000.0,204000000.0,98119000.0,120000000.0,99200000.0,154000000.0,12992000.0,000000.0,0.0,6000000.0
Deferred revenue,10800000.0,,800000.0,,1600000.0,,0.0,,0.0,,0.0,0.0
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,61349000.0,216000000.0,74446000.0,227000000.0,0.0,141000000.0,93082000.0,169000000.0,6563000.0,0000000.0,0.0,6000000.0
Total liabilities,614569000.0,615000000.0,514536000.0,515000000.0,482784000.0,483000000.0,305092000.0,305000000.0,20248000.0,20000000.0,0.0,48821000.0
Other comprehensive income,806528000,,792744000,,789615000,,777043000,,464590000,,0.0,461157000
Retained earnings (deficit),-1170184000.0,-1170000000.0,-1018292000.0,-1018000000.0,-896451000.0,-896000000.0,-444954000.0,-445000000.0,-297877000.0,-298000000.0,0.0,-275838000.0
Total shareholders equity,-363441000.0,-363000000.0,-225335000.0,-225000000.0,-106624000.0,-107000000.0,333351000.0,333000000.0,167095000.0,167000000.0,0.0,185209000.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Debt,117398000.0,247000000,79896000.0,210000000,89756000.0,210000000,74057000.0,135000000,12829000.0,6000000,0.0,-7626000.0
Other Assets,0.0,12000000,0.0,3000000,0.0,9000000,0.0,11000000,0.0,0,0.0,0.0
Other Liabilities,154920000.0,67000000,152987000.0,120000000,141384000.0,56000000,75669000.0,36000000,0.0,0,0.0,2000.0
