Date,2019-04-30,2018-04-30,2017-04-30
Depreciation & Amortization,27069000.0,5066000.0,3150000.0
Stock-based compensation,39942000.0,12742000.0,18886000.0
Operating Cash Flow,-23937000.0,-20819000.0,-16107000.0
Capital Expenditure,3447000.0,-2968000.0,-843000.0
Acquisitions and disposals,-1986000.0,-3702000.0,-4488000.0
Investment purchases and sales,0.0,15000000.0,-15000000.0
Investing Cash flow,-8283000.0,8330000.0,-20331000.0
Issuance (repayment) of debt,-0.0,-132000.0,-106000.0
Issuance (buybacks) of shares,-298000000.0,3559000.0,2061000.0
Dividend payments,-0.0,0.0,0.0
Financing Cash Flow,281788000.0,3427000.0,59761000.0
Effect of forex changes on cash,-897000.0,781000.0,-635000.0
Net cash flow / Change in cash,248671000.0,-8281000.0,22688000.0
Free Cash Flow,-27384000.0,-23787000.0,-16950000.0
Net Cash/Marketcap,0.0,0.011,0.011
