Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,11035000000.0,11261000000.0,14017000000.0,14562000000.0,15026000000.0,15049000000.0,14917000000.0,15303000000.0,0.0,0.0,12973000000.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048
Cost of Revenue,4540000000.0,4510000000.0,6029000000.0,7144000000.0,7811000000.0,8952000000.0,7906000000.0,8357000000.0,9230000000.0,7455000000.0,8434000000.0
Gross Profit,6495000000.0,6751000000.0,7988000000.0,7418000000.0,7215000000.0,6097000000.0,7011000000.0,6946000000.0,-9230000000.0,-7455000000.0,4539000000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,2927000000.0,3109000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Expenses,3985000000.0,4249000000.0,7816000000.0,15680000000.0,4923000000.0,5035000000.0,5404000000.0,4770000000.0,5330000000.0,4079000000.0,2103000000.0
Operating Income,2510000000.0,2502000000.0,172000000.0,-8262000000.0,2292000000.0,1062000000.0,1607000000.0,2176000000.0,1698000000.0,1805000000.0,2436000000.0
Interest Expense,1033000000.0,1116000000.0,1178000000.0,1157000000.0,1132000000.0,1073000000.0,1016000000.0,0.0,0.0,0.0,978000000.0
Earnings before Tax,1117000000.0,1512000000.0,-829000000.0,-9232000000.0,893000000.0,171000000.0,570000000.0,1324000000.0,1443000000.0,1242000000.0,1809000000.0
Income Tax Expense,213000000.0,490000000.0,895000000.0,-3055000000.0,315000000.0,-42000000.0,195000000.0,553000000.0,574000000.0,482000000.0,937000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16000000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,912000000.0,1348000000.0,-1724000000.0,-6177000000.0,578000000.0,299000000.0,392000000.0,770000000.0,885000000.0,784000000.0,872000000.0
Preferred Dividends,3000000.0,71000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,912000000.0,1348000000.0,-1724000000.0,-6177000000.0,578000000.0,299000000.0,392000000.0,770000000.0,885000000.0,784000000.0,872000000.0
EPS,1.7,1.99,-3.88,-14.49,1.37,0.71,0.94,1.85,2.22,2.58,2.87
EPS Diluted,1.68,1.99,-3.88,-14.49,1.37,0.71,0.94,1.84,2.21,2.57,2.85
Weighted Average Shs Out,535000000.0,492000000.0,444000000.0,426000000.0,422000000.0,420000000.0,418000000.0,418000000.0,399000000.0,304000000.0,304835407.0
Weighted Average Shs Out (Dil),542000000.0,494000000.0,444000000.0,426000000.0,424000000.0,421000000.0,419000000.0,419000000.0,401000000.0,305000000.0,304000000.0
Dividend per Share,1.50184501845,1.43927125506,1.43918918919,1.43427230047,1.43160377358,1.43467933492,2.19570405728,2.19570405728,2.1970074813,2.19672131148,2.2
Gross Margin,0.588581785229,0.599502708463,0.569879432118,0.509408048345,0.480167709304,0.405143198884,0.470000670376,0.453897928511,0.0,0.0,0.3499
EBITDA Margin,0.337743543271,0.345084805967,0.137047870443,-0.426864441698,0.27791827499,0.174230845903,0.238452772005,0.248840096713,0.0,0.0,0.352
EBIT Margin,0.227458087902,0.22218275464,0.0122708140116,-0.567367119901,0.152535604951,0.0705694730547,0.107729436214,0.142194340979,0.0,0.0,0.2148
Profit Margin,0.0826461259628,0.11970517716,-0.122993507883,-0.424186238154,0.0384666577932,0.019868429796,0.0262787423745,0.0503169313207,0.0,0.0,0.067
Free Cash Flow margin,-0.0179429089261,-0.112334606163,0.0871085110937,0.0368081307513,0.0494476241182,-0.03980330919,0.00160890259436,-0.0233941057309,0.0,0.0,0.0202
EBITDA,3727000000.0,3886000000.0,1921000000.0,-6216000000.0,4176000000.0,2622000000.0,3557000000.0,3808000000.0,3340000000.0,3441000000.0,4563000000.0
EBIT,2510000000.0,2502000000.0,172000000.0,-8262000000.0,2292000000.0,1062000000.0,1607000000.0,2176000000.0,1698000000.0,1805000000.0,2787000000.0
Consolidated Income,912000000.0,1348000000.0,-1724000000.0,-6177000000.0,578000000.0,299000000.0,392000000.0,770000000.0,885000000.0,784000000.0,856000000.0
Earnings Before Tax Margin,0.101223380154,0.134268715034,-0.059142469858,-0.633978849059,0.0594303207773,0.0113628812546,0.0382114366159,0.0865189832059,0.0,0.0,0.1394
Net Profit Margin,0.0826461259628,0.11970517716,-0.122993507883,-0.424186238154,0.0384666577932,0.019868429796,0.0262787423745,0.0503169313207,0.0,0.0,0.0672
