Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,9790000.0,11177000.0,9773000.0,9335000.0,18163000.0,7519000.0,19623000.0,21267000.0,23813000.0,68213000.0,27738000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cash and short-term investments,9790000.0,11177000.0,9773000.0,9335000.0,18163000.0,7519000.0,19623000.0,21267000.0,23813000.0,68213000.0,
Receivables,3851000.0,3938000.0,3123000.0,3113000.0,2898000.0,4733000.0,5102000.0,1749000.0,1460000.0,1922000.0,12415000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,13641000.0,15115000.0,12896000.0,12448000.0,21061000.0,12252000.0,24725000.0,23016000.0,25273000.0,70135000.0,
Property Plant & Equipment Net,183000.0,197000.0,289000.0,313000.0,484000.0,609000.0,709000.0,544000.0,468000.0,503000.0,860602000.0
Goodwill and Intangible Assets,40704000.0,59595000.0,86520000.0,125491000.0,108046000.0,138714000.0,183454000.0,111982000.0,91613000.0,40578000.0,0.0
Long-term investments,0.0,0.0,70164000.0,75165000.0,77019000.0,78611000.0,0.0,81960000.0,87598000.0,89327000.0,
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,1829013000.0,1882987000.0,1977616000.0,2075685000.0,1900307000.0,1924138000.0,2019309000.0,1504163000.0,1383388000.0,1168600000.0,
Total assets,1842654000.0,1898102000.0,1990512000.0,2088133000.0,1921368000.0,1936390000.0,2044034000.0,1527179000.0,1408661000.0,1238735000.0,1154850000.0
Payables,66658000.0,59183000.0,61039000.0,57259000.0,49489000.0,42561000.0,44137000.0,31122000.0,26446000.0,22435000.0,23787000.0
Short-term debt,0.0,25000000.0,78000000.0,280000000.0,290000000.0,268000000.0,306500000.0,216750000.0,449000000.0,209968000.0,
Total current liabilities,66658000.0,84183000.0,139039000.0,337259000.0,339489000.0,310561000.0,350637000.0,247872000.0,475446000.0,232403000.0,
Long-term debt,0.0,25000000.0,78000000.0,280000000.0,290000000.0,268000000.0,306500000.0,216750000.0,449000000.0,209968000.0,
Total debt,0.0,50000000.0,156000000.0,560000000.0,580000000.0,536000000.0,613000000.0,433500000.0,898000000.0,419936000.0,184008000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808000.0
Total non-current liabilities,0.0,25000000.0,78000000.0,280000000.0,290000000.0,268000000.0,306500000.0,216750000.0,449000000.0,209968000.0,
Total liabilities,1056258000.0,1060468000.0,1119220000.0,1126089000.0,985712000.0,956743000.0,993868000.0,662430000.0,487294000.0,317177000.0,217576000.0
Other comprehensive income,795749000,808093000,846949000,951077000,949868000,988133000,1043602000,867179000,921359000,923704000,-2076000.0
Retained earnings (deficit),-4682000.0,14765000.0,12166000.0,5478000.0,-7111000.0,-4248000.0,3277000.0,-1219000.0,0.0,-1077000.0,-64371000.0
Total shareholders equity,786396000.0,837634000.0,871292000.0,962044000.0,935656000.0,979647000.0,1050166000.0,864749000.0,921367000.0,921558000.0,937274000.0
Investments,0.0,0.0,70164000.0,75165000.0,77019000.0,78611000.0,0.0,81960000.0,87598000.0,89327000.0,134272000.0
Net Debt,-9790000.0,38823000.0,146227000.0,550665000.0,561837000.0,528481000.0,593377000.0,412233000.0,874187000.0,351723000.0,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other Liabilities,989600000.0,951285000.0,902181000.0,508830000.0,356223000.0,378182000.0,336731000.0,197808000.0,0.0,0.0,
