Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,29512000.0,26255000.0,16608000.0,14672000.0,20988000.0,23628000.0,24638000.0,28374000.0,41899000.0,21997000.0
Short-term investments,20179000.0,22524000.0,24081000.0,26417000.0,23436000.0,19150000.0,12920000.0,9114000.0,13854000.0,86176000.0
Cash and short-term investments,49691000.0,48779000.0,40689000.0,41089000.0,44424000.0,42778000.0,37558000.0,37488000.0,55753000.0,108173000.0
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64806000.0,61418000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,138053000.0,197185000.0,129387000.0,112069000.0,121781000.0,150884000.0,158610000.0,141516000.0,135965000.0,180370000.0
Property Plant & Equipment Net,243873000.0,251504000.0,351929000.0,383858000.0,357186000.0,340276000.0,337494000.0,353065000.0,201223000.0,192742000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15722000.0,16182000.0
Long-term investments,8073000.0,10758000.0,16589000.0,23166000.0,19835000.0,11905000.0,10580000.0,13115000.0,8335000.0,10287000.0
Tax assets,8165000.0,9261000.0,10910000.0,11536000.0,12295000.0,13289000.0,14907000.0,0.0,0.0,0.0
Total non-current assets,267571000.0,278723000.0,380347000.0,419701000.0,413192000.0,439299000.0,433959000.0,441961000.0,243829000.0,232730000.0
Total assets,405624000.0,475908000.0,509734000.0,531770000.0,534973000.0,590183000.0,592569000.0,583477000.0,379794000.0,413100000.0
Payables,69667000.0,74734000.0,68453000.0,93205000.0,85606000.0,69343000.0,38035000.0,23899000.0,38197000.0,46338000.0
Short-term debt,339000.0,316000.0,1903000.0,1807000.0,1786000.0,0.0,7547000.0,7690000.0,0.0,39298000.0
Total current liabilities,229693000.0,218642000.0,172993000.0,243920000.0,215392000.0,198528000.0,198327000.0,189331000.0,137911000.0,178204000.0
Long-term debt,7533000.0,7872000.0,58494000.0,60396000.0,49373000.0,36461000.0,24872000.0,37282000.0,37905000.0,61991000.0
Total debt,7872000.0,8188000.0,60397000.0,62203000.0,51159000.0,36461000.0,32419000.0,44972000.0,37905000.0,101289000.0
Deferred revenue,755000.0,898000.0,1031000.0,1267000.0,1370000.0,1531000.0,1708000.0,2045000.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,1379000.0,1245000.0,1086000.0,0.0,9258000.0,9263000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,104762000.0,112272000.0,172475000.0,103398000.0,92799000.0,81277000.0,80688000.0,113952000.0,77116000.0,95581000.0
Total liabilities,334455000.0,330914000.0,345468000.0,347318000.0,308191000.0,279805000.0,279015000.0,303283000.0,215027000.0,273785000.0
Other comprehensive income,361555000,360942000,359853000,358665000,357051000,355570000,354164000,352819000,5476000.0,4580000.0
Retained earnings (deficit),-292636000.0,-220489000.0,-199521000.0,-177622000.0,-134449000.0,-48996000.0,-44455000.0,-74582000.0,-138783000.0,-162275000.0
Total shareholders equity,71169000.0,144994000.0,164266000.0,184452000.0,226782000.0,310378000.0,313554000.0,280194000.0,164767000.0,139315000.0
Investments,28252000.0,33282000.0,40670000.0,49583000.0,43271000.0,31055000.0,23500000.0,22229000.0,22189000.0,96463000.0
Net Debt,-21640000.0,-18067000.0,43789000.0,47531000.0,30171000.0,12833000.0,7781000.0,16598000.0,-17848000.0,-6884000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15406000.0,10779000.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99714000.0,92568000.0
