Date,2018-12-31,2017-12-31
Depreciation & Amortization,2250000.0,1090000.0
Stock-based compensation,11648000.0,1403000.0
Operating Cash Flow,-51676000.0,-5263000.0
Capital Expenditure,-1597000.0,-3397000.0
Acquisitions and disposals,-2676000.0,0.0
Investment purchases and sales,30482000.0,6000000.0
Investing Cash flow,26067000.0,5083000.0
Issuance (repayment) of debt,-421000.0,857000.0
Issuance (buybacks) of shares,54309000.0,396000.0
Dividend payments,0.0,0.0
Financing Cash Flow,53888000.0,1253000.0
Effect of forex changes on cash,-190000.0,627000.0
Net cash flow / Change in cash,28089000.0,1700000.0
Free Cash Flow,-53273000.0,-8660000.0
Net Cash/Marketcap,,
