Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,338200000.0,322700000.0,310200000.0,303300000.0,287000000.0,267800000.0,249400000.0,0.0,0.0,227300000.0
Stock-based compensation,16400000.0,9900000.0,15800000.0,11600000.0,14000000.0,13100000.0,12200000.0,0.0,0.0,0.0
Operating Cash Flow,508500000.0,496800000.0,626100000.0,534300000.0,449200000.0,400700000.0,370200000.0,0.0,0.0,267000000.0
Capital Expenditure,929300000.0,566800000.0,595700000.0,681400000.0,1015200000.0,744100000.0,739300000.0,0.0,0.0,-409300000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-81400000.0
Investment purchases and sales,-115500000.0,-100000000.0,-120100000.0,-125400000.0,-124600000.0,-68600000.0,0.0,0.0,0.0,113600000.0
Investing Cash flow,-676100000.0,-428300000.0,-394900000.0,-307600000.0,-878500000.0,-404300000.0,-343600000.0,0.0,0.0,-308200000.0
Issuance (repayment) of debt,-632800000.0,-703000000.0,-800000000.0,-726300000.0,-819800000.0,-602800000.0,-671200000.0,-0.0,-0.0,90100000.0
Issuance (buybacks) of shares,-115500000.0,-100000000.0,-120100000.0,-125400000.0,-124600000.0,-68600000.0,-234200000.0,0.0,0.0,-55100000.0
Dividend payments,-69300000.0,-68200000.0,-67400000.0,-68200000.0,-62000000.0,-60500000.0,-58800000.0,-0.0,-0.0,-53600000.0
Financing Cash Flow,-21400000.0,-83900000.0,-124900000.0,-229000000.0,262200000.0,149100000.0,-39900000.0,0.0,0.0,-19500000.0
Effect of forex changes on cash,-4000000.0,4000000.0,-1200000.0,-5200000.0,-2700000.0,-1100000.0,-900000.0,0.0,0.0,200000.0
Net cash flow / Change in cash,106700000.0,299700000.0,105100000.0,-7500000.0,-169800000.0,145500000.0,-14200000.0,0.0,0.0,-60500000.0
Free Cash Flow,-420800000.0,-70000000.0,30400000.0,-147100000.0,-566000000.0,-343400000.0,-369100000.0,0.0,0.0,-142300000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4658
