Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,221200000.0,393300000.0,255800000.0,228322000.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,221200000.0,393300000.0,255800000.0,228322000.0
Receivables,525400000.0,536300000.0,441600000.0,403250000.0
Inventories,523900000.0,494500000.0,443900000.0,474950000.0
Total current assets,1331200000.0,1463600000.0,1188500000.0,1157358000.0
Property Plant & Equipment Net,356600000.0,363200000.0,358400000.0,340765000.0
Goodwill and Intangible Assets,2657900000.0,2658800000.0,2624600000.0,2835184000.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,1300000.0,1000000.0,1400000.0,9438000.0
Total non-current assets,3155900000.0,3157600000.0,3127500000.0,3304688000.0
Total assets,4487100000.0,4621200000.0,4316000000.0,4462046000.0
Payables,340000000.0,269700000.0,214900000.0,156868000.0
Short-term debt,7900000.0,20900000.0,24500000.0,25388000.0
Total current liabilities,596400000.0,561800000.0,497900000.0,431279000.0
Long-term debt,1664200000.0,2019300000.0,2753800000.0,2769459000.0
Total debt,1672100000.0,2040200000.0,2778300000.0,2794847000.0
Deferred revenue,69600000.0,0.0,0.0,0.0
Tax Liabilities,24300000.0,34500000.0,487600000.0,578958000.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,2119900000.0,2482800000.0,3546300000.0,3625232000.0
Total liabilities,2811100000.0,3144400000.0,4044200000.0,4056511000.0
Other comprehensive income,2229700000,2252400000,-342400000.0,-265510000.0
Retained earnings (deficit),-308700000.0,-577800000.0,-596200000.0,-559613000.0
Total shareholders equity,1676000000.0,1476800000.0,265900000.0,390233000.0
Investments,0.0,0.0,0.0,0.0
Net Debt,1450900000.0,1646900000.0,2522500000.0,2566525000.0
Other Assets,0.0,0.0,47200000.0,50836000.0
Other Liabilities,94800000.0,99800000.0,258500000.0,249023000.0
