Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Depreciation & Amortization,206946000.0,197115000.0,193775000.0,181767000.0,170285000.0,147259000.0,130452000.0,125742000.0
Stock-based compensation,28207000.0,17453000.0,11043000.0,10902000.0,8392000.0,6638000.0,5040000.0,6620000.0
Operating Cash Flow,82888000.0,186541000.0,200276000.0,253955000.0,258203000.0,159634000.0,152783000.0,134434000.0
Capital Expenditure,134352000.0,189366000.0,194478000.0,176235000.0,176109000.0,180554000.0,146038000.0,177090000.0
Acquisitions and disposals,-0.0,-6802000.0,-0.0,-12736000.0,-2514000.0,-107600000.0,-1874000.0,-352000.0
Investment purchases and sales,-160229000.0,-12293000.0,-60479000.0,-53774000.0,-32585000.0,-17208000.0,-17611000.0,-55661000.0
Investing Cash flow,-32276000.0,-220873000.0,-227163000.0,-189063000.0,-202140000.0,-266351000.0,-168905000.0,-164193000.0
Issuance (repayment) of debt,-254033000.0,-95122000.0,-132205000.0,-494982000.0,-118585000.0,-98152000.0,-64540000.0,-434354000.0
Issuance (buybacks) of shares,-111648000.0,-12293000.0,-58679000.0,-53774000.0,-6850000.0,-17208000.0,-17611000.0,-55661000.0
Dividend payments,-0.0,-0.0,-0.0,-4932000.0,-0.0,-0.0,-0.0,-0.0
Financing Cash Flow,-132728000.0,30657000.0,19656000.0,-53766000.0,-85632000.0,127197000.0,11226000.0,26076000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-82116000.0,-3675000.0,-7231000.0,11126000.0,-29569000.0,20480000.0,-4896000.0,-3683000.0
Free Cash Flow,-51464000.0,-2825000.0,5798000.0,77720000.0,82094000.0,-20920000.0,6745000.0,-42656000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
