Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,31014000.0,47722000.0,76058000.0,59134000.0,53767000.0
Short-term investments,0.0,0.0,3082000.0,0.0,0.0
Cash and short-term investments,31014000.0,47722000.0,76058000.0,59134000.0,53767000.0
Receivables,186114000.0,190851000.0,177506000.0,192384000.0,197677000.0
Inventories,361207000.0,363962000.0,323289000.0,326359000.0,291141000.0
Total current assets,664001000.0,687076000.0,664531000.0,671523000.0,636791000.0
Property Plant & Equipment Net,228388000.0,228922000.0,239748000.0,254894000.0,266592000.0
Goodwill and Intangible Assets,687928000.0,667175000.0,669229000.0,680673000.0,696992000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0
Tax assets,78028000.0,110318000.0,130416000.0,132265000.0,131112000.0
Total non-current assets,1027620000.0,1040248000.0,1071640000.0,1087450000.0,1125912000.0
Total assets,1691621000.0,1727324000.0,1736171000.0,1758973000.0,1762703000.0
Payables,86045000.0,92759000.0,87608000.0,102439000.0,107594000.0
Short-term debt,35625000.0,26719000.0,18750000.0,441704000.0,81162000.0
Total current liabilities,294867000.0,306783000.0,462108000.0,755591000.0,346853000.0
Long-term debt,346953000.0,416970000.0,348348000.0,394511000.0,824179000.0
Total debt,382578000.0,443689000.0,367098000.0,836215000.0,905341000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,38268000.0,34310000.0,41962000.0,36544000.0,38196000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,367693000.0,442989000.0,369901000.0,678840000.0,1095894000.0
Total liabilities,796749000.0,912596000.0,1000306000.0,1434431000.0,1442747000.0
Other comprehensive income,910890000,894727000,880576000,-67234000.0,-41058000.0
Retained earnings (deficit),72946000.0,1618000.0,-53951000.0,-81647000.0,-66934000.0
Total shareholders equity,894872000.0,814728000.0,735865000.0,160251000.0,156587000.0
Investments,0.0,0.0,3082000.0,0.0,0.0
Net Debt,351564000.0,395967000.0,291040000.0,777081000.0,851574000.0
Other Assets,0.0,0.0,0.0,93646000.0,94206000.0
Other Liabilities,134189000.0,162824000.0,168297000.0,211448000.0,158097000.0
