Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,139268000.0,178946000.0,83313000.0,175999000.0,145610000.0,133116000.0,93366000.0,135227000.0,97003000.0,0.0,64863000.0
Short-term investments,7900000.0,0.0,0.0,0.0,0.0,0.0,0.0,4600000.0,4800000.0,0.0,0.0
Cash and short-term investments,147168000.0,178946000.0,83313000.0,175999000.0,145610000.0,133116000.0,93366000.0,139827000.0,101803000.0,0.0,64863000.0
Receivables,223400000.0,206772000.0,189460000.0,173582000.0,169146000.0,157101000.0,171726000.0,153014000.0,112505000.0,0.0,64750000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,397410000.0,425309000.0,292654000.0,367635000.0,336528000.0,317619000.0,285315000.0,306177000.0,230208000.0,0.0,140441000.0
Property Plant & Equipment Net,86947000.0,94435000.0,98581000.0,92167000.0,96551000.0,116027000.0,123006000.0,129327000.0,127177000.0,0.0,20902000.0
Goodwill and Intangible Assets,731200000.0,554757000.0,579099000.0,417513000.0,415776000.0,436046000.0,456780000.0,480693000.0,494526000.0,0.0,108318000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,3210000.0,18817000.0,1892000.0,3354000.0,7460000.0,5142000.0,6792000.0,2398000.0,2198000.0,0.0,5038000.0
Total non-current assets,846866000.0,653209000.0,682506000.0,515120000.0,521529000.0,563369000.0,593287000.0,619875000.0,631743000.0,0.0,130203000.0
Total assets,1244276000.0,1078518000.0,975160000.0,882755000.0,858057000.0,880988000.0,878602000.0,926052000.0,861951000.0,0.0,270644000.0
Payables,97747000.0,74902000.0,61900000.0,59402000.0,51661000.0,54549000.0,37123000.0,40867000.0,40546000.0,0.0,26474000.0
Short-term debt,6269000.0,240000000.0,240000000.0,0.0,0.0,0.0,0.0,35000000.0,17500000.0,0.0,0.0
Total current liabilities,101317000.0,96625000.0,92687000.0,90157000.0,88612000.0,91348000.0,86246000.0,100640000.0,60346000.0,0.0,26474000.0
Long-term debt,14881000.0,240000000.0,240000000.0,197796000.0,197796000.0,197796000.0,232796000.0,297500000.0,332500000.0,0.0,0.0
Total debt,21150000.0,480000000.0,480000000.0,197796000.0,197796000.0,197796000.0,232796000.0,332500000.0,350000000.0,0.0,0.0
Deferred revenue,564000.0,564000.0,564000.0,0.0,0.0,0.0,0.0,3336000.0,3689000.0,0.0,0.0
Tax Liabilities,4249000.0,4839000.0,8234000.0,7433000.0,3873000.0,1329000.0,1400000.0,2000000.0,1300000.0,0.0,326000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,288094000.0,268497000.0,276244000.0,235988000.0,244743000.0,256550000.0,289917000.0,362538000.0,410368000.0,0.0,5877000.0
Total liabilities,389411000.0,365122000.0,368931000.0,326145000.0,333355000.0,347898000.0,376163000.0,463178000.0,470714000.0,0.0,32351000.0
Other comprehensive income,344388000,290172000,239100000,229541000,235276000,268200000,251503000,251948000,230844000,0.0,0.0
Retained earnings (deficit),509459000.0,422235000.0,366164000.0,326110000.0,288474000.0,263947000.0,250000000.0,210003000.0,159487000.0,0.0,71610000.0
Total shareholders equity,854865000.0,713396000.0,606229000.0,556610000.0,524702000.0,533090000.0,502439000.0,462874000.0,391237000.0,0.0,238293000.0
Investments,7900000.0,0.0,0.0,0.0,0.0,0.0,0.0,4600000.0,4800000.0,0.0,0.0
Net Debt,-118118000.0,301054000.0,396687000.0,21797000.0,52186000.0,64680000.0,139430000.0,197273000.0,252997000.0,0.0,-64863000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10828000.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
