Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,57943000.0,153939000.0,71328000.0,316457000.0,36364000.0,44771000.0,66338000.0,26041000.0,28015000.0,139687000.0,787205000.0
Short-term investments,4675304000.0,2691037000.0,2910869000.0,2516908000.0,2093404000.0,1660165000.0,1421772000.0,2048442000.0,4496900000.0,1488885000.0,
Cash and short-term investments,4733247000.0,2844976000.0,2982197000.0,2833365000.0,2129768000.0,1704936000.0,1488110000.0,2074483000.0,4524915000.0,1628572000.0,
Receivables,92037000.0,86681000.0,82191000.0,65887000.0,54068000.0,47501000.0,42977000.0,45616000.0,53973000.0,30157000.0,325606000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,4825284000.0,2931657000.0,3064388000.0,2899252000.0,2183836000.0,1752437000.0,1531087000.0,2120099000.0,4578888000.0,1658729000.0,
Property Plant & Equipment Net,380209000.0,353668000.0,333663000.0,361612000.0,377015000.0,398384000.0,432346000.0,477864000.0,505387000.0,209919000.0,203133000.0
Goodwill and Intangible Assets,962307000.0,887123000.0,836163000.0,708950000.0,728731000.0,754003000.0,785448000.0,628877000.0,0.0,75127000.0,78823000.0
Long-term investments,109961000.0,110579000.0,92157000.0,77235000.0,564671000.0,801576000.0,267236000.0,1498985000.0,1184222000.0,364066000.0,
Tax assets,110526000.0,22967000.0,53979000.0,104435000.0,75830000.0,74335000.0,89708000.0,128385000.0,145760000.0,6541000.0,0.0
Total non-current assets,25775473000.0,25304250000.0,24271698000.0,21076050000.0,20655623000.0,18994829000.0,17478164000.0,17344386000.0,15195208000.0,6479598000.0,
Total assets,30600757000.0,28235907000.0,27336086000.0,23975302000.0,22839459000.0,20747266000.0,19009251000.0,19464485000.0,19774096000.0,8138327000.0,8697083000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short-term debt,2714872000.0,1589128000.0,1703890000.0,1225406000.0,1423644000.0,1151573000.0,657960000.0,639133000.0,1044454000.0,0.0,
Total current liabilities,2714872000.0,1589128000.0,1703890000.0,1225406000.0,1423644000.0,1151573000.0,657960000.0,639133000.0,1044454000.0,0.0,
Long-term debt,233462000.0,224993000.0,305513000.0,436280000.0,495999000.0,374371000.0,385826000.0,396589000.0,353890000.0,376000.0,
Total debt,2948334000.0,1814121000.0,2009403000.0,1661686000.0,1919643000.0,1525944000.0,1043786000.0,1035722000.0,1398344000.0,376000.0,516183000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7116000.0
Deposit Liabilities,23803575000.0,23150185000.0,22253202000.0,19424266000.0,18348912000.0,16572831000.0,15360516000.0,15744188000.0,15713579000.0,6775719000.0,7195812000.0
Total non-current liabilities,271183000.0,247960000.0,359492000.0,540715000.0,571829000.0,448706000.0,475534000.0,524974000.0,499650000.0,376000.0,
Total liabilities,27133072000.0,25154567000.0,24451137000.0,21255534000.0,20426316000.0,18274864000.0,16584182000.0,17011207000.0,17406933000.0,7281779000.0,7859420000.0
Other comprehensive income,2046176996.67,2018456996.67,2010832996.67,1989610996.67,1457731000,1531160000,1558432000,1647638000,1634634000,263484000,2998000.0
Retained earnings (deficit),1476232000.0,1243592000.0,1008518000.0,850689000.0,777944000.0,723496000.0,628166000.0,546022000.0,476970000.0,470828000.0,454343000.0
Total shareholders equity,3467685000.0,3081340000.0,2884949000.0,2719768000.0,2413143000.0,2472402000.0,2425069000.0,2453278000.0,2367163000.0,856548000.0,837663000.0
Investments,4785265000.0,2801616000.0,3003026000.0,2594143000.0,2658075000.0,2461741000.0,1689008000.0,3547427000.0,5681122000.0,1852951000.0,6910335000.0
Net Debt,2890391000.0,1660182000.0,1938075000.0,1345229000.0,1883279000.0,1481173000.0,977448000.0,1009681000.0,1370329000.0,-139311000.0,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other Liabilities,24147017000.0,23317479000.0,22387755000.0,19489413000.0,18430843000.0,16674585000.0,15450688000.0,15847100000.0,15862829000.0,7281403000.0,
