Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,316797000.0,265357000.0,269198000.0,273053000.0,255146000.0,274785000.0,283100000.0,261885000.0,197814000.0,224638000.0
Short-term investments,3418487000.0,4154470000.0,4179749000.0,4201772000.0,4934363000.0,5306979000.0,5527415000.0,5216365000.0,5088907000.0,
Cash and short-term investments,3735284000.0,4419827000.0,4448947000.0,4474825000.0,5189509000.0,5581764000.0,5810515000.0,5478250000.0,5286721000.0,
Receivables,36803000.0,34456000.0,32172000.0,31572000.0,31461000.0,30654000.0,31034000.0,32002000.0,35660000.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,3772087000.0,4454283000.0,4481119000.0,4506397000.0,5220970000.0,5612418000.0,5841549000.0,5510252000.0,5322381000.0,
Property Plant & Equipment Net,506899000.0,514454000.0,527583000.0,516716000.0,526423000.0,504842000.0,481287000.0,453050000.0,468950000.0,490375000.0
Goodwill and Intangible Assets,282532000.0,282532000.0,282557000.0,282685000.0,283329000.0,285718000.0,290351000.0,294722000.0,299841000.0,304890000.0
Long-term investments,337507000.0,571415000.0,517162000.0,468791000.0,420670000.0,5306979000.0,5527415000.0,5216365000.0,360955000.0,
Tax assets,0.0,0.0,0.0,0.0,-15589000.0,13764000.0,-48461000.0,-51634000.0,0.0,0.0
Total non-current assets,8099865000.0,7730415000.0,7322922000.0,7266472000.0,6975550000.0,6467059000.0,6041124000.0,6229397000.0,6621088000.0,
Total assets,11871952000.0,12184698000.0,11804041000.0,11772869000.0,12196520000.0,12079477000.0,11882673000.0,11739649000.0,11943469000.0,11762543000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short-term debt,160416000.0,160416000.0,160416000.0,161416000.0,175416000.0,190726000.0,190726000.0,190726000.0,201117000.0,
Total current liabilities,160416000.0,160416000.0,160416000.0,161416000.0,175416000.0,190726000.0,190726000.0,190726000.0,201117000.0,
Long-term debt,705665000.0,1195225000.0,733375000.0,505750000.0,1073944000.0,1223950000.0,749027000.0,494161000.0,1026780000.0,
Total debt,866081000.0,1355641000.0,893791000.0,667166000.0,1249360000.0,1414676000.0,939753000.0,684887000.0,1227897000.0,2990524000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,8696545000.0,8544892000.0,8610089000.0,8536253000.0,8438625000.0,8243425000.0,8287213000.0,7946092000.0,7599558000.0,7178007000.0
Total non-current liabilities,710429000.0,1200418000.0,735000000.0,516035000.0,1129530000.0,1274206000.0,835027000.0,592595000.0,1026780000.0,
Total liabilities,9932370000.0,10345718000.0,10079374000.0,10107366000.0,10615862000.0,10655069000.0,10446965000.0,10139484000.0,10484252000.0,10355073000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116522000,119986000,65878000.0
Retained earnings (deficit),2064134000.0,1891805000.0,1777963000.0,1683600000.0,1585389000.0,1467000000.0,1369543000.0,1302964000.0,1214743000.0,1122290000.0
Total shareholders equity,1939582000.0,1838980000.0,1724667000.0,1665503000.0,1580658000.0,1424408000.0,1435708000.0,1600165000.0,1459217000.0,1407470000.0
Investments,3755994000.0,4725885000.0,4696911000.0,4670563000.0,5355033000.0,10613958000.0,11054830000.0,10432730000.0,5449862000.0,10577806000.0
Net Debt,549284000.0,1090284000.0,624593000.0,394113000.0,994214000.0,1139891000.0,656653000.0,423002000.0,1030083000.0,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other Liabilities,9061525000.0,8984884000.0,9183958000.0,9429915000.0,9310916000.0,9190137000.0,9421212000.0,9356163000.0,9256355000.0,
