Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,83115000.0,85018000.0,0.0,184916000.0,203344000.0,227541000.0,216447000.0,171754000.0,0.0,143805000.0
Stock-based compensation,5910000.0,7591000.0,0.0,10173000.0,10949000.0,13785000.0,13306000.0,15609000.0,0.0,5801000.0
Operating Cash Flow,-1845000.0,-51367000.0,0.0,-22386000.0,164168000.0,228643000.0,369660000.0,188305000.0,0.0,129805000.0
Capital Expenditure,37535000.0,16079000.0,0.0,40808000.0,161639000.0,164137000.0,447160000.0,359097000.0,0.0,77892000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-187058000.0,-0.0,12007000.0
Investment purchases and sales,-280000.0,-697000.0,0.0,-362000.0,-2245000.0,-3196000.0,-8195000.0,-5681000.0,0.0,199000.0
Investing Cash flow,-22132000.0,16913000.0,90505000.0,-19403000.0,-146840000.0,-160881000.0,-428709000.0,-520090000.0,0.0,-8631000.0
Issuance (repayment) of debt,-2500000.0,-2500000.0,-0.0,-1575000.0,-3573000.0,-0.0,-0.0,-421427000.0,-0.0,-103276000.0
Issuance (buybacks) of shares,-280000.0,-697000.0,-90505000.0,-362000.0,-2245000.0,-3196000.0,-7519000.0,-5681000.0,0.0,-3098000.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Financing Cash Flow,-2777000.0,17160000.0,0.0,218729000.0,-22058000.0,-85492000.0,73946000.0,306084000.0,0.0,-100205000.0
Effect of forex changes on cash,0.0,-146000.0,0.0,110000.0,3728000.0,87000.0,-4391000.0,4516000.0,0.0,-1735000.0
Net cash flow / Change in cash,-26754000.0,-17440000.0,90505000.0,177050000.0,-1002000.0,-17643000.0,10506000.0,-21185000.0,0.0,19234000.0
Free Cash Flow,-39380000.0,-67446000.0,0.0,-63194000.0,2529000.0,64506000.0,-77500000.0,-170792000.0,0.0,61995000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2032
