Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,246000000.0,344000000.0,433000000.0,547000000.0,712000000.0,844000000.0,1135000000.0,861000000.0,1624000000.0
Short-term investments,113000000.0,0.0,167000000.0,71000000.0,3000000.0,241000000.0,181000000.0,165000000.0,0.0
Cash and short-term investments,246000000.0,344000000.0,433000000.0,547000000.0,715000000.0,844000000.0,1135000000.0,861000000.0,1624000000.0
Receivables,232000000.0,282000000.0,266000000.0,318000000.0,361000000.0,473000000.0,684000000.0,996000000.0,0.0
Inventories,236000000.0,276000000.0,236000000.0,314000000.0,349000000.0,358000000.0,543000000.0,607000000.0,696000000.0
Total current assets,878000000.0,958000000.0,1120000000.0,1278000000.0,1550000000.0,1971000000.0,2578000000.0,2703000000.0,3799000000.0
Property Plant & Equipment Net,246000000.0,314000000.0,298000000.0,426000000.0,524000000.0,113000000.0,693000000.0,895000000.0,1037000000.0
Goodwill and Intangible Assets,72000000.0,118000000.0,172000000.0,246000000.0,278000000.0,307000000.0,339000000.0,364000000.0,294000000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,1964000000.0,0.0,0.0
Tax assets,160000000.0,188000000.0,35000000.0,23000000.0,38000000.0,54000000.0,75000000.0,58000000.0,120000000.0
Total non-current assets,633000000.0,749000000.0,656000000.0,860000000.0,1006000000.0,1229000000.0,1708000000.0,1975000000.0,2440000000.0
Total assets,1511000000.0,1707000000.0,1776000000.0,2138000000.0,2556000000.0,3200000000.0,4286000000.0,4678000000.0,6239000000.0
Payables,149000000.0,198000000.0,193000000.0,195000000.0,212000000.0,281000000.0,432000000.0,706000000.0,959000000.0
Short-term debt,396000000.0,4000000.0,5000000.0,5000000.0,5000000.0,4000000.0,699000000.0,152000000.0,50000000.0
Total current liabilities,778000000.0,419000000.0,425000000.0,459000000.0,599000000.0,885000000.0,2104000000.0,2150000000.0,2833000000.0
Long-term debt,5000000.0,399000000.0,402000000.0,675000000.0,672000000.0,674000000.0,740000000.0,1363000000.0,1195000000.0
Total debt,401000000.0,403000000.0,407000000.0,680000000.0,677000000.0,678000000.0,1439000000.0,1515000000.0,1245000000.0
Deferred revenue,34000000.0,30000000.0,28000000.0,39000000.0,48000000.0,48000000.0,125000000.0,169000000.0,0.0
Tax Liabilities,57000000.0,61000000.0,84000000.0,85000000.0,1000000.0,3000000.0,13000000.0,40000000.0,343000000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,204000000.0,617000000.0,684000000.0,975000000.0,1027000000.0,1143000000.0,1187000000.0,1883000000.0,1315000000.0
Total liabilities,1514000000.0,1650000000.0,1849000000.0,2060000000.0,2279000000.0,2572000000.0,7965000000.0,7030000000.0,7316000000.0
Other comprehensive income,607999999.99,621999999.99,632999999.99,628000000,617000000,609999999.99,0.0,0.0,0.0
Retained earnings (deficit),-200000000.0,-174000000.0,-268000000.0,-283000000.0,-204000000.0,-81000000.0,2600000000.0,4071000000.0,4969000000.0
Total shareholders equity,-3000000.0,57000000.0,-73000000.0,78000000.0,277000000.0,628000000.0,-3679000000.0,-2352000000.0,-1077000000.0
Investments,113000000.0,0.0,167000000.0,71000000.0,3000000.0,241000000.0,2145000000.0,165000000.0,0.0
Net Debt,155000000.0,59000000.0,-26000000.0,133000000.0,-35000000.0,-166000000.0,304000000.0,654000000.0,-379000000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,532000000.0,614000000.0,740000000.0,626000000.0,653000000.0,544000000.0,4674000000.0,2997000000.0,3168000000.0
