Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,207300000.0,227100000.0,220100000.0,165900000.0,94100000.0,18400000.0,6147000.0,8475540.0,1618000.0,1122000.0
Stock-based compensation,37100000.0,38200000.0,65100000.0,30800000.0,15800000.0,7500000.0,8147000.0,5055000.0,8094000.0,3857000.0
Operating Cash Flow,93100000.0,73000000.0,102900000.0,178200000.0,98100000.0,31300000.0,6767000.0,-6011000.0,2157000.0,-25226000.0
Capital Expenditure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10577000.0,19564000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-73714000.0,53622000.0
Investment purchases and sales,-170700000.0,-68500000.0,-68000000.0,-16400000.0,-19700000.0,-7500000.0,-47000.0,-57635709.0,-30545000.0,-6037000.0
Investing Cash flow,593100000.0,-70200000.0,-286700000.0,-1483600000.0,-2473200000.0,-345400000.0,-390256000.0,-198134000.0,-114836000.0,69007000.0
Issuance (repayment) of debt,-866800000.0,-684700000.0,-608100000.0,-681100000.0,-385800000.0,-1700000.0,-0.0,-0.0,-21513000.0,-4933000.0
Issuance (buybacks) of shares,-177900000.0,-67700000.0,-64800000.0,203600000.0,182400000.0,272100000.0,106199000.0,122553000.0,-11301000.0,-3631000.0
Dividend payments,-111200000.0,-59200000.0,-64800000.0,-51800000.0,-38900000.0,-24100000.0,-21897000.0,-11698000.0,-4533000.0,-3235000.0
Financing Cash Flow,-528800000.0,-565300000.0,419800000.0,1118800000.0,3163400000.0,371400000.0,388418000.0,272617000.0,91160000.0,-15707000.0
Effect of forex changes on cash,-20700000.0,28100000.0,-81900000.0,-19500000.0,-28800000.0,3400000.0,-528000.0,486000.0,10703000.0,3879000.0
Net cash flow / Change in cash,136700000.0,-534400000.0,154100000.0,-206100000.0,759500000.0,57300000.0,4929000.0,68958000.0,-10816000.0,31953000.0
Free Cash Flow,93100000.0,73000000.0,102900000.0,178200000.0,98100000.0,31300000.0,6767000.0,-6011000.0,-8420000.0,-5662000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.732,1.0922
