Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31
Revenue,867520000.0,820082000.0,746665000.0,737555000.0,765860000.0,729395000.0,708226000.0,0.0,0.0,683231000.0,0.0,0.0,544063000.0,451490000.0
Revenue Growth,0.0578454349686983,0.0983265587646401,0.0123516212350265,-0.0369584519363852,0.0499934877535492,0.0298901762996558,0.0,0.0,-1,0.0,0.0,-1,0.20503887129283,-0.2238
Cost of Revenue,571867000.0,558525000.0,466633000.0,467305000.0,492654000.0,468320000.0,469515000.0,0.0,0.0,460581000.0,0.0,0.0,351274000.0,294652000.0
Gross Profit,295653000.0,261557000.0,280032000.0,270250000.0,273206000.0,261075000.0,238711000.0,0.0,0.0,222650000.0,0.0,0.0,192789000.0,156838000.0
R&D Expenses,24500000.0,23900000.0,22500000.0,22090000.0,22134000.0,21578000.0,19993000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,207872000.0,198813000.0,196981000.0,198990000.0,195850000.0,189832000.0,175487000.0,0.0,0.0,329476000.0,0.0,0.0,139209000.0,126018000.0
Operating Expenses,207872000.0,198813000.0,196981000.0,198990000.0,195850000.0,189832000.0,175487000.0,0.0,0.0,164738000.0,0.0,0.0,144658000.0,130750000.0
Operating Income,87781000.0,62744000.0,83051000.0,71260000.0,77356000.0,71243000.0,63224000.0,0.0,0.0,57912000.0,0.0,0.0,48131000.0,26088000.0
Interest Expense,6158000.0,3892000.0,2889000.0,2585000.0,2371000.0,2922000.0,4283000.0,0.0,0.0,14256000.0,0.0,0.0,5225000.0,5533000.0
Earnings before Tax,83098000.0,60668000.0,84009000.0,70230000.0,78293000.0,72826000.0,62948000.0,0.0,0.0,60156000.0,0.0,0.0,44736000.0,23285000.0
Income Tax Expense,25050000.0,41653000.0,23226000.0,17785000.0,23539000.0,20489000.0,15575000.0,0.0,0.0,14256000.0,0.0,0.0,12616000.0,7065000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2284000.0,1270000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,59473000.0,20278000.0,61403000.0,51180000.0,58297000.0,58851000.0,50240000.0,0.0,0.0,45900000.0,0.0,0.0,32120000.0,16220000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,59473000.0,20278000.0,61403000.0,51180000.0,58297000.0,58851000.0,50240000.0,0.0,0.0,45900000.0,0.0,0.0,32120000.0,16220000.0
EPS,4.46,1.53,4.64,3.84,4.27,4.28,3.64,0.0,0.0,3.52,0.0,0.0,2.85,1.48
EPS Diluted,4.45,1.52,4.63,3.84,4.26,4.27,3.63,0.0,0.0,3.47,0.0,0.0,2.8,1.47
Weighted Average Shs Out,13268047.0,13204872.0,13136138.0,13199630.0,13126759.0,13044842.0,12871703.0,0.0,0.0,0.0,0.0,0.0,11376232.0,11072352.0
Weighted Average Shs Out (Dil),13304732.0,13245946.0,13160469.0,13214849.0,13148068.0,13069612.0,12930501.0,0.0,0.0,0.0,0.0,0.0,11376232.0,11072352.0
Dividend per Share,1.45203977051,1.40518465046,1.33923798612,1.24957916659,1.10753914568,0.996050992179,0.975677585888,0.0,0.0,0.0,0.0,0.0,0.93,0.92
Gross Margin,0.340802517521,0.318940057214,0.375043694294,0.366413352225,0.356730995221,0.357933629926,0.337054838427,0.0,0.0,0.325878070521,0.0,0.0,0.3544,0.3474
EBITDA Margin,0.123910687938,0.100855768082,0.137433788915,0.122656615439,0.122720862821,0.119313951974,0.110956107231,0.0,0.0,0.104949863223,0.0,0.0,0.112,0.087
EBIT Margin,0.101186139801,0.0765094222285,0.111229266137,0.0966165235135,0.101005405688,0.0976740997676,0.0892709389376,0.0,0.0,0.0847619619133,0.0,0.0,0.0918,0.0638
Profit Margin,0.0685551918111,0.0247267956131,0.0822363442776,0.069391435215,0.0761196563341,0.0806846770269,0.0709378079878,0.0,0.0,0.0671807924406,0.0,0.0,0.059,0.036
Free Cash Flow margin,0.0759555975655,0.065712940901,0.0854452800118,0.08460250422,0.0543676389941,0.0854982554035,0.0708220257375,0.0,0.0,0.0110489717241,0.0,0.0,0.0518,0.0615
EBITDA,107495000.0,82710000.0,102617000.0,90466000.0,93987000.0,87027000.0,78582000.0,0.0,0.0,71705000.0,0.0,0.0,60816000.0,39421000.0
EBIT,87781000.0,62744000.0,83051000.0,71260000.0,77356000.0,71243000.0,63224000.0,0.0,0.0,57912000.0,0.0,0.0,49961000.0,28818000.0
Consolidated Income,59473000.0,20278000.0,61403000.0,51180000.0,58297000.0,58851000.0,50240000.0,0.0,0.0,45900000.0,0.0,0.0,34404000.0,17490000.0
Earnings Before Tax Margin,0.0957879933604,0.0739779680569,0.112512304715,0.0952200174902,0.102228866895,0.0998443915848,0.0888812328268,0.0,0.0,0.0880463562104,0.0,0.0,0.0822,0.0516
Net Profit Margin,0.0685551918111,0.0247267956131,0.0822363442776,0.069391435215,0.0761196563341,0.0806846770269,0.0709378079878,0.0,0.0,0.0671807924406,0.0,0.0,0.059,0.0359
