Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,11957900000.0,15048900000.0,20008800000.0,18280000000.0,18248300000.0,14474200000.0,9930800000.0,9118300000.0,8364200000.0,6963500000.0
Revenue Growth,-0.205397072211258,-0.247885930190716,0.0945733041575492,0.00173714811790687,0.260746707935499,0.457505941112498,0.0891065220490662,0.0901580545658879,0.201148847562289,-0.088
Cost of Revenue,7352500000.0,8413600000.0,10755800000.0,5999900000.0,6036900000.0,4427900000.0,3349700000.0,3098900000.0,3010500000.0,2604400000.0
Gross Profit,4605400000.0,6635300000.0,9253000000.0,12280100000.0,12211400000.0,10046300000.0,6581100000.0,6019400000.0,5353700000.0,4359100000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,2049100000.0,2476000000.0,3566900000.0,3166900000.0,3172800000.0,2616500000.0,1860300000.0,1708200000.0,1583000000.0,1325600000.0
Operating Expenses,3766300000.0,4687800000.0,6451700000.0,9930900000.0,9983200000.0,8034200000.0,4598000000.0,4196500000.0,3960100000.0,3455000000.0
Operating Income,839100000.0,1947500000.0,2801300000.0,2349200000.0,2228200000.0,2012100000.0,1983100000.0,1822900000.0,1393600000.0,904100000.0
Interest Expense,1478700000.0,1889600000.0,2638400000.0,2441400000.0,2544700000.0,2286900000.0,1673600000.0,1453700000.0,1283600000.0,807600000.0
Earnings before Tax,161800000.0,-1556000000.0,549400000.0,-684600000.0,-1055900000.0,-526500000.0,397800000.0,-531600000.0,191300000.0,-1217200000.0
Income Tax Expense,1573300000.0,309500000.0,-1217900000.0,364900000.0,-75000000.0,355500000.0,75000000.0,241100000.0,-196900000.0,-805100000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,64500000.0,101700000.0,175800000.0,426200000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,-971200000.0,-130500000.0,-1517700000.0,-113900000.0
Net Income,725300000.0,-2778100000.0,1705300000.0,-1152500000.0,-695000000.0,-963900000.0,322800000.0,-772700000.0,388200000.0,-412100000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,725300000.0,-2778100000.0,1705300000.0,-1152500000.0,-695000000.0,-963900000.0,322800000.0,-772700000.0,388200000.0,-412100000.0
EPS,-1.97,-2.29,-2.13,0.39,-0.87,-2.87,0.6,-1.497,0.787,-0.782
EPS Diluted,-1.97,-2.29,-2.13,0.39,-0.87,-2.87,0.6,-1.497,0.787,-0.782
Weighted Average Shs Out,778675957.0,171846133.0,110868650.0,884040481.0,798869761.0,336174270.0,514186947.0,540839657.0,474523579.0,510694718.0
Weighted Average Shs Out (Dil),778675957.0,171846133.0,110868650.0,884040481.0,798869761.0,336174270.0,534641440.0,516143683.0,494516287.0,526085286.0
Dividend per Share,0.0,0.0,0.0,0.0127822200938,0.0146456914145,1.60065789687,0.0,0.0,0.0,0.0
Gross Margin,0.385134513585,0.440915947345,0.46244652353,0.671777899344,0.669180142808,0.694083265396,0.6627,0.6601,0.6401,0.626
EBITDA Margin,0.397536356718,0.456657961711,0.433324337292,0.451630196937,0.428127551608,0.439851598016,0.477,0.367,0.446,0.227
EBIT Margin,0.0701711839035,0.129411452,0.140003398505,0.128512035011,0.122104524805,0.139012864269,0.2086,0.1011,0.1763,-0.0588
Profit Margin,0.0606544627401,-0.18460485484,0.0852274999,-0.0630470459519,-0.0380857394935,-0.0665943540921,0.033,-0.085,0.046,-0.059
Free Cash Flow margin,0.377164886811,0.24954647848,0.164487625445,0.175399343545,0.159949145948,0.100164430504,0.1059,0.0894,0.0764,0.2587
EBITDA,4753700000.0,6872200000.0,8670300000.0,8255800000.0,7812600000.0,6366500000.0,4732900000.0,3346400000.0,3726400000.0,1581700000.0
EBIT,839100000.0,1947500000.0,2801300000.0,2349200000.0,2228200000.0,2012100000.0,2071400000.0,922100000.0,1474900000.0,-409600000.0
Consolidated Income,725300000.0,-2778100000.0,1705300000.0,-1152500000.0,-695000000.0,-963900000.0,387300000.0,-671000000.0,564000000.0,14100000.0
Earnings Before Tax Margin,0.0135308039037,-0.103396261521,0.0274579185159,-0.0374507658643,-0.0578629242176,-0.0363750673612,0.0401,-0.0583,0.0229,-0.1748
Net Profit Margin,0.0606544627401,-0.18460485484,0.0852274999,-0.0630470459519,-0.0380857394935,-0.0665943540921,0.0325,-0.0847,0.0464,-0.0592
