Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,0.0,985000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90215000.0,81323000.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109341760633523,0.0646
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90215000.0,81323000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,49434000.0,48353000.0,45510000.0,41934000.0,38923000.0,38648000.0,37176000.0,32807000.0,32807000.0,35364000.0,33118000.0
Operating Expenses,49434000.0,48353000.0,45510000.0,41934000.0,38923000.0,38648000.0,37176000.0,32807000.0,32807000.0,53435000.0,53475000.0
Operating Income,107385000.0,80411000.0,57330000.0,52084000.0,46367000.0,43805000.0,38839000.0,45380000.0,45380000.0,36780000.0,27848000.0
Interest Expense,60163000.0,47699000.0,29806000.0,20470000.0,16612000.0,14985000.0,17297000.0,29812000.0,29812000.0,0.0,0.0
Earnings before Tax,107385000.0,0.0,0.0,0.0,0.0,0.0,0.0,45380000.0,45380000.0,36780000.0,27848000.0
Income Tax Expense,20338000.0,18533000.0,32304000.0,25133000.0,22833000.0,22385000.0,19559000.0,14718000.0,14718000.0,12237000.0,8869000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,87047000.0,80411000.0,57330000.0,52084000.0,46367000.0,43805000.0,38839000.0,30662000.0,30662000.0,24543000.0,18979000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3187000.0,2694000.0
Net Income Com,87047000.0,80411000.0,57330000.0,52084000.0,46367000.0,43805000.0,38839000.0,30662000.0,30662000.0,21356000.0,16285000.0
EPS,3.4,3.18,2.28,2.08,2.79,2.65,2.36,1.89,1.89,0.88,0.847
EPS Diluted,3.38,3.13,2.23,2.05,2.75,2.61,2.33,1.88,1.88,0.88,0.84
Weighted Average Shs Out,25588404.0,25288533.0,25181208.0,25056095.0,16617569.0,16535530.0,16436131.0,16204952.0,16204952.0,24198854.0,18663045.0
Weighted Average Shs Out (Dil),25758893.0,25727831.0,25663381.0,25460727.0,16830379.0,16781455.0,16634338.0,16324644.0,16324644.0,24180909.0,19277768.0
Dividend per Share,1.15063174493,0.982515782228,0.833717116229,0.71482640696,0.93265873573,0.807736873829,0.563412863199,0.615327354152,0.615327354152,0.413,0.413
Gross Margin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EBITDA Margin,0.0,87.8862944162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.373
EBIT Margin,0.0,81.6355329949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4077,0.3424
Profit Margin,0.0,81.6355329949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237,0.2
Free Cash Flow margin,0.0,98.4842639594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473,0.2823
EBITDA,117790000.0,86568000.0,63048000.0,56911000.0,50678000.0,47743000.0,42464000.0,44706000.0,44706000.0,39028000.0,30306000.0
EBIT,107385000.0,80411000.0,57330000.0,52084000.0,46367000.0,43805000.0,38839000.0,45380000.0,45380000.0,36780000.0,27848000.0
Consolidated Income,87047000.0,80411000.0,57330000.0,52084000.0,46367000.0,43805000.0,38839000.0,30662000.0,30662000.0,24543000.0,18979000.0
Earnings Before Tax Margin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4077,0.3424
Net Profit Margin,0.0,81.6355329949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2721,0.2334
