Date,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30
Cash and cash equivalents,36497000.0,58448000.0,94348000.0,134513000.0,95465000.0,62598000.0,95109000.0,104782000.0,128984000.0,42534000.0,33538000.0
Short-term investments,30000000.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33405000.0,30616000.0
Cash and short-term investments,66497000.0,78448000.0,94348000.0,134513000.0,95465000.0,62598000.0,95109000.0,104782000.0,128984000.0,75939000.0,64154000.0
Receivables,6704000.0,4870000.0,11598000.0,10355000.0,6194000.0,21688000.0,24050000.0,16226000.0,6049000.0,4386000.0,4243000.0
Inventories,5843000.0,10122000.0,20736000.0,27610000.0,25510000.0,78478000.0,29261000.0,20669000.0,15065000.0,14651000.0,14280000.0
Total current assets,89925000.0,102983000.0,138922000.0,184912000.0,188389000.0,184697000.0,164465000.0,162577000.0,171253000.0,108701000.0,47206000.0
Property Plant & Equipment Net,18846000.0,16610000.0,16793000.0,14376000.0,13356000.0,12283000.0,10380000.0,10382000.0,7042000.0,6287000.0,6147000.0
Goodwill and Intangible Assets,65510000.0,67185000.0,45815000.0,47784000.0,68124000.0,226755000.0,239916000.0,219975000.0,43542000.0,29237000.0,37941000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,866000.0,930000.0,962000.0,1205000.0,33491000.0,31041000.0,24368000.0,16029000.0,0.0,0.0,0.0
Total non-current assets,97358000.0,98849000.0,76307000.0,75197000.0,100099000.0,247021000.0,256879000.0,237831000.0,56554000.0,56203000.0,3019000.0
Total assets,187283000.0,201832000.0,215229000.0,260109000.0,288488000.0,431718000.0,421344000.0,400408000.0,227807000.0,164904000.0,138588000.0
Payables,15051000.0,13859000.0,13099000.0,9732000.0,9500000.0,15994000.0,16539000.0,9997000.0,8590000.0,16812000.0,12253000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,56000.0
Total current liabilities,68822000.0,68471000.0,70756000.0,85488000.0,69164000.0,106762000.0,85176000.0,109383000.0,59566000.0,48637000.0,31587000.0
Long-term debt,400000.0,600000.0,600000.0,1000000.0,1151000.0,1113000.0,893000.0,32000000.0,0.0,0.0,82000.0
Total debt,400000.0,600000.0,600000.0,1000000.0,1151000.0,1113000.0,893000.0,42000000.0,0.0,0.0,138000.0
Deferred revenue,3049000.0,2142000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,273000.0,0.0,0.0,725000.0,0.0,0.0,0.0,0.0,0.0,2026000.0,2937000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,3086000.0,4907000.0,13037000.0,14010000.0,5624000.0,10199000.0,4685000.0,41022000.0,0.0,3893000.0,3019000.0
Total liabilities,71108000.0,72178000.0,82593000.0,97498000.0,72486000.0,114735000.0,106465000.0,150405000.0,66394000.0,52530000.0,34606000.0
Other comprehensive income,242686000,236115000,227264000,220192000,210712000,204704000,206861000,182361000,103002000,-4645000.0,-3618000.0
Retained earnings (deficit),-118572000.0,-100045000.0,-88226000.0,-49039000.0,10887000.0,115702000.0,107469000.0,66365000.0,58330000.0,49818000.0,37805000.0
Total shareholders equity,116175000.0,129654000.0,132636000.0,162611000.0,216002000.0,316983000.0,314879000.0,250003000.0,161413000.0,112374000.0,103982000.0
Investments,30000000.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33405000.0,30616000.0
Net Debt,-36097000.0,-57848000.0,-93748000.0,-133513000.0,-94314000.0,-61485000.0,-94216000.0,-62782000.0,-128984000.0,-75939000.0,-64016000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13725000.0,8705000.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,16604000.0,0.0,6828000.0,31825000.0,19278000.0
