Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,3282000.0,2041000.0,1054000.0,689000.0,171000.0,180000.0,231000.0,191000.0,180000.0,223000.0
Stock-based compensation,470000.0,381000.0,408000.0,262000.0,330000.0,532000.0,242000.0,228000.0,287000.0,279000.0
Operating Cash Flow,-471000.0,3357000.0,2292000.0,3027000.0,3253000.0,3211000.0,997000.0,378000.0,423000.0,2712000.0
Capital Expenditure,771000.0,1127000.0,105000.0,168000.0,679000.0,100000.0,150000.0,231000.0,-134000.0,-148000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1145000.0,15000.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-1263000.0,-35934000.0,-38000.0,-17124000.0,-733000.0,910000.0,-154000.0,-231000.0,-1348000.0,-133000.0
Issuance (repayment) of debt,-71000.0,-435000.0,-1800000.0,-75000.0,-60000.0,-0.0,-0.0,-0.0,0.0,0.0
Issuance (buybacks) of shares,-1294000.0,3522000.0,-829000.0,-848000.0,-2568000.0,-424000.0,-659000.0,-5755000.0,178000.0,49000.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,-2123000.0,-6682000.0,-0.0,0.0,0.0
Financing Cash Flow,550000.0,34226000.0,-2273000.0,12377000.0,-376000.0,-4356000.0,-5939000.0,-726000.0,146000.0,173000.0
Effect of forex changes on cash,-207000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-1184000.0,1649000.0,-19000.0,-1720000.0,2144000.0,-235000.0,-5096000.0,-579000.0,-779000.0,2752000.0
Free Cash Flow,-1242000.0,2230000.0,2187000.0,2859000.0,2574000.0,3111000.0,847000.0,147000.0,289000.0,2564000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4066,0.4194
