Date,2019-06-01,2018-06-02,2017-06-03,2016-05-28,2015-05-30,2014-05-31,2013-06-01,2012-06-02,2011-05-28,2010-05-29,2009-05-30
Revenue,2567200000.0,2381200000.0,2278200000.0,2264900000.0,2142200000.0,1882000000.0,1774900000.0,1724100000.0,1649200000.0,1318800000.0,1630000000.0
Revenue Growth,0.0781118763648581,0.045211131595119,0.00587222393924677,0.0572775651199701,0.138257173219979,0.0603414276860668,0.0294646482222609,0.0454159592529711,0.250530785562633,-0.190920245398773,-0.1899
Cost of Revenue,1637300000.0,1508200000.0,1414000000.0,1390700000.0,1350800000.0,1251000000.0,1169700000.0,1133500000.0,1111100000.0,890300000.0,1102300000.0
Gross Profit,929900000.0,873000000.0,864200000.0,874200000.0,791400000.0,631000000.0,605200000.0,590600000.0,538100000.0,428500000.0,527700000.0
R&D Expenses,58800000.0,57100000.0,58600000.0,62400000.0,56700000.0,53900000.0,48300000.0,41000000.0,0.0,40500000.0,45700000.0
SG&A Expense,639300000.0,616700000.0,587800000.0,585600000.0,543900000.0,564300000.0,429200000.0,394900000.0,366000000.0,317700000.0,330800000.0
Operating Expenses,726400000.0,695500000.0,673400000.0,662700000.0,628000000.0,656700000.0,490300000.0,453000000.0,414800000.0,374900000.0,404900000.0
Operating Income,203500000.0,177500000.0,190800000.0,211500000.0,163400000.0,-25700000.0,114900000.0,137600000.0,123300000.0,53600000.0,122800000.0
Interest Expense,12100000.0,13500000.0,15200000.0,15400000.0,17500000.0,17600000.0,17200000.0,17500000.0,19900000.0,21700000.0,25600000.0
Earnings before Tax,195100000.0,168100000.0,177600000.0,196600000.0,145200000.0,-43400000.0,97200000.0,119500000.0,102500000.0,34800000.0,99000000.0
Income Tax Expense,39600000.0,42400000.0,55100000.0,59500000.0,47200000.0,-21200000.0,28900000.0,44300000.0,31700000.0,6500000.0,31000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,160500000.0,128100000.0,123900000.0,136700000.0,97500000.0,-22100000.0,68200000.0,75200000.0,70800000.0,28300000.0,68000000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,160500000.0,128100000.0,123900000.0,136700000.0,97500000.0,-22100000.0,68200000.0,75200000.0,70800000.0,28300000.0,68000000.0
EPS,2.72,2.15,2.07,2.28,1.64,-0.37,1.17,1.29,1.24,0.51,1.26
EPS Diluted,2.7,2.12,2.05,2.26,1.62,-0.37,1.16,1.29,1.06,0.43,1.25
Weighted Average Shs Out,59011945.0,59681268.0,59871805.0,59844540.0,59475297.0,58955487.0,58425522.0,58171472.0,0.0,56959155.0,53786928.0
Weighted Average Shs Out (Dil),59381791.0,60311305.0,60554589.0,60529269.0,60124366.0,58955487.0,58844514.0,58456876.0,0.0,56959155.0,
Dividend per Share,0.767912170248,0.703019110596,0.650652587205,0.576580563033,0.553851994048,0.513947073323,0.324584208479,0.0889544627735,0.0,0.088,0.286
Gross Margin,0.362223434092,0.366621871325,0.379334562374,0.385977305841,0.369433292876,0.335281615303,0.340976956448,0.342555536222,0.326279408198,0.3249,0.3237
EBITDA Margin,0.107354315986,0.102637325718,0.109604073391,0.0933816062519,0.0762767248623,-0.013655685441,0.0647360414671,0.0798097558146,0.0747635217075,0.043,0.076
EBIT Margin,0.0792692427548,0.0745422476062,0.0837503292073,0.0933816062519,0.0762767248623,-0.013655685441,0.0647360414671,0.0798097558146,0.0747635217075,0.0428,0.0764
Profit Margin,0.0625194764724,0.0537964051739,0.0543850408217,0.0603558656011,0.0455139576137,-0.01174282678,0.0384246999831,0.0436169595731,0.0429299054087,0.021,0.042
Free Cash Flow margin,0.0508725459645,0.0402738115236,0.0503906592924,0.0553225307961,0.0485949024367,0.0261955366631,0.0486224576032,0.0357287860333,0.0367450885278,0.0585,0.0409
EBITDA,275600000.0,244400000.0,249700000.0,211500000.0,163400000.0,-25700000.0,114900000.0,137600000.0,123300000.0,56500000.0,124600000.0
EBIT,203500000.0,177500000.0,190800000.0,211500000.0,163400000.0,-25700000.0,114900000.0,137600000.0,123300000.0,56500000.0,124600000.0
Consolidated Income,160500000.0,128100000.0,123900000.0,136700000.0,97500000.0,-22100000.0,68200000.0,75200000.0,70800000.0,28300000.0,68000000.0
Earnings Before Tax Margin,0.075997195388,0.0705946581556,0.0779562812747,0.0868029493576,0.0677807861077,-0.0230605738576,0.0547636486563,0.0693115248535,0.0621513461072,0.0264,0.0607
Net Profit Margin,0.0625194764724,0.0537964051739,0.0543850408217,0.0603558656011,0.0455139576137,-0.01174282678,0.0384246999831,0.0436169595731,0.0429299054087,0.0215,0.0417
